Img	Time(s)
1	15.938
2	9.992
3	10.085
4	10.267
5	9.735
6	9.831
7	9.642
8	10.254
9	9.929
10	9.996
11	10.322
12	13.068
13	14.456
14	13.904
15	13.956
16	14.159
17	14.564
18	14.132
19	14.52
20	14.491
21	14.336
22	14.263
23	14.227
24	14.075
25	14.036
26	14.745
27	14.385
28	14.006
29	13.925
30	14.62
31	1.95
32	14.051
33	14.49
34	3.645
35	14.369
36	14.497
37	15.488
38	14.426
39	14.917
40	16.291
41	18.788
42	18.008
43	15.507
44	14.722
45	19.086
46	16.229
47	17.332
48	16.769
49	14.783
50	15.838
51	17.12
52	16.988
53	17.024
54	16.728
55	17.111
56	15.524
57	15.005
58	15.357
59	14.478
60	14.697
61	15.175
62	15.193
63	14.624
64	14.833
65	17.525
66	16.477
67	16.181
68	15.287
69	14.672
70	14.451
71	14.51
72	14.943
73	14.629
74	14.652
75	14.414
76	14.603
77	15.117
78	14.791
79	15.024
80	15.017
81	14.956
82	14.334
83	14.618
84	14.631
85	14.872
86	14.892
87	14.383
88	15.389
89	16.957
90	15.707
91	14.419
92	16.862
93	17.453
94	14.643
95	14.171
96	14.185
97	14.562
98	14.642
99	3.405
100	13.962
101	14.198
102	14.613
103	14.212
104	14.055
105	14.669
106	14.854
107	14.319
108	14.88
109	14.113
110	14.079
111	14.841
112	14.074
113	14.266
114	13.955
115	14.625
116	14.057
117	14.834
118	13.875
119	14.368
120	14.34
121	14.215
122	14.287
123	14.681
124	14.651
125	14.089
126	14.061
127	15.038
128	13.923
129	14.288
130	14.538
131	14.422
132	13.945
133	14.041
134	14.145
135	14.365
136	14.478
137	14.45
138	14.559
139	14.242
140	14.272
141	14.363
142	14.038
143	14.189
144	14.299
145	14.935
146	14.288
147	14.302
148	14.686
149	14.554
150	14.363
