Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	-7.57219211399875	2
1	1	0.05	-7.463317518176811	2
1	3	0.05	-4.128927763316227	2
1	4	0.05	-7.52692260445908	2
1	5	0.05	-7.204322036030706	2
1	6	0.05	-1.355561840014621	2
1	7	0.05	-7.465341688187657	2
1	8	0.05	-7.5191360069638495	2
1	9	0.05	-7.454434079777972	2
2	1	0.05	-7.677326528576126	0
2	2	0.05	-7.501627184393754	0
2	3	0.05	-7.549724319347461	0
2	4	0.05	-7.754720747067277	0
2	5	0.05	-7.602795564624325	0
2	6	0.05	-7.04102730846445	0
2	7	0.05	-7.612586840859695	0
2	8	0.05	-6.483557237514945	0
2	9	0.05	-7.599633721407158	0
3	0	0.05	-7.359566748818768	4
3	1	0.05	-6.556392737306714	4
3	2	0.05	-7.274754336350651	4
3	3	0.05	-6.982999211533119	4
3	5	0.05	-7.40684392351848	4
3	6	0.05	-5.327884341588351	4
3	7	0.05	-5.360265008841035	4
3	8	0.05	-7.299390277259347	4
3	9	0.05	-0.386501747937786	4
4	0	0.05	4.13611676983185	8
4	1	0.05	1.3043876723493169	8
4	2	0.05	-0.218840022096887	8
4	3	0.05	5.76485834797201	8
4	4	0.05	0.06122668421919702	8
4	5	0.05	7.622372635588615	8
4	6	0.05	5.807399397192327	8
4	7	0.05	-0.2441116730734928	8
4	9	0.05	4.399653065475204	8
5	0	0.05	-7.696853969979649	7
5	1	0.05	-7.556824593244268	7
5	2	0.05	-7.1549684146292645	7
5	3	0.05	-2.6051701761160344	7
5	4	0.05	-7.366501534303203	7
5	5	0.05	-7.077740539791791	7
5	6	0.05	-7.689957316245719	7
5	8	0.05	-7.688635435267065	7
5	9	0.05	-5.07552265665619	7
6	0	0.05	-7.864377694051162	6
6	1	0.05	-7.770514973671054	6
6	2	0.05	-5.779289179881829	6
6	3	0.05	-7.760007820201125	6
6	4	0.05	-7.815109500679468	6
6	5	0.05	-1.1500794604746327	6
6	7	0.05	-7.7567795200763685	6
6	8	0.05	-2.983943428701739	6
6	9	0.05	-7.756135810743047	6
7	1	0.05	-7.680390964381873	0
7	2	0.05	-4.968745898270012	0
7	3	0.05	-5.121675254458798	0
7	4	0.05	-7.762240862159311	0
7	5	0.05	-6.1731607807066835	0
7	6	0.05	-7.643904153157415	0
7	7	0.05	-7.6098890840942675	0
7	8	0.05	-7.792685698858665	0
7	9	0.05	-7.490387886073732	0
8	0	0.05	0.33706209621098526	6
8	1	0.05	0.13049654806884461	6
8	2	0.05	2.5443067421632746	6
8	3	0.05	4.46783205177497	6
8	4	0.05	0.9877699963036426	6
8	5	0.05	6.620863656523531	6
8	7	0.05	-0.02017501647493058	6
9	0	0.05	-1.818237870388685	3
9	1	0.05	-1.416279559967234	3
9	2	0.05	0.11541478447393352	3
9	4	0.05	-0.8107353613205797	3
9	5	0.05	4.574019246103686	3
9	6	0.05	-1.7249907891335665	3
9	7	0.05	-1.7196452072229456	3
9	8	0.05	4.27493975112252	3
9	9	0.05	-1.7306693530713877	3
10	0	0.05	-4.190826645330816	1
10	2	0.05	-0.33796805115033884	1
10	3	0.05	-3.917271974635197	1
10	4	0.05	-2.5935290587969537	1
10	5	0.05	0.20509972281481906	1
10	6	0.05	-1.8412207238556655	1
10	7	0.05	-4.072397928082937	1
10	8	0.05	-3.4840453573720787	1
10	9	0.05	-4.091737954252079	1
11	0	0.05	0.16951850949826888	8
11	1	0.05	0.14602187406231557	8
11	2	0.05	5.083807754670109	8
11	3	0.05	5.325457533515427	8
11	4	0.05	3.1570814506854794	8
12	1	0.05	-7.671848563418335	0
12	2	0.05	-6.476372874862161	0
12	3	0.05	-7.524122580463236	0
12	4	0.05	-7.673322205823756	0
12	5	0.05	-7.7365940318199655	0
12	6	0.05	-7.258747714038037	0
12	7	0.05	-7.6140255400055565	0
12	8	0.05	-6.695041539360142	0
12	9	0.05	-7.530815934328372	0
13	0	0.05	-3.481919876589642	7
13	1	0.05	-3.8522269615188227	7
13	2	0.05	-0.8151437092485414	7
13	3	0.05	0.1963662329920953	7
13	4	0.05	-3.8819300405814974	7
13	5	0.05	1.119379744722839	7
13	6	0.05	-3.9205834618522366	7
13	8	0.05	-3.924990337036163	7
13	9	0.05	-1.5836772871302305	7
14	0	0.05	-1.3821444933127702	9
14	1	0.05	-1.339178121639793	9
14	2	0.05	-1.3481025011633012	9
14	3	0.05	2.866422323290804	9
14	4	0.05	3.611158319469896	9
14	5	0.05	-1.1615531128707821	9
14	6	0.05	-1.3887285328785506	9
14	7	0.05	0.8181632413806917	9
14	8	0.05	4.541016531743123	9
15	0	0.05	-7.579155238980702	8
15	1	0.05	-7.66853478222813	8
15	2	0.05	-7.536080276284212	8
15	3	0.05	-5.709688634864824	8
15	4	0.05	-7.726728373747272	8
15	5	0.05	-5.069135570493222	8
15	6	0.05	-7.570000139883573	8
15	7	0.05	-7.6574970562080065	8
15	9	0.05	-5.640714884466903	8
16	0	0.05	-5.564559987159212	4
16	1	0.05	-6.563925261495951	4
16	2	0.05	-6.4968250102023966	4
16	3	0.05	-6.560238698928743	4
16	5	0.05	-6.6850072031818675	4
16	6	0.05	-0.9180034456945682	4
16	7	0.05	-6.505580013203364	4
16	8	0.05	-4.44200046679961	4
16	9	0.05	-5.576495821224754	4
17	0	0.05	-1.8996715962673834	5
17	1	0.05	-7.902747989150827	5
17	2	0.05	-7.864055925449936	5
17	3	0.05	-5.769561382383447	5
17	4	0.05	-7.630098090850074	5
17	6	0.05	-7.848150421482442	5
17	7	0.05	-7.854215895641689	5
17	8	0.05	-7.5456981804094925	5
17	9	0.05	-7.904290137383122	5
18	0	0.05	1.104885153625823	3
18	1	0.05	-3.1479899462111978	3
18	2	0.05	-4.322742058711922	3
18	4	0.05	-4.447806207856498	3
18	5	0.05	2.657859466540041	3
18	6	0.05	-3.687538110579955	3
18	7	0.05	-4.350218784775257	3
18	8	0.05	-4.455686325698884	3
18	9	0.05	0.09901752124271161	3
19	0	0.05	-0.5856022065346446	4
19	1	0.05	3.858524069390527	4
19	2	0.05	-0.4785453516650205	4
19	3	0.05	6.099419822083712	4
19	5	0.05	2.711812492540158	4
19	6	0.05	-0.53805923080448	4
19	7	0.05	-0.28623398715272896	4
19	8	0.05	3.386434647695563	4
19	9	0.05	6.840863111639857	4
20	1	0.05	-5.169626077591945	0
20	2	0.05	-3.8665423559894623	0
20	3	0.05	-4.4668143575889285	0
20	4	0.05	-5.237621753294616	0
20	5	0.05	0.7112620671750429	0
20	6	0.05	-5.133121091837051	0
20	7	0.05	-2.774909707149706	0
20	8	0.05	2.010526185815505	0
20	9	0.05	-2.632921770380176	0
21	0	0.05	0.1346387372071738	6
21	1	0.05	-2.710647275912134	6
21	2	0.05	4.227018219925893	6
21	3	0.05	-2.523746066491434	6
21	4	0.05	3.5464515783375177	6
21	5	0.05	0.7156206942570701	6
