Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	7.5892112209442635	2
1	1	0.05	7.575967244152693	2
1	3	0.05	7.580056802876822	2
1	4	0.05	7.432914521441834	2
1	5	0.05	7.663426945541128	2
1	6	0.05	7.569096597710566	2
1	7	0.05	7.573198848180988	2
1	8	0.05	7.678968572124762	2
1	9	0.05	7.612339790991336	2
2	1	0.05	-7.6042207110386695	0
2	2	0.05	-7.431076695015164	0
2	3	0.05	-7.626303013934798	0
2	4	0.05	-6.970294181634319	0
2	5	0.05	-3.550428339274631	0
2	6	0.05	-5.7102676320391685	0
2	7	0.05	-7.495949763897775	0
2	8	0.05	-7.195300724230866	0
2	9	0.05	-7.031934005702045	0
3	0	0.05	1.208772055196991	4
3	1	0.05	0.4277502932279124	4
3	2	0.05	-0.3556317477548137	4
3	3	0.05	3.9277822590000424	4
3	5	0.05	0.9487874676124142	4
3	6	0.05	4.704699570007845	4
3	7	0.05	5.027655632749004	4
3	8	0.05	1.7483336095888697	4
3	9	0.05	6.706192203073449	4
4	0	0.05	7.97025904650146	8
4	1	0.05	7.852635557609819	8
4	2	0.05	7.70291913235315	8
4	3	0.05	7.834438021016406	8
4	4	0.05	6.667865842671086	8
4	5	0.05	8.07811732444241	8
4	6	0.05	7.904901926740865	8
4	7	0.05	7.814688563532408	8
4	9	0.05	7.782580084725607	8
5	0	0.05	7.602701962398761	7
5	1	0.05	6.757438707274735	7
5	2	0.05	7.5620466611733175	7
5	3	0.05	7.644917573972097	7
5	4	0.05	7.17918204924296	7
5	5	0.05	7.6143922683643535	7
5	6	0.05	7.269208295697321	7
5	8	0.05	6.75268081075696	7
5	9	0.05	7.590056122363075	7
6	0	0.05	6.323682024781281	6
6	1	0.05	6.084934401778225	6
6	2	0.05	6.154204545572629	6
6	3	0.05	5.5632312915991236	6
6	4	0.05	7.158646811336575	6
6	5	0.05	7.620104845857074	6
6	7	0.05	6.343837283158617	6
6	8	0.05	6.563915329147108	6
6	9	0.05	7.557658845548521	6
7	1	0.05	-6.198086889159752	0
7	2	0.05	-6.0391131809886565	0
7	3	0.05	-6.219187568600511	0
7	4	0.05	-5.704284450317573	0
7	5	0.05	-0.6195502471732462	0
7	6	0.05	-3.465180253861994	0
7	7	0.05	-2.840338202650311	0
7	8	0.05	-4.512676130962499	0
7	9	0.05	-3.681751293578972	0
8	0	0.05	7.532148521807856	6
8	1	0.05	5.503395405818169	6
8	2	0.05	6.800196525559072	6
8	3	0.05	6.784493417487396	6
8	4	0.05	6.503440870803997	6
8	5	0.05	7.590236446987853	6
8	7	0.05	4.575701362307173	6
8	8	0.05	7.442767147140761	6
8	9	0.05	6.688157558624952	6
9	0	0.05	5.9472200587085435	3
9	1	0.05	6.709391623685144	3
9	2	0.05	7.571461953400999	3
9	4	0.05	4.762230645748881	3
9	5	0.05	7.815294215858945	3
9	6	0.05	6.586664648179551	3
9	7	0.05	6.1713022653836935	3
9	8	0.05	7.466557609880738	3
9	9	0.05	6.657775973954852	3
10	0	0.05	7.128756616681666	1
10	2	0.05	7.615380435825905	1
10	3	0.05	7.5254030954792	1
10	4	0.05	5.773366023144416	1
10	5	0.05	7.723270267604285	1
10	6	0.05	7.589578246387144	1
10	7	0.05	6.921553670488246	1
10	8	0.05	7.462583328435684	1
10	9	0.05	7.419573131910793	1
11	0	0.05	7.970472982171205	8
11	1	0.05	7.714240459076873	8
11	2	0.05	7.885441736137833	8
11	3	0.05	7.829822573366138	8
11	4	0.05	7.66211744281656	8
11	5	0.05	8.078329532778149	8
11	6	0.05	7.906604961796765	8
11	7	0.05	7.811151165896043	8
11	9	0.05	7.787852630405091	8
12	1	0.05	-7.0241054029502195	0
12	2	0.05	-3.3564686763917244	0
12	3	0.05	-3.3971703017236665	0
12	4	0.05	-6.805135634570519	0
12	5	0.05	-6.465314632908318	0
12	6	0.05	-1.9400239939484776	0
12	7	0.05	-6.563727707551216	0
12	8	0.05	-3.9014855521089578	0
12	9	0.05	-3.856940511159754	0
13	0	0.05	7.60794811965148	7
13	1	0.05	6.72014641859143	7
13	2	0.05	7.564333196126264	7
13	3	0.05	7.646376331781431	7
13	4	0.05	6.73701459996838	7
13	5	0.05	7.680624687184304	7
13	6	0.05	7.358558639936756	7
13	8	0.05	7.41252891663201	7
13	9	0.05	7.589152480995331	7
14	0	0.05	3.2801545393529445	9
14	1	0.05	-0.815779915471878	9
14	2	0.05	-0.43038109957366155	9
14	3	0.05	4.369314591552252	9
14	4	0.05	3.372635496928458	9
14	5	0.05	0.612580721618911	9
14	6	0.05	-0.7914614130479453	9
14	7	0.05	6.449530567121162	9
14	8	0.05	5.495156507620635	9
15	0	0.05	4.683663486136368	8
15	1	0.05	0.06867304894931031	8
15	2	0.05	5.679545475748126	8
15	3	0.05	5.101288400369428	8
15	4	0.05	2.3622741681868904	8
15	5	0.05	6.103096967336795	8
15	6	0.05	4.9795883550767615	8
15	7	0.05	4.4052919968583275	8
15	9	0.05	6.186854774624446	8
16	0	0.05	-2.1128397116199373	4
16	1	0.05	-6.826701570133052	4
16	2	0.05	-4.868096720442731	4
16	3	0.05	-6.842361344435004	4
16	5	0.05	-6.5066243697074295	4
16	6	0.05	-3.36880306774724	4
16	7	0.05	-3.0383740315403633	4
16	8	0.05	-0.7814918687632105	4
16	9	0.05	-3.4821572135365084	4
17	0	0.05	7.035659849193028	5
17	1	0.05	5.52127377571413	5
17	2	0.05	5.324831066927608	5
17	3	0.05	5.457643680791267	5
17	4	0.05	5.646740779054896	5
17	6	0.05	7.2579778482538	5
17	7	0.05	6.31109546929691	5
17	8	0.05	6.521540873881148	5
17	9	0.05	5.7318537579654905	5
18	0	0.05	7.703372983440656	3
18	1	0.05	7.66046246899449	3
18	2	0.05	7.527512241972204	3
18	4	0.05	7.496062702518472	3
18	5	0.05	7.820890764874432	3
18	6	0.05	7.636142069063849	3
18	7	0.05	7.700917014199751	3
18	8	0.05	7.628947223735295	3
18	9	0.05	7.692086416441063	3
19	0	0.05	4.993906909808822	4
19	1	0.05	6.407047688863633	4
19	2	0.05	5.671802351270137	4
19	3	0.05	7.325247054898266	4
19	5	0.05	6.615456534095963	4
19	6	0.05	5.297824452363054	4
19	7	0.05	6.8961003784723225	4
19	8	0.05	6.942459845856237	4
19	9	0.05	7.425071995669296	4
20	1	0.05	5.742013895594197	0
20	2	0.05	7.610826969713104	0
20	3	0.05	7.490037393269877	0
20	4	0.05	6.744251200928005	0
20	5	0.05	7.751302234059562	0
20	6	0.05	7.457279674885921	0
20	7	0.05	7.636208425356498	0
20	8	0.05	7.664722000983104	0
20	9	0.05	7.632538880262122	0
21	0	0.05	5.377931154834496	6
21	1	0.05	5.189420711995135	6
21	2	0.05	6.21527942092195	6
21	3	0.05	4.966394746150403	6
21	4	0.05	7.282141999965099	6
21	5	0.05	7.205466269418936	6
21	7	0.05	6.813292093386118	6
21	8	0.05	6.31126909349457	6
21	9	0.05	7.585341233483514	6
22	0	0.05	7.079368662776444	6
22	1	0.05	7.493074015496594	6
22	2	0.05	7.595476733698056	6
22	3	0.05	7.61535524862057	6
22	4	0.05	7.407665573636697	6
22	5	0.05	7.7155713856650605	6
22	7	0.05	7.619598197585453	6
22	8	0.05	7.741477308790231	6
22	9	0.05	7.605570843819757	6
23	0	0.05	7.529770088019583	3
23	1	0.05	7.645141622954705	3
23	2	0.05	7.607446377851602	3
23	4	0.05	6.78506768726844	3
23	5	0.05	7.820048079311607	3
23	6	0.05	7.3180266392251685	3
23	7	0.05	7.596326237112386	3
23	8	0.05	7.151991490902557	3
23	9	0.05	7.68217006735216	3
24	1	0.05	-3.8090675916552383	0
24	2	0.05	1.2020594758499878	0
24	3	0.05	-4.775968264600659	0
24	4	0.05	-3.0502693752943446	0
24	5	0.05	0.8763808305242626	0
24	6	0.05	0.3404489824647822	0
24	7	0.05	-3.805175326668074	0
24	8	0.05	-2.103333889118775	0
24	9	0.05	-3.0458328200122455	0
25	0	0.05	2.729374096666708	2
25	1	0.05	3.5652515860188196	2
25	3	0.05	4.477832351471754	2
25	4	0.05	-1.8949812595783462	2
25	5	0.05	-0.14760741266062993	2
25	6	0.05	1.4385279387931222	2
25	7	0.05	-1.9876182710303245	2
25	8	0.05	2.4745264168676866	2
25	9	0.05	1.3606764321954938	2
26	0	0.05	-2.297396479969568	3
26	1	0.05	-1.4925959290031785	3
26	2	0.05	-0.637624320702752	3
26	4	0.05	-3.4796344494374867	3
26	5	0.05	1.1982239782276107	3
26	6	0.05	-4.032359748204892	3
26	7	0.05	-2.7125729369541824	3
26	8	0.05	0.14112269698375743	3
26	9	0.05	1.5852181941556192	3
27	0	0.05	7.404278769274956	6
27	1	0.05	7.599786361706234	6
27	2	0.05	7.599179293773797	6
27	3	0.05	7.61457725720706	6
27	4	0.05	7.385895355051238	6
27	5	0.05	7.714839891626184	6
27	7	0.05	7.074845262232822	6
27	8	0.05	7.635705980037385	6
27	9	0.05	7.557308864328343	6
28	0	0.05	4.0877686332883805	6
28	1	0.05	4.966709456439044	6
28	2	0.05	6.088068357987734	6
28	3	0.05	5.152773987050667	6
28	4	0.05	4.406392189775203	6
28	5	0.05	5.195210589997223	6
28	7	0.05	1.9142639719753378	6
28	8	0.05	5.075980500688189	6
28	9	0.05	4.56678699167298	6
29	0	0.05	7.593515499381919	7
29	1	0.05	7.079831265002141	7
29	2	0.05	7.565560308793853	7
29	3	0.05	7.63197228704624	7
29	4	0.05	7.1727461975624225	7
29	5	0.05	7.06269046011074	7
29	6	0.05	7.511184967104876	7
29	8	0.05	7.51468760859938	7
29	9	0.05	7.594187747234751	7
30	0	0.05	5.833006533257485	4
30	1	0.05	3.569607339627564	4
30	2	0.05	5.3003173391749945	4
30	3	0.05	5.206636924657887	4
30	5	0.05	6.789395922675906	4
30	6	0.05	5.829089668991643	4
30	7	0.05	6.9107284834284926	4
30	8	0.05	5.338059777982036	4
30	9	0.05	7.092913376365397	4
32	0	0.05	-7.52599166792551	3
32	1	0.05	-7.3838245703439895	3
32	2	0.05	-7.328075565090654	3
32	4	0.05	-7.353982535957543	3
32	5	0.05	-6.5653432683173465	3
32	6	0.05	-7.5095064484278655	3
32	7	0.05	-6.546414152981856	3
32	8	0.05	-7.630369223743659	3
32	9	0.05	-4.961973861286168	3
33	0	0.05	5.120543861518796	8
33	1	0.05	0.29413888838606633	8
33	2	0.05	7.215516719436689	8
33	3	0.05	4.19154469328926	8
33	4	0.05	1.4582066980169015	8
33	5	0.05	4.935613237611193	8
33	6	0.05	5.397006828051539	8
33	7	0.05	0.9538048409134293	8
33	9	0.05	5.147390327007887	8
35	0	0.05	-7.682173836720929	5
35	1	0.05	-7.69015916670772	5
35	2	0.05	-7.552421702962701	5
35	3	0.05	-6.588985385923236	5
35	4	0.05	-7.3513728440954225	5
35	6	0.05	-3.486656951451412	5
35	7	0.05	-7.588546791934597	5
35	8	0.05	-6.571019601216425	5
35	9	0.05	-5.604226072084573	5
36	0	0.05	3.9577513903843964	4
36	1	0.05	0.8143884080455509	4
36	2	0.05	5.0277271476746765	4
36	3	0.05	2.8181689346900405	4
36	5	0.05	5.869583272336071	4
36	6	0.05	5.234256008866043	4
36	7	0.05	5.082652658392092	4
36	8	0.05	6.43342458421849	4
36	9	0.05	5.536956590993341	4
37	0	0.05	6.692450656452571	2
37	1	0.05	5.972867399144804	2
37	3	0.05	7.52918769381153	2
37	4	0.05	5.566114416080893	2
37	5	0.05	6.193564082582108	2
37	6	0.05	6.3923146653670555	2
37	7	0.05	6.877966366789329	2
37	8	0.05	6.995875384701131	2
37	9	0.05	6.47225935541677	2
38	0	0.05	5.096007739184055	5
38	1	0.05	1.789248292615071	5
38	2	0.05	5.125883292413779	5
38	3	0.05	3.912337597483309	5
38	4	0.05	1.8662276853241073	5
38	6	0.05	5.19436956312706	5
38	7	0.05	4.863158778583648	5
38	8	0.05	6.177918267505744	5
38	9	0.05	2.6661925269159252	5
39	0	0.05	7.758507495298891	5
39	1	0.05	7.748597155939887	5
39	2	0.05	7.675680460221514	5
39	3	0.05	7.812723087828603	5
39	4	0.05	7.5785433487532625	5
39	6	0.05	7.7166200153067	5
39	7	0.05	7.720289009264136	5
39	8	0.05	8.032036618045751	5
39	9	0.05	7.761028740147002	5
40	0	0.05	7.937967103893826	8
40	1	0.05	7.307003593249828	8
40	2	0.05	7.748745656224954	8
40	3	0.05	7.834987538672208	8
40	4	0.05	6.788139022891372	8
40	5	0.05	8.07096747480072	8
40	6	0.05	7.693140595739262	8
40	7	0.05	6.660201076677369	8
40	9	0.05	7.772970413788071	8
41	0	0.05	-7.7057446085673345	5
41	1	0.05	-7.709741921631365	5
41	2	0.05	-7.577174373720699	5
41	3	0.05	-6.606144270626204	5
41	4	0.05	-7.521260706749673	5
41	6	0.05	-6.980100277164412	5
41	7	0.05	-7.601479903680774	5
41	8	0.05	-7.683878604772569	5
41	9	0.05	-6.0839501669501095	5
42	0	0.05	5.692188345147993	2
42	1	0.05	5.595369307378572	2
42	3	0.05	7.501975133238676	2
42	4	0.05	4.243689712583311	2
42	5	0.05	6.828042474068459	2
42	6	0.05	6.440899887474827	2
42	7	0.05	7.404988503624769	2
42	8	0.05	6.744026113525396	2
42	9	0.05	6.71032571354895	2
43	0	0.05	7.641753970947441	9
43	1	0.05	7.630868186553637	9
43	2	0.05	7.6402026609263896	9
43	3	0.05	7.6652531767638585	9
43	4	0.05	7.435910357409391	9
43	5	0.05	7.758551892055397	9
43	6	0.05	7.604910695518269	9
43	7	0.05	7.6273713459852726	9
43	8	0.05	7.660524619025079	9
44	0	0.05	7.597993748653141	2
44	1	0.05	7.320388451247047	2
44	3	0.05	7.560069711836683	2
44	4	0.05	7.411335022970283	2
44	5	0.05	6.78650262186902	2
44	6	0.05	7.557849306965274	2
44	7	0.05	7.558077977002213	2
44	8	0.05	7.053619219555421	2
44	9	0.05	7.566567253919958	2
45	0	0.05	6.8441467932048425	4
45	1	0.05	6.00761314539939	4
45	2	0.05	7.370210748030361	4
45	3	0.05	6.605442503864608	4
45	5	0.05	7.553113379542338	4
45	6	0.05	7.333105245323478	4
45	7	0.05	7.453969769836398	4
45	8	0.05	7.450265054786381	4
45	9	0.05	7.430966894184283	4
46	0	0.05	-7.518093886720363	2
46	1	0.05	-7.434790304700848	2
46	3	0.05	-7.107251143573871	2
46	4	0.05	-7.341047036227992	2
46	5	0.05	-7.399824813529579	2
46	6	0.05	-6.414290081102248	2
46	7	0.05	-7.42640321866597	2
46	8	0.05	-6.972157000495586	2
46	9	0.05	-7.492813956421813	2
47	0	0.05	5.567593732274804	7
47	1	0.05	7.330680898588467	7
47	2	0.05	7.570435001417188	7
47	3	0.05	7.644770906522449	7
47	4	0.05	5.713747658419741	7
47	5	0.05	7.18341008200827	7
47	6	0.05	7.324112818817295	7
47	8	0.05	7.469101911343474	7
47	9	0.05	7.583377767273884	7
48	1	0.05	-3.4590989564088215	0
48	2	0.05	1.416359410477897	0
48	3	0.05	-1.179149283439011	0
48	4	0.05	-0.3758728137449208	0
48	5	0.05	2.434251694634454	0
48	6	0.05	2.389085922492997	0
48	7	0.05	0.9931958641789426	0
48	8	0.05	-0.14754207113042236	0
48	9	0.05	2.8589943880467166	0
49	0	0.05	5.871021475482421	5
49	1	0.05	3.6697469626907187	5
49	2	0.05	4.968745067681225	5
49	3	0.05	6.345857141121673	5
49	4	0.05	4.880385143564508	5
49	6	0.05	4.861092611659785	5
49	7	0.05	5.840363782203913	5
49	8	0.05	5.611902851898565	5
49	9	0.05	5.813611216430636	5
50	0	0.05	7.574105890004703	1
50	2	0.05	7.614543968423635	1
50	3	0.05	7.624312099792027	1
50	4	0.05	7.297614903776264	1
50	5	0.05	7.731787921083413	1
50	6	0.05	7.593910208759148	1
50	7	0.05	7.621732885682101	1
50	8	0.05	7.380547952654271	1
50	9	0.05	7.623270578429797	1
51	1	0.05	-5.952319645476436	0
51	2	0.05	-1.8158140220801537	0
51	3	0.05	-6.3702393106079045	0
51	4	0.05	-3.8515752379820336	0
51	5	0.05	-1.09295169949725	0
51	6	0.05	-2.9101910486369498	0
51	7	0.05	-4.705953008862398	0
51	8	0.05	-2.8726527396493995	0
51	9	0.05	-4.6307002202901035	0
52	0	0.05	7.585049527755713	7
52	1	0.05	6.238110206089282	7
52	2	0.05	7.553702861851001	7
52	3	0.05	7.644802459002062	7
52	4	0.05	6.88059615115748	7
52	5	0.05	7.6098975417541155	7
52	6	0.05	6.996330923328945	7
52	8	0.05	7.46059358425928	7
52	9	0.05	7.584991790251854	7
53	0	0.05	7.084239705166435	9
53	1	0.05	6.613289536363353	9
53	2	0.05	7.310074639141694	9
53	3	0.05	7.427360646712547	9
53	4	0.05	7.41333951008305	9
53	5	0.05	7.744144779912125	9
53	6	0.05	7.570164189450314	9
53	7	0.05	7.618706141580671	9
53	8	0.05	7.578382655770224	9
54	0	0.05	7.6278053912497805	9
54	1	0.05	6.584569866683143	9
54	2	0.05	7.6216137011255345	9
54	3	0.05	7.254819826358822	9
54	4	0.05	7.425273663463111	9
54	5	0.05	7.745944757563023	9
54	6	0.05	7.586805218107221	9
54	7	0.05	7.623289793606315	9
54	8	0.05	7.608255744199424	9
55	0	0.05	6.923490811941643	9
55	1	0.05	4.700458143471698	9
55	2	0.05	6.771521398826586	9
55	3	0.05	6.2612453033027915	9
55	4	0.05	7.3183445668360925	9
55	5	0.05	7.596060923623008	9
55	6	0.05	6.698095672105742	9
55	7	0.05	7.559414996546064	9
55	8	0.05	7.462374707268198	9
56	0	0.05	-5.4517159987174	6
56	1	0.05	-5.873220124495178	6
56	2	0.05	-5.115875888376954	6
56	3	0.05	-4.38080448977675	6
56	4	0.05	-4.823219928504393	6
56	5	0.05	-4.944848587612833	6
56	7	0.05	-7.455850453306199	6
56	8	0.05	-2.5162024723170826	6
56	9	0.05	-0.7965930908110268	6
57	0	0.05	6.047605118351495	5
57	1	0.05	4.725020405034872	5
57	2	0.05	5.860946683307439	5
57	3	0.05	7.349233179750158	5
57	4	0.05	6.259382428466054	5
57	6	0.05	6.277348808501164	5
57	7	0.05	6.623453920763647	5
57	8	0.05	7.163416019294605	5
57	9	0.05	7.62162353732599	5
58	0	0.05	7.897347391302821	8
58	1	0.05	3.889314019108189	8
58	2	0.05	7.593983648536424	8
58	3	0.05	7.455675411748351	8
58	4	0.05	5.911224176816138	8
58	5	0.05	6.9015090058134385	8
58	6	0.05	6.728137053023896	8
58	7	0.05	4.8028174433448	8
58	9	0.05	7.737901112755577	8
59	0	0.05	3.908022267060867	8
59	1	0.05	-1.5343666606144741	8
59	2	0.05	4.037128799545013	8
59	3	0.05	0.7325688397142557	8
59	4	0.05	1.220268027370019	8
59	5	0.05	-0.9603531005793383	8
59	6	0.05	2.4757457597071473	8
59	7	0.05	-1.411639339671568	8
59	9	0.05	4.777035021025058	8
60	0	0.05	3.6134823745051707	6
60	1	0.05	3.635051292025219	6
60	2	0.05	5.073682038273764	6
60	3	0.05	4.1252763334977365	6
60	4	0.05	3.748527469992631	6
60	5	0.05	3.7713730114397706	6
