Img	Time(s)	Epsilon
1	11.351	0.05
2	12.078	0.05
3	11.351	0.05
4	14.105	0.05
5	11.472	0.05
6	11.447	0.05
7	11.919	0.05
8	10.729	0.05
9	12.704	0.05
10	11.636	0.05
11	7.843	0.05
12	10.942	0.05
13	12.284	0.05
14	13.226	0.05
15	11.113	0.05
16	11.438	0.05
17	10.963	0.05
18	12.124	0.05
19	13.233	0.05
20	11.546	0.05
21	12.255	0.05
22	12.052	0.05
23	11.912	0.05
24	12.329	0.05
25	11.305	0.05
26	11.782	0.05
27	12.729	0.05
28	11.436	0.05
29	12.655	0.05
30	11.715	0.05
31	1.242	0.05
32	10.812	0.05
33	11.08	0.05
34	1.382	0.05
35	11.748	0.05
36	11.886	0.05
37	11.529	0.05
38	11.735	0.05
39	11.532	0.05
40	11.891	0.05
41	12.924	0.05
42	11.368	0.05
43	12.209	0.05
44	11.669	0.05
45	12.452	0.05
46	12.576	0.05
47	11.778	0.05
48	11.272	0.05
49	11.564	0.05
50	11.873	0.05
51	11.97	0.05
52	11.962	0.05
53	12.597	0.05
54	11.681	0.05
55	11.593	0.05
56	12.486	0.05
57	11.385	0.05
58	11.273	0.05
59	11.662	0.05
60	11.446	0.05
61	12.352	0.05
62	6.708	0.05
63	11.388	0.05
64	11.818	0.05
65	11.182	0.05
66	12.424	0.05
67	13.78	0.05
68	12.154	0.05
69	11.488	0.05
70	11.403	0.05
71	11.965	0.05
72	12.859	0.05
73	11.196	0.05
74	11.174	0.05
75	11.571	0.05
76	11.007	0.05
77	12.949	0.05
78	11.347	0.05
79	12.101	0.05
80	13.313	0.05
81	11.962	0.05
82	12.361	0.05
83	11.028	0.05
84	11.419	0.05
85	11.609	0.05
86	12.861	0.05
87	13.157	0.05
88	12.095	0.05
89	12.978	0.05
90	11.509	0.05
91	11.764	0.05
92	12.767	0.05
93	11.764	0.05
94	12.257	0.05
95	11.64	0.05
96	12.397	0.05
97	13.442	0.05
98	12.284	0.05
99	1.309	0.05
100	11.739	0.05
101	11.696	0.05
102	10.88	0.05
103	12.223	0.05
104	1.133	0.05
105	11.923	0.05
106	11.53	0.05
107	11.331	0.05
108	1.297	0.05
109	12.151	0.05
110	13.394	0.05
111	11.752	0.05
112	11.589	0.05
113	2.589	0.05
114	11.835	0.05
115	12.914	0.05
116	11.807	0.05
117	11.685	0.05
118	11.175	0.05
119	10.927	0.05
120	13.346	0.05
121	12.057	0.05
122	11.548	0.05
123	12.091	0.05
124	12.168	0.05
125	12.736	0.05
126	11.801	0.05
127	11.994	0.05
128	11.156	0.05
129	12.003	0.05
130	13.446	0.05
131	11.607	0.05
132	11.603	0.05
133	11.389	0.05
134	11.706	0.05
135	13.248	0.05
136	12.31	0.05
137	12.381	0.05
138	12.674	0.05
139	12.002	0.05
140	12.445	0.05
141	11.37	0.05
142	11.861	0.05
143	12.133	0.05
144	11.736	0.05
145	13.489	0.05
146	11.976	0.05
147	13.186	0.05
148	2.669	0.05
149	11.551	0.05
150	12.214	0.05
1	14.135	0.1
2	12.467	0.1
3	12.439	0.1
4	8.887	0.1
5	12.778	0.1
6	13.63	0.1
7	11.525	0.1
8	8.867	0.1
9	13.45	0.1
10	13.361	0.1
11	8.625	0.1
12	12.178	0.1
13	12.162	0.1
14	13.081	0.1
15	12.515	0.1
16	13.378	0.1
17	13.098	0.1
18	12.423	0.1
19	12.419	0.1
20	14.162	0.1
21	13.093	0.1
22	13.031	0.1
23	12.665	0.1
24	12.36	0.1
25	13.753	0.1
26	11.385	0.1
27	8.834	0.1
28	12.169	0.1
29	12.841	0.1
30	13.299	0.1
31	1.468	0.1
32	11.746	0.1
33	12.471	0.1
34	1.779	0.1
35	11.673	0.1
36	12.198	0.1
37	5.076	0.1
38	12.724	0.1
39	13.211	0.1
40	5.867	0.1
41	12.255	0.1
42	12.294	0.1
43	14.483	0.1
44	12.91	0.1
45	12.74	0.1
46	11.531	0.1
47	14.761	0.1
48	11.518	0.1
49	12.113	0.1
50	13.004	0.1
51	12.002	0.1
52	13.727	0.1
53	13.958	0.1
54	12.854	0.1
55	12.472	0.1
56	12.25	0.1
57	14.069	0.1
58	12.142	0.1
59	12.566	0.1
60	12.116	0.1
61	13.667	0.1
62	7.231	0.1
63	12.856	0.1
64	13.209	0.1
65	12.829	0.1
66	13.956	0.1
67	12.03	0.1
68	12.881	0.1
69	12.94	0.1
70	13.045	0.1
71	9.675	0.1
72	12.724	0.1
73	12.284	0.1
74	12.158	0.1
75	12.224	0.1
76	13.973	0.1
77	4.151	0.1
78	12.453	0.1
79	1.27	0.1
80	12.987	0.1
81	12.197	0.1
82	12.912	0.1
83	12.275	0.1
84	12.633	0.1
85	9.115	0.1
86	13.723	0.1
87	14.491	0.1
88	13.493	0.1
89	12.555	0.1
90	12.687	0.1
91	15.903	0.1
92	16.032	0.1
93	14.217	0.1
94	13.977	0.1
95	13.414	0.1
96	13.896	0.1
97	12.714	0.1
98	13.063	0.1
99	1.515	0.1
100	12.753	0.1
101	14.253	0.1
102	11.901	0.1
103	12.111	0.1
104	1.516	0.1
105	5.414	0.1
106	13.105	0.1
107	13.17	0.1
108	2.942	0.1
109	13.246	0.1
110	4.598	0.1
111	12.696	0.1
112	12.529	0.1
113	4.281	0.1
114	14.819	0.1
115	11.878	0.1
116	12.39	0.1
117	13.165	0.1
118	12.722	0.1
119	13.139	0.1
120	12.022	0.1
121	12.604	0.1
122	11.672	0.1
123	13.957	0.1
124	13.873	0.1
125	12.576	0.1
126	13.299	0.1
127	12.856	0.1
128	13.823	0.1
129	12.166	0.1
130	12.554	0.1
131	11.6	0.1
132	12.714	0.1
133	13.891	0.1
134	12.12	0.1
135	12.513	0.1
136	13.519	0.1
137	13.407	0.1
138	13.621	0.1
139	11.862	0.1
140	12.346	0.1
141	12.717	0.1
142	13.62	0.1
143	12.692	0.1
144	12.592	0.1
145	12.639	0.1
146	13.104	0.1
147	14.616	0.1
148	3.74	0.1
149	11.837	0.1
150	12.921	0.1
1	13.181	0.15
2	13.992	0.15
3	12.662	0.15
4	4.587	0.15
5	13.12	0.15
6	12.996	0.15
7	13.936	0.15
8	9.175	0.15
9	12.681	0.15
10	13.934	0.15
11	1.485	0.15
12	12.683	0.15
13	13.903	0.15
14	7.502	0.15
15	12.666	0.15
16	13.225	0.15
17	13.102	0.15
18	14.424	0.15
19	6.005	0.15
20	13.991	0.15
21	14.016	0.15
22	15.966	0.15
23	7.337	0.15
24	12.885	0.15
25	13.264	0.15
26	12.408	0.15
27	8.954	0.15
28	14.198	0.15
29	13.215	0.15
30	13.386	0.15
31	1.651	0.15
32	12.679	0.15
33	14.007	0.15
34	1.527	0.15
35	12.566	0.15
36	13.488	0.15
37	4.325	0.15
38	12.171	0.15
39	16.32	0.15
40	8.645	0.15
41	13.135	0.15
42	12.507	0.15
43	13.558	0.15
44	14.179	0.15
45	12.88	0.15
46	12.593	0.15
47	12.113	0.15
48	12.691	0.15
49	14.258	0.15
50	13.196	0.15
51	12.649	0.15
52	13.043	0.15
53	15.438	0.15
54	13.728	0.15
55	13.555	0.15
56	12.778	0.15
57	13.444	0.15
58	15.089	0.15
59	13.925	0.15
60	13.405	0.15
61	13.074	0.15
62	3.153	0.15
63	14.542	0.15
64	13.294	0.15
65	13.738	0.15
66	13.062	0.15
67	13.723	0.15
68	13.708	0.15
69	12.997	0.15
70	13.328	0.15
71	11.545	0.15
72	14.222	0.15
73	13.127	0.15
74	13.053	0.15
75	13.704	0.15
76	14.162	0.15
77	4.311	0.15
78	12.913	0.15
79	4.157	0.15
80	13.154	0.15
81	2.8	0.15
82	12.39	0.15
83	14.353	0.15
84	13.265	0.15
85	1.599	0.15
86	6.935	0.15
87	15.125	0.15
88	13.475	0.15
89	14.042	0.15
90	12.66	0.15
91	12.558	0.15
92	13.492	0.15
93	14.927	0.15
94	13.992	0.15
95	14.008	0.15
96	14.182	0.15
97	14.927	0.15
98	14.179	0.15
99	1.755	0.15
100	12.983	0.15
101	13.176	0.15
102	13.447	0.15
103	12.776	0.15
104	1.291	0.15
105	13.428	0.15
106	13.66	0.15
107	13.072	0.15
108	1.506	0.15
109	15.039	0.15
110	4.39	0.15
111	7.663	0.15
112	12.841	0.15
113	1.552	0.15
114	13.313	0.15
115	14.383	0.15
116	13.429	0.15
117	5.766	0.15
118	13.111	0.15
119	12.919	0.15
120	13.461	0.15
121	13.57	0.15
122	12.526	0.15
123	14.036	0.15
124	15.548	0.15
125	13.245	0.15
126	1.486	0.15
127	12.793	0.15
128	12.645	0.15
129	12.812	0.15
130	6.996	0.15
131	13.57	0.15
132	13.338	0.15
133	13.375	0.15
134	4.559	0.15
135	13.221	0.15
136	14.2	0.15
137	12.64	0.15
138	14.862	0.15
139	13.003	0.15
140	14.285	0.15
141	13.309	0.15
142	13.106	0.15
143	12.953	0.15
144	14.368	0.15
145	13.349	0.15
146	13.152	0.15
147	6.472	0.15
148	3.257	0.15
149	11.977	0.15
150	14.849	0.15
1	14.36	0.2
2	13.52	0.2
3	13.69	0.2
4	1.514	0.2
5	15.627	0.2
6	13.773	0.2
7	13.371	0.2
8	9.47	0.2
9	11.655	0.2
10	15.933	0.2
11	1.575	0.2
12	13.16	0.2
13	13.657	0.2
14	1.933	0.2
15	14.807	0.2
16	14.029	0.2
17	13.927	0.2
18	1.528	0.2
19	1.371	0.2
20	14.276	0.2
21	14.927	0.2
22	9.366	0.2
23	13.701	0.2
24	14.223	0.2
25	13.419	0.2
26	14.013	0.2
27	4.293	0.2
28	14.335	0.2
29	3.166	0.2
30	15.003	0.2
31	1.981	0.2
32	13.43	0.2
33	14.921	0.2
34	1.787	0.2
35	13.678	0.2
36	13.792	0.2
37	4.551	0.2
38	13.193	0.2
39	16.456	0.2
40	1.78	0.2
41	13.406	0.2
42	13.739	0.2
43	7.725	0.2
44	13.722	0.2
45	8.837	0.2
46	13.771	0.2
47	3.479	0.2
48	13.499	0.2
49	13.972	0.2
50	15.138	0.2
51	13.072	0.2
52	14.066	0.2
53	14.53	0.2
54	15.846	0.2
55	13.686	0.2
56	13.256	0.2
57	14.182	0.2
58	14.304	0.2
59	15.368	0.2
60	13.666	0.2
61	14.407	0.2
62	3.303	0.2
63	14.471	0.2
64	12.771	0.2
65	13.247	0.2
66	13.612	0.2
67	12.883	0.2
68	15.621	0.2
69	13.408	0.2
70	14.344	0.2
71	4.773	0.2
72	13.661	0.2
73	14.151	0.2
74	13.574	0.2
75	13.598	0.2
76	14.421	0.2
77	1.397	0.2
78	15.233	0.2
79	1.601	0.2
80	14.458	0.2
81	2.815	0.2
82	13.419	0.2
83	13.605	0.2
84	14.864	0.2
85	1.611	0.2
86	6.65	0.2
87	13.625	0.2
88	13.587	0.2
89	13.32	0.2
90	14.188	0.2
91	13.403	0.2
92	15.195	0.2
93	14.775	0.2
94	16.239	0.2
95	9.645	0.2
96	1.604	0.2
97	14.266	0.2
98	14.903	0.2
99	1.598	0.2
100	16.207	0.2
101	14.172	0.2
102	13.682	0.2
103	9.229	0.2
104	1.309	0.2
105	15.798	0.2
106	15.185	0.2
107	13.977	0.2
108	1.532	0.2
109	15.537	0.2
110	1.732	0.2
111	10.327	0.2
112	6.127	0.2
113	1.355	0.2
114	14.163	0.2
115	13.796	0.2
116	14.475	0.2
117	6.034	0.2
118	15.62	0.2
119	13.749	0.2
120	13.303	0.2
121	14.967	0.2
122	14.736	0.2
123	14.04	0.2
124	13.93	0.2
125	13.461	0.2
126	1.396	0.2
127	8.837	0.2
128	13.412	0.2
129	14.01	0.2
130	3.016	0.2
131	13.808	0.2
132	15.723	0.2
133	13.785	0.2
134	4.627	0.2
135	13.809	0.2
136	14.189	0.2
137	16.198	0.2
138	14.743	0.2
139	13.398	0.2
140	13.645	0.2
141	15.273	0.2
142	14.243	0.2
143	13.764	0.2
144	13.804	0.2
145	13.367	0.2
146	15.412	0.2
147	6.771	0.2
148	1.658	0.2
149	13.362	0.2
150	8.227	0.2
