Img	Time(s)	Epsilon
1	20.688	0.05
2	18.17	0.05
3	19.383	0.05
4	20.192	0.05
5	19.615	0.05
6	20.569	0.05
7	18.385	0.05
8	19.467	0.05
9	20.307	0.05
10	19.132	0.05
11	22.169	0.05
12	19.22	0.05
13	19.923	0.05
14	18.817	0.05
15	19.785	0.05
16	17.637	0.05
17	19.094	0.05
18	21.075	0.05
19	19.045	0.05
20	19.23	0.05
21	20.271	0.05
22	20.092	0.05
23	19.53	0.05
24	19.095	0.05
25	18.285	0.05
26	18.336	0.05
27	21.348	0.05
28	19.35	0.05
29	20.354	0.05
30	20.365	0.05
31	2.439	0.05
32	17.078	0.05
33	18.974	0.05
34	2.447	0.05
35	19.653	0.05
36	18.894	0.05
37	18.682	0.05
38	19.362	0.05
39	22.679	0.05
40	22.567	0.05
41	19.779	0.05
42	18.935	0.05
43	21.01	0.05
44	23.285	0.05
45	21.029	0.05
46	18.239	0.05
47	20.555	0.05
48	18.565	0.05
49	19.513	0.05
50	20.624	0.05
51	18.198	0.05
52	19.618	0.05
53	21.436	0.05
54	20.278	0.05
55	19.581	0.05
56	19.337	0.05
57	19.386	0.05
58	19.333	0.05
59	19.651	0.05
60	19.065	0.05
61	21.681	0.05
62	21.055	0.05
63	19.188	0.05
64	19.523	0.05
65	20.192	0.05
66	18.701	0.05
67	19.212	0.05
68	20.711	0.05
69	18.829	0.05
70	19.85	0.05
71	20.348	0.05
72	19.306	0.05
73	18.445	0.05
74	19.656	0.05
75	20.479	0.05
76	19.561	0.05
77	21.009	0.05
78	18.989	0.05
79	22.023	0.05
80	20.965	0.05
81	19.2	0.05
82	19.38	0.05
83	19.99	0.05
84	18.63	0.05
85	19.964	0.05
86	21.759	0.05
87	20.054	0.05
88	19.454	0.05
89	21.93	0.05
90	19.466	0.05
91	19.182	0.05
92	20.509	0.05
93	19.594	0.05
94	20.841	0.05
95	20.366	0.05
96	18.838	0.05
97	20.813	0.05
98	21.563	0.05
99	2.436	0.05
100	19.865	0.05
101	19.751	0.05
102	18.898	0.05
103	20.058	0.05
104	19.501	0.05
105	21.286	0.05
106	20.969	0.05
107	18.719	0.05
108	10.666	0.05
109	20.552	0.05
110	20.69	0.05
111	20.783	0.05
112	18.835	0.05
113	19.651	0.05
114	21.673	0.05
115	18.084	0.05
116	18.897	0.05
117	19.881	0.05
118	20.138	0.05
119	18.613	0.05
120	18.364	0.05
121	20.906	0.05
122	18.157	0.05
123	19.497	0.05
124	21.396	0.05
125	18.331	0.05
126	8.912	0.05
127	21.327	0.05
128	18.644	0.05
129	19.826	0.05
130	20.293	0.05
131	17.911	0.05
132	20.326	0.05
133	21.222	0.05
134	20.109	0.05
135	19.524	0.05
136	22.756	0.05
137	19.795	0.05
138	20.694	0.05
139	20.383	0.05
140	18.24	0.05
141	20.217	0.05
142	20.148	0.05
143	19.192	0.05
144	18.553	0.05
145	20.257	0.05
146	18.73	0.05
147	20.835	0.05
148	4.416	0.05
149	19.887	0.05
150	20.102	0.05
1	24.985	0.1
2	19.386	0.1
3	21.432	0.1
4	22.896	0.1
5	24.385	0.1
6	23.27	0.1
7	21.253	0.1
8	21.465	0.1
9	20.492	0.1
10	23.54	0.1
11	13.154	0.1
12	20.814	0.1
13	23.309	0.1
14	20.884	0.1
15	21.325	0.1
16	21.959	0.1
17	23.046	0.1
18	23.931	0.1
19	21.633	0.1
20	21.998	0.1
21	24.165	0.1
22	23.597	0.1
23	22.285	0.1
24	22.529	0.1
25	20.116	0.1
26	20.465	0.1
27	25.162	0.1
28	23.252	0.1
29	24.441	0.1
30	23.156	0.1
31	2.416	0.1
32	19.811	0.1
33	22.564	0.1
34	2.419	0.1
35	20.549	0.1
36	23.385	0.1
37	22.549	0.1
38	21.521	0.1
39	24.203	0.1
40	22.247	0.1
41	20.055	0.1
42	24.173	0.1
43	23.914	0.1
44	24.971	0.1
45	21.516	0.1
46	19.399	0.1
47	24.006	0.1
48	20.478	0.1
49	22.929	0.1
50	23.565	0.1
51	19.929	0.1
52	24.8	0.1
53	24.343	0.1
54	22.757	0.1
55	23.573	0.1
56	20.944	0.1
57	22.13	0.1
58	23.133	0.1
59	20.04	0.1
60	25.078	0.1
61	23.772	0.1
62	22.059	0.1
63	24.137	0.1
64	22.281	0.1
65	22.185	0.1
66	21.268	0.1
67	22.169	0.1
68	26.615	0.1
69	20.519	0.1
70	22.056	0.1
71	24.848	0.1
72	22.96	0.1
73	21.949	0.1
74	21.493	0.1
75	23.882	0.1
76	22.739	0.1
77	22.101	0.1
78	21.748	0.1
79	24.19	0.1
80	23.511	0.1
81	22.638	0.1
82	22.006	0.1
83	21.382	0.1
84	23.805	0.1
85	22.893	0.1
86	22.642	0.1
87	23.805	0.1
88	20.851	0.1
89	22.828	0.1
90	20.919	0.1
91	20.75	0.1
92	24.195	0.1
93	23.471	0.1
94	22.636	0.1
95	24.355	0.1
96	22.184	0.1
97	23.629	0.1
98	24.209	0.1
99	2.986	0.1
100	22.646	0.1
101	24.715	0.1
102	19.042	0.1
103	23.033	0.1
104	21.158	0.1
105	23.68	0.1
106	7.432	0.1
107	21.158	0.1
108	21.582	0.1
109	25.911	0.1
110	23.462	0.1
111	23.117	0.1
112	22.58	0.1
113	24.409	0.1
114	24.09	0.1
115	19.899	0.1
116	22.594	0.1
117	23.323	0.1
118	22.688	0.1
119	21.049	0.1
120	22.18	0.1
121	23.258	0.1
122	20.002	0.1
123	23.754	0.1
124	23.429	0.1
125	21.212	0.1
126	2.892	0.1
127	24.058	0.1
128	20.87	0.1
129	21.999	0.1
130	20.899	0.1
131	19.264	0.1
132	22.129	0.1
133	23.006	0.1
134	22.893	0.1
135	22.672	0.1
136	24.823	0.1
137	28.46	0.1
138	23.455	0.1
139	23.069	0.1
140	21.77	0.1
141	23.815	0.1
142	22.893	0.1
143	21.919	0.1
144	25.26	0.1
145	22.03	0.1
146	22.375	0.1
147	24.297	0.1
148	2.495	0.1
149	20.26	0.1
150	23.954	0.1
1	28.504	0.15
2	21.566	0.15
3	26.02	0.15
4	24.995	0.15
5	25.808	0.15
6	24.774	0.15
7	23.396	0.15
8	24.733	0.15
9	12.856	0.15
10	24.151	0.15
11	2.314	0.15
12	23.308	0.15
13	24.189	0.15
14	24.564	0.15
15	24.052	0.15
16	23.744	0.15
17	25.552	0.15
18	25.9	0.15
19	25.983	0.15
20	23.832	0.15
21	30.267	0.15
22	29.285	0.15
23	23.84	0.15
24	23.369	0.15
25	22.329	0.15
26	24.444	0.15
27	25.489	0.15
28	25.374	0.15
29	25.176	0.15
30	24.865	0.15
31	2.812	0.15
32	21.789	0.15
33	23.395	0.15
34	3.174	0.15
35	23.126	0.15
36	23.794	0.15
37	23.301	0.15
38	25.696	0.15
39	30.031	0.15
40	26.227	0.15
41	22.782	0.15
42	24.533	0.15
43	8.431	0.15
44	26.311	0.15
45	26.854	0.15
46	21.367	0.15
47	23.532	0.15
48	25.148	0.15
49	23.301	0.15
50	25.556	0.15
51	23.08	0.15
52	24.439	0.15
53	26.724	0.15
54	26.299	0.15
55	25.156	0.15
56	24.393	0.15
57	25.949	0.15
58	23.387	0.15
59	24.361	0.15
60	25.433	0.15
61	26.178	0.15
62	25.863	0.15
63	23.445	0.15
64	24.029	0.15
65	25.873	0.15
66	24.017	0.15
67	24.671	0.15
68	25.708	0.15
69	23.061	0.15
70	25.625	0.15
71	25.397	0.15
72	25.857	0.15
73	23.239	0.15
74	25.108	0.15
75	24.473	0.15
76	26.303	0.15
77	27.178	0.15
78	24.021	0.15
79	25.386	0.15
80	26.013	0.15
81	25.034	0.15
82	25.643	0.15
83	24.188	0.15
84	25.685	0.15
85	25.411	0.15
86	26.697	0.15
87	25.739	0.15
88	23.027	0.15
89	26.07	0.15
90	24.264	0.15
91	24.621	0.15
92	25.712	0.15
93	27.125	0.15
94	26.843	0.15
95	24.56	0.15
96	26.393	0.15
97	24.811	0.15
98	30.56	0.15
99	2.799	0.15
100	25.604	0.15
101	26.673	0.15
102	21.05	0.15
103	24.406	0.15
104	3.155	0.15
105	24.657	0.15
106	8.834	0.15
107	23.258	0.15
108	6.719	0.15
109	25.158	0.15
110	24.624	0.15
111	25.817	0.15
112	22.631	0.15
113	26.34	0.15
114	24.105	0.15
115	23.547	0.15
116	25.788	0.15
117	24.826	0.15
118	26.364	0.15
119	24.378	0.15
120	24.784	0.15
121	25.106	0.15
122	23.445	0.15
123	25.099	0.15
124	25.506	0.15
125	23.935	0.15
126	2.655	0.15
127	16.449	0.15
128	22.04	0.15
129	24.486	0.15
130	23.825	0.15
131	22.204	0.15
132	24.766	0.15
133	24.863	0.15
134	26.108	0.15
135	23.87	0.15
136	26.163	0.15
137	24.536	0.15
138	25.378	0.15
139	24.837	0.15
140	22.575	0.15
141	13.193	0.15
142	25.854	0.15
143	23.57	0.15
144	25.477	0.15
145	23.726	0.15
146	24.509	0.15
147	25.338	0.15
148	2.703	0.15
149	21.853	0.15
150	27.42	0.15
1	31.498	0.2
2	23.992	0.2
3	26.705	0.2
4	30.736	0.2
5	30.034	0.2
6	28.217	0.2
7	25.459	0.2
8	25.906	0.2
9	13.897	0.2
10	25.636	0.2
11	11.795	0.2
12	26.25	0.2
13	30.002	0.2
14	27.266	0.2
15	24.741	0.2
16	26.166	0.2
17	29.494	0.2
18	24.773	0.2
19	30.143	0.2
20	16.22	0.2
21	32.94	0.2
22	30.643	0.2
23	26.467	0.2
24	25.618	0.2
25	27.049	0.2
26	24.422	0.2
27	29.936	0.2
28	29.071	0.2
29	32.688	0.2
30	29.476	0.2
31	3.139	0.2
32	24.127	0.2
33	25.702	0.2
34	9.818	0.2
35	25.53	0.2
36	26.245	0.2
37	25.85	0.2
38	28.343	0.2
39	30.968	0.2
40	28.278	0.2
41	24.494	0.2
42	26.302	0.2
43	29.676	0.2
44	32.341	0.2
45	28.76	0.2
46	26.151	0.2
47	29.178	0.2
48	29.807	0.2
49	25.264	0.2
50	25.512	0.2
51	26.183	0.2
52	28.982	0.2
53	30.665	0.2
54	30.946	0.2
55	26.495	0.2
56	27.879	0.2
57	30.443	0.2
58	27.217	0.2
59	25.127	0.2
60	30.126	0.2
61	6.846	0.2
62	30.602	0.2
63	30.069	0.2
64	25.787	0.2
65	31.553	0.2
66	27.863	0.2
67	24.78	0.2
68	32.216	0.2
69	25.168	0.2
70	29.874	0.2
71	30.438	0.2
72	28.984	0.2
73	25.31	0.2
74	29.248	0.2
75	31.309	0.2
76	26.483	0.2
77	26.247	0.2
78	29.626	0.2
79	32.29	0.2
80	29.381	0.2
81	16.932	0.2
82	29.339	0.2
83	27.57	0.2
84	28.134	0.2
85	30.815	0.2
86	28.318	0.2
87	31.22	0.2
88	24.415	0.2
