Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	-3.0557568068433367	2
1	1	0.05	-3.0438592173849095	2
1	3	0.05	2.386374023371212	2
1	4	0.05	-3.1466967407855075	2
1	5	0.05	-3.1567809162835228	2
1	6	0.05	0.3200738380244948	2
1	7	0.05	-3.1163274119198006	2
1	8	0.05	-0.16278635248223433	2
1	9	0.05	-2.753063716303436	2
2	1	0.05	-7.547826721277969	0
2	2	0.05	-7.519927052245257	0
2	3	0.05	-7.366761031613479	0
2	4	0.05	-7.623704728484018	0
2	5	0.05	-7.574788283942804	0
2	6	0.05	-7.170111953862083	0
2	7	0.05	-7.637386920268927	0
2	8	0.05	-7.396048325322413	0
2	9	0.05	-7.4704835570185875	0
3	0	0.05	-7.702767187291193	4
3	1	0.05	-7.76618513755334	4
3	2	0.05	-7.744415202051993	4
3	3	0.05	-7.776249645847811	4
3	5	0.05	-7.754053452085205	4
3	6	0.05	-7.817260301367877	4
3	7	0.05	-7.744420926655582	4
3	8	0.05	-7.839628081094778	4
3	9	0.05	-5.9899096587529455	4
4	0	0.05	5.7927578707636	8
4	1	0.05	2.744047322104591	8
4	2	0.05	4.554304312130034	8
4	3	0.05	5.673569795736734	8
4	4	0.05	-0.08710045087699465	8
4	5	0.05	6.955938479751437	8
4	6	0.05	6.6885782465972925	8
4	7	0.05	-0.1315034511965241	8
4	9	0.05	3.153389145124606	8
5	0	0.05	-7.618784751284075	7
5	1	0.05	-7.67094400482666	7
5	2	0.05	-6.882205901276531	7
5	3	0.05	-7.096182451807554	7
5	4	0.05	-7.263844412277356	7
5	5	0.05	-7.62589734884812	7
5	6	0.05	-7.534864381673055	7
5	8	0.05	-7.752050863790088	7
5	9	0.05	-7.298701343035503	7
6	0	0.05	-7.675706236388742	6
6	1	0.05	-7.675773679715233	6
6	2	0.05	-5.06819905177014	6
6	3	0.05	-7.322589563469049	6
6	4	0.05	-7.753307328809814	6
6	5	0.05	-4.433349862952531	6
6	7	0.05	-7.8413862379711965	6
6	8	0.05	-1.8798463274832287	6
6	9	0.05	-5.821399521381258	6
7	1	0.05	-7.551361707858578	0
7	2	0.05	-7.523980670540427	0
7	3	0.05	-7.373924667778245	0
7	4	0.05	-7.628874182296929	0
7	5	0.05	-7.5747520187603445	0
7	6	0.05	-7.591627448478896	0
7	7	0.05	-7.641332883948473	0
7	8	0.05	-7.675118085877927	0
7	9	0.05	-7.466686561001649	0
8	0	0.05	0.4169556414350427	6
8	1	0.05	-1.1624434811834365	6
8	2	0.05	2.9003123851595567	6
8	3	0.05	-0.9829096577371556	6
8	4	0.05	-1.1659702959889813	6
