Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.05	7.452076897215946	2
1	1	0.05	7.430227474390942	2
1	3	0.05	7.5751809848771785	2
1	4	0.05	7.426702342646381	2
1	5	0.05	7.659660500435488	2
1	6	0.05	7.564112292466236	2
1	7	0.05	7.568395418256011	2
1	8	0.05	7.650508480859816	2
1	9	0.05	7.604960642291975	2
2	1	0.05	-7.604322868273906	0
2	2	0.05	-7.431496630088115	0
2	3	0.05	-7.626972096885639	0
2	4	0.05	-7.021916915105417	0
2	5	0.05	-3.582013034537427	0
2	6	0.05	-5.711933279226563	0
2	7	0.05	-7.496034557222086	0
2	8	0.05	-7.2131314048893405	0
2	9	0.05	-7.068779574945807	0
3	0	0.05	0.9467606778731581	4
3	1	0.05	0.020143842958621525	4
3	2	0.05	-0.49154776017784635	4
3	3	0.05	3.6001021119376566	4
3	5	0.05	0.41899887275896774	4
3	6	0.05	4.3902803719577195	4
3	7	0.05	4.623194729958332	4
3	8	0.05	0.6981761485649827	4
3	9	0.05	6.404766297803563	4
4	0	0.05	7.968268926987882	8
4	1	0.05	7.850295311146547	8
4	2	0.05	7.528349599679452	8
4	3	0.05	7.832134920908973	8
4	4	0.05	6.415175615805124	8
4	5	0.05	8.077794322857525	8
4	6	0.05	7.90398941690151	8
4	7	0.05	7.797358363976937	8
4	9	0.05	7.780982422643333	8
5	0	0.05	7.593160308962533	7
5	1	0.05	6.401388348268881	7
5	2	0.05	7.554179466380928	7
5	3	0.05	7.636025399989171	7
5	4	0.05	6.940577144997201	7
5	5	0.05	7.45785744903694	7
5	6	0.05	6.815428366812856	7
5	8	0.05	6.349394165826248	7
5	9	0.05	7.58301368269709	7
6	0	0.05	6.240140714374526	6
6	1	0.05	6.010646922313826	6
6	2	0.05	6.1035074599081565	6
6	3	0.05	5.433231949749708	6
6	4	0.05	7.067035368176279	6
6	5	0.05	7.565128146558412	6
6	7	0.05	6.21432253799934	6
6	8	0.05	6.499264950946757	6
6	9	0.05	7.525765697587352	6
7	1	0.05	-6.207501482155058	0
7	2	0.05	-6.0491040568331815	0
7	3	0.05	-6.229217962041908	0
7	4	0.05	-5.811387054753948	0
7	5	0.05	-0.8161977863938894	0
7	6	0.05	-3.980854558442447	0
7	7	0.05	-3.0865098390754544	0
7	8	0.05	-4.724303838882084	0
7	9	0.05	-3.7012181457199995	0
8	0	0.05	7.474823686498924	6
8	1	0.05	4.928736214869137	6
8	2	0.05	6.466097639781938	6
8	3	0.05	6.623407601885571	6
8	4	0.05	5.869409987391762	6
8	5	0.05	7.477785732726969	6
8	7	0.05	3.7254364854560795	6
8	8	0.05	7.393739076743743	6
8	9	0.05	6.579769031494883	6
9	0	0.05	5.710058599294106	3
9	1	0.05	6.215251424747479	3
9	2	0.05	7.537288781227313	3
9	4	0.05	4.590491265447789	3
9	5	0.05	7.813387537563534	3
9	6	0.05	6.311269048703018	3
9	7	0.05	5.41637082636429	3
9	8	0.05	7.3967060026211335	3
9	9	0.05	6.3857348246023085	3
10	0	0.05	6.662225727725929	1
10	2	0.05	7.611844388893068	1
10	3	0.05	7.2999892365333725	1
10	4	0.05	5.41580503503738	1
10	5	0.05	7.621363854547214	1
10	6	0.05	7.586059167061308	1
10	7	0.05	6.569983499503839	1
10	8	0.05	7.209659839789951	1
10	9	0.05	6.972723929595111	1
11	0	0.05	7.970150584005142	8
11	1	0.05	7.698304685476834	8
11	2	0.05	7.885245352396038	8
11	3	0.05	7.827327849365983	8
11	4	0.05	7.661740348072599	8
11	5	0.05	8.078206572761976	8
11	6	0.05	7.906540107053304	8
11	7	0.05	7.795366786249603	8
11	9	0.05	7.787654666506062	8
12	1	0.05	-7.050350831127888	0
12	2	0.05	-3.4653079914432814	0
12	3	0.05	-4.072430666389724	0
12	4	0.05	-6.829529057254207	0
12	5	0.05	-6.594968577130861	0
12	6	0.05	-2.2157751262995804	0
12	7	0.05	-6.658513908335991	0
12	8	0.05	-3.9841054995818315	0
12	9	0.05	-4.09759617569608	0
13	0	0.05	7.606831302217611	7
13	1	0.05	6.696834822584798	7
13	2	0.05	7.563776970185853	7
13	3	0.05	7.6452024089508415	7
13	4	0.05	6.695181550044585	7
13	5	0.05	7.677858933199418	7
13	6	0.05	7.286467062758617	7
13	8	0.05	7.383442203993133	7
13	9	0.05	7.588290934167437	7
14	0	0.05	3.0034255603466202	9
14	1	0.05	-1.0262434179251694	9
14	2	0.05	-0.7874311589977288	9
14	3	0.05	4.0081957222073825	9
14	4	0.05	2.1124622981217973	9
14	5	0.05	0.3785161243068633	9
14	6	0.05	-1.0020535326718123	9
14	7	0.05	6.151168742748188	9
14	8	0.05	5.082558504301674	9
15	0	0.05	4.024349503268003	8
15	1	0.05	-0.3320266160068742	8
15	2	0.05	5.025005003942245	8
15	3	0.05	4.490423868836284	8
15	4	0.05	1.703760625471225	8
15	5	0.05	5.286743081931012	8
15	6	0.05	4.221318107967807	8
15	7	0.05	3.1250694760513054	8
15	9	0.05	5.591934169499409	8
16	0	0.05	-2.5049708952777956	4
16	1	0.05	-6.855197945253115	4
16	2	0.05	-5.076645480819172	4
16	3	0.05	-6.8724520686896895	4
16	5	0.05	-6.617611496848665	4
16	6	0.05	-3.7388506055476416	4
16	7	0.05	-3.1845084807034443	4
16	8	0.05	-1.0248564846147004	4
16	9	0.05	-3.5067408136746963	4
17	0	0.05	6.923679204249771	5
17	1	0.05	5.47229269816112	5
17	2	0.05	5.296798865225407	5
17	3	0.05	5.381705754366303	5
17	4	0.05	5.567941060195061	5
17	6	0.05	7.1665803975095015	5
17	7	0.05	6.280365852604342	5
17	8	0.05	6.41313037631688	5
17	9	0.05	5.633548106216666	5
18	0	0.05	7.701904300654702	3
18	1	0.05	7.659296001723007	3
18	2	0.05	7.338976460797343	3
18	4	0.05	7.4224934525655675	3
18	5	0.05	7.820347905111218	3
18	6	0.05	7.633684669805218	3
18	7	0.05	7.661933536768883	3
18	8	0.05	7.587254841614342	3
18	9	0.05	7.6900725261431155	3
19	0	0.05	4.357278763865985	4
19	1	0.05	5.970040028073427	4
19	2	0.05	5.236322557076248	4
19	3	0.05	6.94518115627169	4
19	5	0.05	6.166699064041312	4
19	6	0.05	4.638673887212122	4
19	7	0.05	6.514903273235259	4
19	8	0.05	6.61937247950151	4
19	9	0.05	7.417848356501299	4
20	1	0.05	5.25033471287363	0
20	2	0.05	7.60321076198819	0
20	3	0.05	7.375483068017223	0
20	4	0.05	6.596624754409929	0
20	5	0.05	7.750852040731953	0
20	6	0.05	7.402374796395601	0
20	7	0.05	7.634601716171901	0
20	8	0.05	7.64756147297956	0
20	9	0.05	7.62939079313005	0
21	0	0.05	4.997560287534943	6
21	1	0.05	4.819431901440399	6
21	2	0.05	5.991295213044628	6
21	3	0.05	4.697000634393213	6
21	4	0.05	6.867855242030189	6
21	5	0.05	7.004760028511721	6
21	7	0.05	6.258429032280403	6
21	8	0.05	5.903667798485872	6
21	9	0.05	7.539114127061682	6
22	0	0.05	6.652877737673456	6
22	1	0.05	7.3035889870552815	6
22	2	0.05	7.554339535381542	6
22	3	0.05	7.607257292752505	6
22	4	0.05	7.4052352994492665	6
22	5	0.05	7.693163592379446	6
22	7	0.05	7.6097570481343455	6
22	8	0.05	7.709060338385579	6
22	9	0.05	7.603523097508448	6
23	0	0.05	7.330104275729609	3
23	1	0.05	7.589550310687169	3
