Img	Time(s)	Epsilon
1	9.839	0.008
2	9.882	0.008
3	9.682	0.008
4	9.94	0.008
5	9.679	0.008
6	9.888	0.008
7	9.71	0.008
8	9.904	0.008
9	9.923	0.008
10	9.785	0.008
11	9.973	0.008
12	9.74	0.008
13	9.892	0.008
14	9.691	0.008
15	9.807	0.008
16	9.736	0.008
17	9.695	0.008
18	9.899	0.008
19	9.876	0.008
20	9.836	0.008
21	9.825	0.008
22	9.785	0.008
23	9.871	0.008
24	9.674	0.008
25	9.921	0.008
26	9.695	0.008
27	9.939	0.008
28	9.8	0.008
29	9.766	0.008
30	9.729	0.008
31	1.194	0.008
32	9.848	0.008
33	9.766	0.008
34	2.215	0.008
35	9.813	0.008
36	9.793	0.008
37	9.873	0.008
38	9.772	0.008
39	9.877	0.008
40	9.677	0.008
41	9.891	0.008
42	9.678	0.008
43	9.937	0.008
44	9.597	0.008
45	9.848	0.008
46	9.591	0.008
47	9.822	0.008
48	9.693	0.008
49	9.759	0.008
50	9.752	0.008
51	9.787	0.008
52	9.77	0.008
53	9.728	0.008
54	9.773	0.008
55	9.787	0.008
56	9.865	0.008
57	9.715	0.008
58	9.826	0.008
59	9.671	0.008
60	9.832	0.008
61	9.815	0.008
62	9.827	0.008
63	9.738	0.008
64	9.793	0.008
65	9.733	0.008
66	9.745	0.008
67	9.687	0.008
68	9.853	0.008
69	9.695	0.008
70	9.918	0.008
71	9.816	0.008
72	9.745	0.008
73	9.824	0.008
74	9.684	0.008
75	9.86	0.008
76	9.728	0.008
77	9.663	0.008
78	9.811	0.008
79	9.886	0.008
80	9.669	0.008
81	9.871	0.008
82	9.654	0.008
83	9.799	0.008
84	9.722	0.008
85	9.801	0.008
86	9.932	0.008
87	9.63	0.008
88	9.903	0.008
89	9.741	0.008
90	9.878	0.008
91	9.662	0.008
92	9.836	0.008
93	9.721	0.008
94	9.829	0.008
95	9.717	0.008
96	9.624	0.008
97	9.916	0.008
98	9.653	0.008
99	2.323	0.008
100	9.681	0.008
101	9.847	0.008
102	9.698	0.008
103	9.859	0.008
104	9.674	0.008
105	9.889	0.008
106	9.732	0.008
107	9.934	0.008
108	4.328	0.008
109	9.757	0.008
110	9.841	0.008
111	9.747	0.008
112	9.869	0.008
113	9.737	0.008
114	9.852	0.008
115	9.689	0.008
116	9.767	0.008
117	9.85	0.008
118	9.856	0.008
119	9.711	0.008
120	9.854	0.008
121	9.765	0.008
122	9.662	0.008
123	10.01	0.008
124	9.793	0.008
125	9.759	0.008
126	9.722	0.008
127	9.885	0.008
128	9.785	0.008
129	9.685	0.008
130	9.923	0.008
131	9.804	0.008
132	9.782	0.008
133	9.871	0.008
134	9.657	0.008
135	9.909	0.008
136	9.592	0.008
137	9.825	0.008
138	9.854	0.008
139	9.848	0.008
140	9.686	0.008
141	9.842	0.008
142	9.678	0.008
143	9.769	0.008
144	9.671	0.008
145	9.67	0.008
146	9.945	0.008
147	9.688	0.008
148	9.887	0.008
149	9.83	0.008
150	9.731	0.008
1	9.713	0.016
2	9.848	0.016
3	9.931	0.016
4	9.718	0.016
5	9.878	0.016
6	9.646	0.016
7	9.821	0.016
8	9.704	0.016
9	9.814	0.016
10	9.73	0.016
11	9.884	0.016
12	9.764	0.016
13	9.653	0.016
14	9.861	0.016
15	9.843	0.016
16	9.761	0.016
17	9.814	0.016
18	9.717	0.016
19	9.965	0.016
20	9.73	0.016
21	9.77	0.016
22	9.897	0.016
23	9.765	0.016
24	9.889	0.016
25	9.711	0.016
26	9.961	0.016
27	9.702	0.016
28	9.881	0.016
29	9.868	0.016
30	9.812	0.016
31	1.019	0.016
32	9.873	0.016
33	9.909	0.016
34	1.064	0.016
35	9.853	0.016
36	9.707	0.016
37	9.976	0.016
38	9.755	0.016
39	9.787	0.016
40	9.934	0.016
41	9.857	0.016
42	9.771	0.016
43	9.921	0.016
44	9.781	0.016
45	9.886	0.016
46	9.705	0.016
47	9.877	0.016
48	9.775	0.016
49	9.821	0.016
50	9.845	0.016
51	9.905	0.016
52	9.743	0.016
53	9.894	0.016
54	9.644	0.016
55	9.894	0.016
56	9.833	0.016
57	9.774	0.016
58	9.917	0.016
59	9.707	0.016
60	9.935	0.016
61	9.76	0.016
62	9.946	0.016
63	9.749	0.016
64	9.89	0.016
65	9.833	0.016
66	9.791	0.016
67	9.812	0.016
68	9.868	0.016
69	9.979	0.016
70	9.674	0.016
71	9.771	0.016
72	9.939	0.016
73	9.874	0.016
74	9.705	0.016
75	9.86	0.016
76	9.816	0.016
77	9.688	0.016
78	9.915	0.016
79	9.879	0.016
80	9.766	0.016
81	9.868	0.016
82	9.776	0.016
83	9.974	0.016
84	9.686	0.016
85	9.875	0.016
86	9.735	0.016
87	9.964	0.016
88	9.669	0.016
89	9.887	0.016
90	9.712	0.016
91	9.834	0.016
92	9.805	0.016
93	9.679	0.016
94	9.846	0.016
95	9.634	0.016
96	9.85	0.016
97	9.648	0.016
98	9.793	0.016
99	2.372	0.016
100	9.691	0.016
101	9.829	0.016
102	9.701	0.016
103	9.792	0.016
104	8.776	0.016
105	9.651	0.016
106	9.885	0.016
107	9.797	0.016
108	3.488	0.016
109	9.757	0.016
110	9.86	0.016
111	9.78	0.016
112	9.979	0.016
113	9.682	0.016
114	9.933	0.016
115	9.777	0.016
116	9.86	0.016
117	9.794	0.016
118	9.813	0.016
119	9.757	0.016
120	9.822	0.016
121	9.732	0.016
122	9.854	0.016
123	9.846	0.016
124	9.798	0.016
125	9.879	0.016
126	1.016	0.016
127	9.935	0.016
128	9.673	0.016
129	9.906	0.016
130	8.721	0.016
131	9.883	0.016
132	9.757	0.016
133	9.941	0.016
134	9.731	0.016
135	9.852	0.016
136	9.749	0.016
137	9.91	0.016
138	10.215	0.016
139	9.821	0.016
140	9.785	0.016
141	9.828	0.016
142	9.755	0.016
143	9.932	0.016
144	9.728	0.016
145	9.791	0.016
146	9.903	0.016
147	9.94	0.016
148	4.485	0.016
149	9.725	0.016
150	9.779	0.016
1	9.907	0.024
2	9.915	0.024
3	9.831	0.024
4	9.95	0.024
5	9.977	0.024
6	10.083	0.024
7	9.714	0.024
8	10.055	0.024
9	10.35	0.024
10	10.223	0.024
11	8.09	0.024
12	9.992	0.024
13	9.92	0.024
14	9.796	0.024
15	9.903	0.024
16	9.81	0.024
17	9.898	0.024
18	9.685	0.024
19	10.412	0.024
20	9.826	0.024
21	9.856	0.024
22	9.929	0.024
23	10.006	0.024
24	9.73	0.024
25	9.958	0.024
26	9.86	0.024
27	9.968	0.024
28	9.836	0.024
29	9.916	0.024
30	9.787	0.024
31	1.189	0.024
32	9.873	0.024
33	9.767	0.024
34	1.228	0.024
35	9.939	0.024
36	9.756	0.024
37	3.499	0.024
38	9.731	0.024
39	1.184	0.024
40	9.852	0.024
41	9.745	0.024
42	10.422	0.024
43	9.923	0.024
44	9.807	0.024
45	9.905	0.024
46	9.699	0.024
47	9.915	0.024
48	9.691	0.024
49	9.853	0.024
50	9.689	0.024
51	9.963	0.024
52	9.715	0.024
53	9.875	0.024
54	5.365	0.024
55	9.994	0.024
56	9.691	0.024
57	9.897	0.024
58	9.79	0.024
59	9.803	0.024
60	9.909	0.024
61	9.909	0.024
62	9.834	0.024
63	9.726	0.024
64	9.913	0.024
65	9.897	0.024
66	9.703	0.024
67	9.993	0.024
68	9.809	0.024
69	9.843	0.024
70	9.804	0.024
71	9.902	0.024
72	9.771	0.024
73	9.875	0.024
74	9.74	0.024
75	9.76	0.024
76	9.954	0.024
77	9.893	0.024
78	9.747	0.024
79	9.971	0.024
80	9.81	0.024
81	9.97	0.024
82	9.683	0.024
83	9.993	0.024
84	9.842	0.024
85	9.865	0.024
86	9.911	0.024
87	9.77	0.024
88	9.911	0.024
89	9.804	0.024
90	9.94	0.024
91	9.743	0.024
92	9.79	0.024
93	9.948	0.024
94	9.896	0.024
95	9.772	0.024
96	9.856	0.024
97	9.877	0.024
98	9.756	0.024
99	2.458	0.024
100	9.822	0.024
101	9.914	0.024
102	9.771	0.024
103	9.821	0.024
104	8.879	0.024
105	4.593	0.024
106	9.76	0.024
107	9.919	0.024
108	1.085	0.024
109	9.96	0.024
