Img	Target_Label	Epsilon	Objective_Value	Label
1	1	0.05	-6.500258662928734	3
1	2	0.05	-7.577916536935824	3
1	4	0.05	-1.940804937579879	3
1	5	0.05	-7.662580920870616	3
1	6	0.05	-7.70675783963281	3
1	7	0.05	-4.857122005653118	3
1	8	0.05	-7.53941657033548	3
1	9	0.05	-7.519804744334802	3
1	10	0.05	-7.5897313766261725	3
2	2	0.05	-7.495430463027656	1
2	3	0.05	-6.176958525777071	1
2	4	0.05	-7.481055314911285	1
2	5	0.05	-7.616365628652282	1
2	6	0.05	-7.621788393187698	1
2	7	0.05	-7.495942233179892	1
2	8	0.05	-7.600725799304088	1
2	9	0.05	-7.517147915671964	1
2	10	0.05	-7.5418270243833305	1
3	1	0.05	-7.875336709257857	5
3	2	0.05	-7.8615055397763545	5
3	3	0.05	-7.950038884393355	5
3	4	0.05	-6.8870558661651335	5
3	6	0.05	-8.002474891992133	5
3	7	0.05	-8.026845282907729	5
3	8	0.05	-3.440130452909453	5
3	9	0.05	-7.880700465365795	5
3	10	0.05	-6.763305331467385	5
4	1	0.05	0.45490386715769443	9
4	2	0.05	0.02218167511873448	9
4	3	0.05	2.764715707506961	9
4	4	0.05	5.655588989355509	9
4	5	0.05	-0.325354200936424	9
4	6	0.05	3.1906672842323403	9
4	7	0.05	6.3475790659618445	9
4	8	0.05	-0.13493191285689224	9
4	10	0.05	1.0021373082070852	9
5	1	0.05	-7.571891034625212	8
5	2	0.05	-7.511383577030645	8
5	3	0.05	-4.74588617409915	8
5	4	0.05	-7.003862122599429	8
5	5	0.05	-7.610095004247909	8
5	6	0.05	-7.72010864907796	8
5	7	0.05	-7.712746821893871	8
5	9	0.05	-7.550980141342581	8
5	10	0.05	-7.483558947864662	8
6	1	0.05	-7.547077687117481	7
6	2	0.05	-7.627143565761106	7
6	3	0.05	-7.3794058816126045	7
6	4	0.05	-7.26508844682856	7
6	5	0.05	-7.752241247320413	7
6	6	0.05	-7.724463567444083	7
6	8	0.05	-7.733283841295133	7
6	9	0.05	-7.24990845157242	7
6	10	0.05	-7.696363707798953	7
7	2	0.05	-7.493395567184023	1
7	3	0.05	-7.491763991959372	1
7	4	0.05	-7.476790635151631	1
7	5	0.05	-7.641132975914867	1
7	6	0.05	-7.636470211183638	1
7	7	0.05	-7.665723860025795	1
7	8	0.05	-7.59055287774804	1
7	9	0.05	-7.514598055564668	1
7	10	0.05	-7.3418354178589	1
8	1	0.05	-4.513406720045974	7
8	2	0.05	-4.549199183416472	7
8	3	0.05	-3.2106598945669518	7
8	4	0.05	-4.565320407038402	7
8	5	0.05	-4.737196723045252	7
8	6	0.05	-4.325128448436939	7
8	8	0.05	-4.747381214573858	7
8	9	0.05	2.4992751629064003	7
8	10	0.05	-4.652273259398272	7
9	1	0.05	-3.1897663977608226	4
9	2	0.05	-2.98620896561317	4
9	3	0.05	-3.3382255559298146	4
9	5	0.05	-3.423223260201754	4
9	6	0.05	-0.9089271081010132	4
9	7	0.05	-3.4252246696439808	4
9	8	0.05	-3.339784552889871	4
9	9	0.05	-3.248543790932716	4
9	10	0.05	-3.2814818824957923	4
10	1	0.05	-5.665833396395906	2
10	3	0.05	0.7414938991206356	2
10	4	0.05	-5.2976984475399345	2
10	5	0.05	-6.76620526309207	2
10	6	0.05	-5.903820245774115	2
10	7	0.05	-6.169320624043129	2
10	8	0.05	-1.6421991526994446	2
10	9	0.05	-1.0608142750368956	2
10	10	0.05	-6.749700293157871	2
11	1	0.05	-0.676896579393403	9
11	2	0.05	-0.7543737788405306	9
11	3	0.05	2.0073763762295034	9
11	4	0.05	-0.4614181700376798	9
11	5	0.05	-0.6188261455995148	9
11	6	0.05	1.5220692759499084	9
11	7	0.05	6.651375728514199	9
11	8	0.05	-0.8729858874465434	9
11	10	0.05	3.827967345183593	9
12	2	0.05	-7.466612898079681	1
12	3	0.05	-7.557778092259927	1
12	4	0.05	-6.263027296638106	1
12	5	0.05	-7.1545039745048244	1
12	6	0.05	-7.614293507612359	1
12	7	0.05	-7.497356193863899	1
12	8	0.05	-7.552747243746589	1
12	9	0.05	-7.163955841422396	1
12	10	0.05	-6.603575731740248	1
13	1	0.05	-7.186506577863936	8
13	2	0.05	-7.145653766856274	8
13	3	0.05	-7.08830351502311	8
13	4	0.05	-1.93423780047941	8
13	5	0.05	-7.223812299342615	8
13	6	0.05	-7.354288369510173	8
13	7	0.05	-7.336161840024627	8
13	9	0.05	-7.175611683526735	8
13	10	0.05	-0.34158719260851433	8
14	1	0.05	-2.207712052554873	10
14	2	0.05	-2.201565690389717	10
14	3	0.05	-2.2770669538309267	10
14	4	0.05	-2.2028725782239307	10
14	5	0.05	-2.1799831649033754	10
14	6	0.05	-2.3623414447184925	10
14	7	0.05	-2.357696281927549	10
14	8	0.05	5.1723449803527535	10
14	9	0.05	3.048871732982126	10
15	1	0.05	-6.981508635244771	9
15	2	0.05	-7.479369152434005	9
15	3	0.05	-7.582701678058165	9
15	4	0.05	-3.560262655566596	9
15	5	0.05	-7.5721630338349515	9
15	6	0.05	-7.630241849217878	9
15	7	0.05	-7.1904175016193035	9
15	8	0.05	-7.583317843199946	9
15	10	0.05	-5.35679640539528	9
16	1	0.05	-2.1407671556950683	5
16	2	0.05	-6.224874165301621	5
16	3	0.05	-6.290509447412663	5
16	4	0.05	-6.278345651093697	5
16	6	0.05	-6.2659140947799585	5
16	7	0.05	-0.28329183625646137	5
16	8	0.05	-5.543633830992771	5
16	9	0.05	-6.186911313883622	5
16	10	0.05	-5.904724047978014	5
17	1	0.05	-2.8162740835939513	6
17	2	0.05	-6.988435624338454	6
17	3	0.05	-7.109872570073518	6
17	4	0.05	-4.363889375133106	6
17	5	0.05	-7.106082897307495	6
17	7	0.05	-3.3709417869732983	6
17	8	0.05	-7.113758659536731	6
17	9	0.05	-7.004484673146988	6
17	10	0.05	-6.158892161553119	6
18	1	0.05	-0.6514588882626735	4
18	2	0.05	1.1642730129430763	4
18	3	0.05	-1.3460322630975468	4
18	5	0.05	-1.7736387707300354	4
18	6	0.05	1.026837568473283	4
18	7	0.05	-1.8003733553316332	4
18	8	0.05	-1.6701296457417842	4
18	9	0.05	-0.399293486884544	4
18	10	0.05	3.5279973500452932	4
19	1	0.05	0.13787874697378713	5
19	2	0.05	4.969179844838151	5
19	3	0.05	0.009797001270328336	5
19	4	0.05	5.859086123112787	5
19	6	0.05	0.48159803282909336	5
19	7	0.05	-0.04517037374218089	5
19	8	0.05	4.733413057883724	5
19	9	0.05	6.863626590368956	5
19	10	0.05	7.7847904663456635	5
20	2	0.05	-0.26824805806038127	1
20	3	0.05	0.06581497864323826	1
20	4	0.05	-0.19360260978838764	1
20	5	0.05	-0.28933175387254906	1
20	6	0.05	4.247877380229101	1
20	7	0.05	-0.2817509454993111	1
20	8	0.05	0.9008465054668603	1
20	9	0.05	5.428155411955877	1
20	10	0.05	-0.28653505414752817	1
21	1	0.05	-1.2854689092195812	7
21	2	0.05	-3.874901957683087	7
21	3	0.05	2.1521910796471393	7
21	4	0.05	-4.220718766196615	7
21	5	0.05	0.8606787087403731	7
21	6	0.05	-3.8967258758771752	7
21	8	0.05	1.3308519812183957	7
21	9	0.05	0.4835410294874193	7
21	10	0.05	-3.340331011557719	7
22	1	0.05	-4.2118011460159055	7
22	2	0.05	-4.247733824519278	7
22	3	0.05	2.441174997235358	7
22	4	0.05	-2.6256311188551917	7
22	5	0.05	-2.504992880547287	7
22	6	0.05	-4.29851468915245	7
22	8	0.05	1.4873339241319716	7
22	9	0.05	1.4646257475384212	7
22	10	0.05	-1.513334627791183	7
23	1	0.05	-3.700365967472531	4
23	2	0.05	0.8256060880052657	4
23	3	0.05	1.0275560618270112	4
23	5	0.05	-4.485623116938077	4
23	6	0.05	2.1586337057648644	4
23	7	0.05	-4.397432754768704	4
23	8	0.05	-1.9562140100717413	4
23	9	0.05	-4.239456571729969	4
23	10	0.05	-2.7903446949923887	4
24	2	0.05	-7.470188920597584	1
24	3	0.05	-1.9567800873698975	1
24	4	0.05	-7.437934996391796	1
24	5	0.05	-7.6030909712615715	1
24	6	0.05	-7.388481903337015	1
24	7	0.05	-2.451095440665353	1
24	8	0.05	-7.583578563335654	1
24	9	0.05	-7.498194870499713	1
