Img	Target_Label	Epsilon	Objective_Value	Label
1	1	0.05	7.453408236091625	3
1	2	0.05	7.257483180983622	3
1	4	0.05	7.477678832738126	3
1	5	0.05	7.215313881894337	3
1	6	0.05	7.4577039928521005	3
1	7	0.05	7.500439341562362	3
1	8	0.05	7.560002175750983	3
1	9	0.05	7.554478849359518	3
1	10	0.05	7.353495854015342	3
2	2	0.05	-6.3633081259086905	1
2	3	0.05	-4.183411882456724	1
2	4	0.05	-7.17691520327607	1
2	5	0.05	-2.1659838266650246	1
2	6	0.05	-2.4859664766584424	1
2	7	0.05	-2.546898001380412	1
2	8	0.05	-6.570271824835857	1
2	9	0.05	-3.470497745336648	1
2	10	0.05	-6.754281286302394	1
3	1	0.05	1.0881961574369	5
3	2	0.05	2.7940616266674416	5
3	3	0.05	4.0625975600066	5
3	4	0.05	4.7917785559012085	5
3	6	0.05	2.618350056271551	5
3	7	0.05	3.735848997569769	5
3	8	0.05	5.690739362198603	5
3	9	0.05	5.576260411355365	5
3	10	0.05	5.112618093741417	5
4	1	0.05	7.6313475748116515	9
4	2	0.05	7.605948256348967	9
4	3	0.05	7.621864092989182	9
4	4	0.05	7.5631210004752	9
4	5	0.05	7.561001395048896	9
4	6	0.05	7.547420073985375	9
4	7	0.05	7.642772890331267	9
4	8	0.05	7.654747992816293	9
4	10	0.05	7.4971259980418825	9
5	1	0.05	5.52284721353252	8
5	2	0.05	4.508522626851773	8
5	3	0.05	6.331335773373191	8
5	4	0.05	5.649687572706438	8
5	5	0.05	4.087175698114053	8
5	6	0.05	5.099858921069134	8
5	7	0.05	1.9436524764347427	8
5	9	0.05	5.443595367135249	8
5	10	0.05	6.827590395722151	8
6	1	0.05	6.268624785614241	7
6	2	0.05	5.976367640833895	7
6	3	0.05	7.464362308366248	7
6	4	0.05	5.869694229428259	7
6	5	0.05	7.296558132654128	7
6	6	0.05	6.511863130562447	7
6	8	0.05	6.008048559668877	7
6	9	0.05	6.905276583473156	7
6	10	0.05	5.642238607789912	7
7	2	0.05	-4.149602639476835	1
7	3	0.05	-0.1843654718344684	1
7	4	0.05	-1.8022498612672009	1
7	5	0.05	-1.1714154342393956	1
7	6	0.05	0.604903152465818	1
7	7	0.05	-0.02213691760542706	1
7	8	0.05	-0.28422834867540725	1
7	9	0.05	-3.6970805721948925	1
7	10	0.05	-3.801432782128481	1
8	1	0.05	7.5740695381329886	7
8	2	0.05	7.56899039657547	7
8	3	0.05	7.5392983467134185	7
8	4	0.05	7.5249228785278435	7
8	5	0.05	7.523978737799424	7
8	6	0.05	7.531302741331626	7
8	8	0.05	7.640752562580558	7
8	9	0.05	7.63129681821378	7
8	10	0.05	7.466591206205438	7
9	1	0.05	1.389088394179974	4
9	2	0.05	6.873402505946264	4
9	3	0.05	7.218200946241639	4
9	5	0.05	6.268943684590887	4
9	6	0.05	7.465330128264016	4
9	7	0.05	1.8204576899200107	4
9	8	0.05	3.529152972029969	4
9	9	0.05	7.543133613083203	4
9	10	0.05	4.036181522465237	4
10	1	0.05	7.5009333789146435	2
10	3	0.05	7.553880780002532	2
10	4	0.05	7.480257965740631	2
10	5	0.05	7.321580363745183	2
10	6	0.05	7.5060947253389	2
10	7	0.05	7.574660340725421	2
10	8	0.05	7.417549433854964	2
10	9	0.05	7.590080057025852	2
10	10	0.05	6.773728009310607	2
11	1	0.05	4.888672436318899	9
11	2	0.05	5.558381184212938	9
11	3	0.05	6.803084101458148	9
11	4	0.05	4.9687405563706735	9
11	5	0.05	5.445778789702187	9
11	6	0.05	7.258270851323576	9
11	7	0.05	7.627188378844523	9
11	8	0.05	2.4607788389453105	9
11	10	0.05	6.246840008954937	9
12	2	0.05	-7.5175556248381294	1
12	3	0.05	-0.3158107865656597	1
12	4	0.05	-1.0236575343975456	1
12	5	0.05	-6.239754219862036	1
12	6	0.05	-6.446976139374107	1
12	7	0.05	-4.34097807660672	1
12	8	0.05	-4.5073688126167495	1
12	9	0.05	-3.032345510441238	1
12	10	0.05	-2.8907912087460734	1
13	1	0.05	7.5826006112022615	8
13	2	0.05	6.068334386633763	8
13	3	0.05	7.616770995566937	8
13	4	0.05	7.567636727168315	8
13	5	0.05	5.727020153366669	8
13	6	0.05	7.455433461260095	8
13	7	0.05	4.543492250109107	8
13	9	0.05	7.097116597562801	8
13	10	0.05	7.452295975947177	8
14	1	0.05	1.582230907618092	10
14	2	0.05	0.15424906764269375	10
14	3	0.05	0.9525762001623006	10
14	4	0.05	5.28181966062249	10
14	5	0.05	3.1349869387283773	10
14	6	0.05	4.151204605958367	10
14	7	0.05	0.11502463340947543	10
14	8	0.05	6.0872482146171665	10
14	9	0.05	7.1263966573149125	10
15	1	0.05	-0.06765542773552563	9
15	2	0.05	-5.267471151665596	9
15	3	0.05	1.2660382439960352	9
15	4	0.05	-0.015286515926199416	9
15	5	0.05	-5.263758623712769	9
15	6	0.05	-3.3704493006594283	9
15	7	0.05	-5.217429705893072	9
15	8	0.05	-4.949614604802602	9
15	10	0.05	-1.1367095957252527	9
16	1	0.05	5.632030309166527	5
16	2	0.05	-0.9877825525510001	5
16	3	0.05	2.8677270279096563	5
16	4	0.05	-0.9237749984192104	5
16	6	0.05	-0.49315209982779795	5
16	7	0.05	5.3176937916536415	5
16	8	0.05	2.028338608528481	5
16	9	0.05	6.061820963937469	5
16	10	0.05	4.4259199235719	5
17	1	0.05	6.82392297829598	6
17	2	0.05	3.788677753910934	6
17	3	0.05	5.113981896618942	6
17	4	0.05	5.605848065480684	6
17	5	0.05	4.106942683544141	6
17	7	0.05	6.127831944570733	6
17	8	0.05	4.674589271801638	6
17	9	0.05	5.380912170982073	6
17	10	0.05	5.019000977224654	6
18	1	0.05	7.3257908489362835	4
18	2	0.05	7.353614556186601	4
18	3	0.05	5.519248382564326	4
18	5	0.05	6.381214305369251	4
18	6	0.05	7.481593592489459	4
18	7	0.05	6.373354770791605	4
18	8	0.05	5.821834652145501	4
18	9	0.05	6.296240184776929	4
18	10	0.05	6.663938599398681	4
19	1	0.05	4.698541720392392	5
19	2	0.05	7.100277717539044	5
19	3	0.05	5.222938466065735	5
19	4	0.05	6.989968060369569	5
19	6	0.05	5.813922528535438	5
19	7	0.05	5.829711368795748	5
19	8	0.05	7.281679464684878	5
19	9	0.05	7.490537990305031	5
19	10	0.05	7.268736488994858	5
20	2	0.05	5.9082848709059865	1
20	3	0.05	7.534671719655161	1
20	4	0.05	7.46877704690995	1
20	5	0.05	5.651481082766903	1
20	6	0.05	7.496507264314846	1
20	7	0.05	6.811275784909017	1
20	8	0.05	7.526117522178851	1
20	9	0.05	7.5971856838779335	1
20	10	0.05	7.33626837825367	1
21	1	0.05	7.563263380667456	7
21	2	0.05	7.572732896022361	7
21	3	0.05	7.544625211493569	7
21	4	0.05	7.525869682794724	7
21	5	0.05	7.532698479288961	7
21	6	0.05	7.532306784869923	7
21	8	0.05	7.661179729575638	7
21	9	0.05	7.633393004743179	7
21	10	0.05	7.486907790493404	7
22	1	0.05	6.980981506164112	7
22	2	0.05	7.56723220940374	7
22	3	0.05	7.540320384625376	7
22	4	0.05	7.517907767154453	7
22	5	0.05	7.527296473739084	7
22	6	0.05	7.523937132917516	7
22	8	0.05	7.647794036914433	7
22	9	0.05	7.623566494911022	7
22	10	0.05	7.463493894719169	7
23	1	0.05	7.563979374541947	4
23	2	0.05	7.550056273665586	4
23	3	0.05	7.534643761496025	4
23	5	0.05	7.147151976333665	4
23	6	0.05	7.48821891990037	4
23	7	0.05	7.222563826045732	4
23	8	0.05	7.546300034577615	4
23	9	0.05	6.967375965839475	4
23	10	0.05	7.2762652238110626	4
24	2	0.05	-1.4971443599999128	1
24	3	0.05	1.6932785515333995	1
24	4	0.05	-4.248683294627913	1
24	5	0.05	-0.10184441645933649	1
24	6	0.05	1.3061861979066007	1
24	7	0.05	1.9465228828069354	1
24	8	0.05	-2.8085966999536374	1
24	9	0.05	-2.2181608869961544	1
24	10	0.05	-0.23801370605387218	1
25	1	0.05	4.506457689110696	3
25	2	0.05	4.8639408441782885	3
25	4	0.05	5.116064812654838	3
25	5	0.05	1.5035962961749392	3
25	6	0.05	4.059616383041187	3
25	7	0.05	3.9612736856009487	3
25	8	0.05	-1.2135145994665462	3
25	9	0.05	4.285211096278008	3
25	10	0.05	3.2863084826467834	3
26	1	0.05	-7.383568349684544	4
26	2	0.05	-6.739962312238838	4
26	3	0.05	-6.382839439187293	4
26	5	0.05	-7.340215596036944	4
26	6	0.05	-7.007768226135494	4
26	7	0.05	-7.405754796642437	4
26	8	0.05	-7.4407315805578085	4
26	9	0.05	-5.246849074478506	4
26	10	0.05	-6.266868079810903	4
27	1	0.05	7.577035250290493	7
27	2	0.05	7.579098331121627	7
27	3	0.05	7.545102997129679	7
27	4	0.05	7.536599352699034	7
27	5	0.05	7.536143829055721	7
27	6	0.05	7.538066821845903	7
27	8	0.05	7.6617341514277575	7
27	9	0.05	7.639579172449864	7
27	10	0.05	7.496162237116103	7
28	1	0.05	7.05347558134442	7
28	2	0.05	6.513141121274909	7
28	3	0.05	7.52239710339343	7
28	4	0.05	7.19535071056134	7
28	5	0.05	7.124949771965225	7
28	6	0.05	7.0878241394664645	7
28	8	0.05	5.483886188149003	7
28	9	0.05	7.3845972047020325	7
28	10	0.05	6.068611316226554	7
29	1	0.05	7.533134558111752	8
29	2	0.05	6.615910262582283	8
29	3	0.05	7.6219674048926525	8
29	4	0.05	6.7860636240805325	8
29	5	0.05	6.771583613316481	8
29	6	0.05	7.146274714589693	8
29	7	0.05	6.818221400782503	8
29	9	0.05	7.640795601511336	8
29	10	0.05	7.421659261062278	8
30	1	0.05	7.514025555195338	5
30	2	0.05	7.053123508139677	5
30	3	0.05	7.473425294388143	5
30	4	0.05	7.298911350282583	5
30	6	0.05	7.439970235361031	5
30	7	0.05	7.483315799523508	5
