Img	Time(s)	Epsilon
1	10.29	0.008
2	10.074	0.008
3	9.968	0.008
4	10.723	0.008
5	10.195	0.008
6	10.089	0.008
7	9.879	0.008
8	10.57	0.008
9	10.551	0.008
10	10.169	0.008
11	10.488	0.008
12	10.067	0.008
13	10.216	0.008
14	10.042	0.008
15	10.095	0.008
16	10.033	0.008
17	10.341	0.008
18	10.019	0.008
19	10.623	0.008
20	10.327	0.008
21	10.279	0.008
22	10.222	0.008
23	10.191	0.008
24	10.094	0.008
25	9.987	0.008
26	10.341	0.008
27	10.287	0.008
28	10.081	0.008
29	10.106	0.008
30	10.349	0.008
31	1.112	0.008
32	10.154	0.008
33	10.157	0.008
34	11.004	0.008
35	10.013	0.008
36	10.054	0.008
37	10.14	0.008
38	10.445	0.008
39	10.886	0.008
40	10.366	0.008
41	10.075	0.008
42	10.613	0.008
43	10.909	0.008
44	10.535	0.008
45	10.134	0.008
46	10.081	0.008
47	10.123	0.008
48	10.243	0.008
49	10.163	0.008
50	10.516	0.008
51	10.132	0.008
52	10.206	0.008
53	10.07	0.008
54	10.237	0.008
55	10.173	0.008
56	10.036	0.008
57	9.974	0.008
58	10.0	0.008
59	10.342	0.008
60	10.239	0.008
61	10.002	0.008
62	10.217	0.008
63	10.132	0.008
64	10.329	0.008
65	10.255	0.008
66	10.199	0.008
67	10.47	0.008
68	10.327	0.008
69	10.34	0.008
70	10.217	0.008
71	10.022	0.008
72	10.255	0.008
73	10.123	0.008
74	10.006	0.008
75	10.145	0.008
76	10.338	0.008
77	10.183	0.008
78	9.94	0.008
79	10.789	0.008
80	10.171	0.008
81	10.099	0.008
82	10.292	0.008
83	9.889	0.008
84	10.17	0.008
85	10.599	0.008
86	10.552	0.008
87	10.047	0.008
88	10.324	0.008
89	9.922	0.008
90	9.892	0.008
91	10.052	0.008
92	9.915	0.008
93	10.425	0.008
94	9.953	0.008
95	10.225	0.008
96	10.175	0.008
97	10.006	0.008
98	10.458	0.008
99	2.323	0.008
100	10.052	0.008
101	10.255	0.008
102	10.104	0.008
103	9.893	0.008
104	10.208	0.008
105	10.685	0.008
106	10.491	0.008
107	10.371	0.008
108	4.765	0.008
109	10.171	0.008
110	10.175	0.008
111	10.232	0.008
112	10.428	0.008
113	10.241	0.008
114	10.304	0.008
115	10.107	0.008
116	10.254	0.008
117	10.018	0.008
118	10.147	0.008
119	9.954	0.008
120	10.267	0.008
121	10.158	0.008
122	10.263	0.008
123	10.518	0.008
124	10.551	0.008
125	10.305	0.008
126	11.132	0.008
127	10.09	0.008
128	10.318	0.008
129	10.289	0.008
130	10.654	0.008
131	10.044	0.008
132	9.974	0.008
133	10.298	0.008
134	10.322	0.008
135	9.943	0.008
136	10.992	0.008
137	10.082	0.008
138	10.117	0.008
139	10.119	0.008
140	9.97	0.008
141	10.238	0.008
142	10.099	0.008
143	9.891	0.008
144	10.419	0.008
145	10.019	0.008
146	10.181	0.008
147	10.355	0.008
148	3.723	0.008
149	9.866	0.008
150	10.299	0.008
1	11.025	0.016
2	10.404	0.016
3	10.05	0.016
4	11.284	0.016
5	10.184	0.016
6	10.487	0.016
7	10.056	0.016
8	11.022	0.016
9	10.939	0.016
10	10.374	0.016
11	11.187	0.016
12	10.228	0.016
13	10.578	0.016
14	9.973	0.016
15	10.536	0.016
16	10.339	0.016
17	10.085	0.016
18	10.79	0.016
19	11.009	0.016
20	11.095	0.016
21	10.362	0.016
22	10.486	0.016
23	10.621	0.016
24	10.187	0.016
25	10.405	0.016
26	10.409	0.016
27	10.578	0.016
28	10.275	0.016
29	10.451	0.016
30	10.525	0.016
31	1.164	0.016
32	10.28	0.016
33	10.61	0.016
34	11.108	0.016
35	10.471	0.016
36	10.669	0.016
37	10.388	0.016
38	10.628	0.016
39	11.183	0.016
40	11.085	0.016
41	10.243	0.016
42	10.565	0.016
43	11.144	0.016
44	10.494	0.016
45	10.183	0.016
46	10.275	0.016
47	10.618	0.016
48	9.987	0.016
49	10.206	0.016
