Img	Time(s)	Epsilon
1	10.05	0.008
2	9.821	0.008
3	9.96	0.008
4	10.441	0.008
5	9.855	0.008
6	9.81	0.008
7	9.557	0.008
8	10.37	0.008
9	10.099	0.008
10	9.915	0.008
11	10.363	0.008
12	9.858	0.008
13	9.825	0.008
14	9.797	0.008
15	9.944	0.008
16	9.869	0.008
17	9.995	0.008
18	9.932	0.008
19	10.355	0.008
20	10.128	0.008
21	9.707	0.008
22	10.024	0.008
23	10.039	0.008
24	9.768	0.008
25	9.833	0.008
26	9.712	0.008
27	10.006	0.008
28	9.523	0.008
29	9.787	0.008
30	9.976	0.008
31	1.216	0.008
32	9.797	0.008
33	9.906	0.008
34	10.527	0.008
35	9.839	0.008
36	9.74	0.008
37	9.927	0.008
38	10.125	0.008
39	10.45	0.008
40	10.149	0.008
41	9.911	0.008
42	9.962	0.008
43	10.343	0.008
44	10.127	0.008
45	9.958	0.008
46	9.885	0.008
47	10.105	0.008
48	9.911	0.008
49	9.785	0.008
50	10.329	0.008
51	9.823	0.008
52	9.958	0.008
53	9.858	0.008
54	9.988	0.008
55	9.875	0.008
56	9.88	0.008
57	9.735	0.008
58	9.908	0.008
59	10.027	0.008
60	9.903	0.008
61	9.622	0.008
62	10.063	0.008
63	9.864	0.008
64	10.098	0.008
65	10.179	0.008
66	9.767	0.008
67	10.265	0.008
68	10.246	0.008
69	10.047	0.008
70	9.896	0.008
71	9.705	0.008
72	10.397	0.008
73	9.689	0.008
74	9.896	0.008
75	9.877	0.008
76	10.061	0.008
77	10.121	0.008
78	9.728	0.008
79	10.537	0.008
80	9.913	0.008
81	9.942	0.008
82	9.947	0.008
83	9.813	0.008
84	9.886	0.008
85	10.566	0.008
86	10.054	0.008
87	10.043	0.008
88	9.948	0.008
89	9.788	0.008
90	9.81	0.008
91	9.72	0.008
92	9.854	0.008
93	10.125	0.008
94	9.996	0.008
95	9.83	0.008
96	9.884	0.008
97	9.771	0.008
98	10.232	0.008
99	2.391	0.008
100	9.813	0.008
101	10.11	0.008
102	9.756	0.008
103	9.846	0.008
104	9.929	0.008
105	10.445	0.008
106	10.07	0.008
107	10.162	0.008
108	4.58	0.008
109	10.1	0.008
110	9.834	0.008
111	9.909	0.008
112	10.205	0.008
113	9.912	0.008
114	10.13	0.008
115	9.783	0.008
116	9.845	0.008
117	9.793	0.008
118	9.81	0.008
119	9.871	0.008
120	10.095	0.008
121	10.099	0.008
122	10.253	0.008
123	10.188	0.008
124	10.468	0.008
125	10.074	0.008
