Img	Time(s)	Epsilon
1	18.099	0.05
2	13.237	0.05
3	29.617	0.05
4	18.328	0.05
5	13.235	0.05
6	12.262	0.05
7	14.72	0.05
8	15.474	0.05
9	12.922	0.05
10	296.915	0.05
11	3.491	0.05
12	12.795	0.05
13	17.433	0.05
14	13.991	0.05
15	76.089	0.05
16	13.659	0.05
17	13.155	0.05
18	18.646	0.05
19	14.375	0.05
20	15.578	0.05
21	22.893	0.05
22	29.377	0.05
23	16.144	0.05
24	16.319	0.05
25	16.069	0.05
26	12.664	0.05
27	16.125	0.05
28	50.119	0.05
29	18.029	0.05
30	30.898	0.05
31	1.66	0.05
32	17.208	0.05
33	14.257	0.05
34	1.685	0.05
35	13.832	0.05
36	13.002	0.05
37	13.872	0.05
38	14.115	0.05
39	16.112	0.05
40	14.645	0.05
41	14.785	0.05
42	15.431	0.05
43	24.342	0.05
44	13.233	0.05
45	13.326	0.05
46	13.353	0.05
47	15.537	0.05
48	23.877	0.05
49	21.517	0.05
50	14.664	0.05
51	14.224	0.05
52	169.103	0.05
53	15.184	0.05
54	17.242	0.05
55	14.931	0.05
56	42.523	0.05
57	15.196	0.05
58	29.269	0.05
59	13.611	0.05
60	28.55	0.05
61	29.337	0.05
62	17.054	0.05
63	16.728	0.05
64	35.112	0.05
65	16.414	0.05
66	24.8	0.05
67	13.563	0.05
68	15.861	0.05
69	13.851	0.05
70	16.042	0.05
71	16.828	0.05
72	21.309	0.05
73	18.893	0.05
74	55.177	0.05
75	1192.67	0.05
76	12.975	0.05
77	15.054	0.05
78	642.609	0.05
79	14.918	0.05
80	47.809	0.05
81	33.496	0.05
82	16.723	0.05
83	13.931	0.05
84	12.633	0.05
85	15.43	0.05
86	21.002	0.05
87	15.345	0.05
88	45.039	0.05
89	12.405	0.05
90	22.58	0.05
91	14.948	0.05
92	17.031	0.05
93	297.089	0.05
94	16.617	0.05
95	15.075	0.05
96	13.052	0.05
97	14.014	0.05
98	24.234	0.05
99	2.057	0.05
100	13.077	0.05
101	16.193	0.05
102	12.252	0.05
103	15.34	0.05
104	15.359	0.05
105	15.927	0.05
106	15.497	0.05
107	14.786	0.05
108	1.866	0.05
109	16.722	0.05
110	15.811	0.05
111	290.291	0.05
112	18.604	0.05
113	15.313	0.05
114	143.69	0.05
115	37.085	0.05
116	13.482	0.05
117	15.464	0.05
