Img	Time(s)	Epsilon
1	25.735	0.05
2	20.279	0.05
3	20.993	0.05
4	25.136	0.05
5	25.382	0.05
6	21.754	0.05
7	21.399	0.05
8	21.393	0.05
9	22.799	0.05
10	23.226	0.05
11	22.331	0.05
12	21.795	0.05
13	21.243	0.05
14	20.813	0.05
15	24.596	0.05
16	20.416	0.05
17	20.416	0.05
18	24.654	0.05
19	22.429	0.05
20	23.268	0.05
21	22.63	0.05
22	31.373	0.05
23	24.916	0.05
24	21.101	0.05
25	22.348	0.05
26	29.479	0.05
27	22.99	0.05
28	23.181	0.05
29	23.908	0.05
30	22.96	0.05
31	2.627	0.05
32	21.266	0.05
33	21.519	0.05
34	8.59	0.05
35	19.503	0.05
36	24.353	0.05
37	24.187	0.05
38	21.62	0.05
39	31.397	0.05
40	22.744	0.05
41	19.932	0.05
42	23.485	0.05
43	23.629	0.05
44	23.229	0.05
45	24.2	0.05
46	20.015	0.05
47	23.051	0.05
48	25.773	0.05
49	21.248	0.05
50	25.245	0.05
51	22.556	0.05
52	24.994	0.05
53	23.236	0.05
54	22.819	0.05
55	22.74	0.05
56	20.836	0.05
57	21.763	0.05
58	22.579	0.05
59	19.485	0.05
60	22.525	0.05
61	25.279	0.05
62	22.309	0.05
63	22.754	0.05
64	21.673	0.05
65	23.37	0.05
66	22.485	0.05
67	21.182	0.05
68	24.261	0.05
69	22.036	0.05
70	22.758	0.05
71	24.292	0.05
72	21.716	0.05
73	22.202	0.05
74	24.123	0.05
75	23.647	0.05
76	22.402	0.05
77	23.548	0.05
78	22.74	0.05
79	27.716	0.05
80	22.797	0.05
81	22.123	0.05
82	21.263	0.05
83	21.907	0.05
84	22.222	0.05
85	23.103	0.05
86	26.083	0.05
87	25.508	0.05
88	21.247	0.05
89	24.095	0.05
90	21.81	0.05
91	23.759	0.05
92	24.738	0.05
93	25.965	0.05
94	26.426	0.05
95	23.191	0.05
96	22.751	0.05
97	25.796	0.05
98	26.768	0.05
99	2.9	0.05
100	24.382	0.05
101	21.984	0.05
102	21.764	0.05
103	22.978	0.05
104	23.438	0.05
105	26.312	0.05
106	25.548	0.05
107	21.29	0.05
108	10.918	0.05
109	27.668	0.05
110	25.459	0.05
111	21.21	0.05
112	21.875	0.05
113	24.268	0.05
114	23.774	0.05
115	19.832	0.05
116	23.349	0.05
117	21.537	0.05
118	24.748	0.05
119	20.531	0.05
120	19.921	0.05
121	24.755	0.05
122	20.875	0.05
123	23.326	0.05
124	25.352	0.05
125	21.372	0.05
126	10.366	0.05
127	23.452	0.05
128	20.805	0.05
129	23.783	0.05
130	23.009	0.05
131	19.202	0.05
132	23.65	0.05
133	20.713	0.05
134	22.165	0.05
135	22.901	0.05
136	28.316	0.05
137	23.661	0.05
138	24.486	0.05
139	22.776	0.05
140	22.964	0.05
141	25.817	0.05
142	23.568	0.05
143	21.377	0.05
144	23.89	0.05
145	23.046	0.05
146	21.152	0.05
147	24.487	0.05
148	6.583	0.05
149	19.281	0.05
150	21.264	0.05
1	33.899	0.1
2	23.906	0.1
3	33.979	0.1
4	41.74	0.1
5	37.897	0.1
6	35.463	0.1
7	25.507	0.1
8	28.762	0.1
9	8.68	0.1
10	49.486	0.1
11	33.79	0.1
12	26.684	0.1
13	25.737	0.1
14	30.089	0.1
15	36.98	0.1
16	31.822	0.1
17	27.967	0.1
18	33.298	0.1
19	29.366	0.1
20	31.265	0.1
21	31.544	0.1
22	30.388	0.1
23	29.682	0.1
24	79.827	0.1
25	24.643	0.1
26	28.069	0.1
27	32.598	0.1
28	31.976	0.1
29	29.587	0.1
30	32.102	0.1
31	3.746	0.1
32	25.052	0.1
33	30.762	0.1
34	3.887	0.1
35	26.243	0.1
36	30.637	0.1
37	32.141	0.1
38	33.049	0.1
39	29.261	0.1
40	36.142	0.1
41	27.564	0.1
42	29.359	0.1
43	29.41	0.1
44	28.497	0.1
45	28.249	0.1
46	21.492	0.1
47	30.183	0.1
48	28.469	0.1
49	35.886	0.1
50	38.652	0.1
51	22.694	0.1
52	49.602	0.1
53	52.051	0.1
54	34.97	0.1
55	30.941	0.1
56	25.685	0.1
57	37.514	0.1
58	31.514	0.1
59	24.75	0.1
60	31.449	0.1
61	29.299	0.1
62	28.186	0.1
63	31.011	0.1
64	29.673	0.1
65	29.351	0.1
66	27.71	0.1
67	29.832	0.1
68	44.317	0.1
69	25.655	0.1
70	30.18	0.1
71	35.844	0.1
72	32.306	0.1
73	27.481	0.1
74	29.596	0.1
75	36.063	0.1
76	27.856	0.1
77	29.97	0.1
78	30.452	0.1
79	32.252	0.1
80	29.008	0.1
81	28.759	0.1
82	27.419	0.1
83	27.283	0.1
84	28.955	0.1
85	30.031	0.1
86	30.855	0.1
87	29.267	0.1
88	27.522	0.1
89	30.713	0.1
90	26.195	0.1
91	27.423	0.1
92	29.626	0.1
93	36.084	0.1
94	36.805	0.1
95	36.006	0.1
96	32.249	0.1
97	27.303	0.1
98	32.647	0.1
99	3.685	0.1
100	25.915	0.1
101	27.919	0.1
102	25.729	0.1
103	30.352	0.1
104	24.27	0.1
105	32.747	0.1
106	12.362	0.1
107	37.43	0.1
108	28.504	0.1
109	31.385	0.1
110	28.998	0.1
111	26.953	0.1
112	28.139	0.1
113	29.583	0.1
114	33.314	0.1
115	23.821	0.1
116	27.447	0.1
117	30.933	0.1
118	36.356	0.1
119	25.999	0.1
120	28.005	0.1
121	48.073	0.1
122	23.962	0.1
123	78.981	0.1
124	36.88	0.1
125	25.777	0.1
126	3.047	0.1
127	42.878	0.1
128	26.555	0.1
129	27.099	0.1
130	28.457	0.1
131	23.923	0.1
132	24.749	0.1
133	28.464	0.1
134	26.595	0.1
135	26.036	0.1
136	30.099	0.1
137	56.579	0.1
138	49.237	0.1
139	30.116	0.1
140	29.468	0.1
141	33.272	0.1
142	29.523	0.1
143	29.507	0.1
144	33.394	0.1
145	28.243	0.1
146	26.735	0.1
147	30.792	0.1
148	5.704	0.1
149	24.486	0.1
150	29.865	0.1
1	32.078	0.15
2	28.949	0.15
3	33.114	0.15
4	27.628	0.15
5	29.694	0.15
6	29.064	0.15
7	31.606	0.15
