Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-7.654283815269662	2
1	1	0.025	-7.640333707388324	2
1	3	0.025	-3.6058545630070324	2
1	4	0.025	-7.675852625475404	2
1	5	0.025	-7.7328428597649825	2
1	6	0.025	-7.540104793527465	2
1	7	0.025	-7.7555704164104355	2
1	8	0.025	-7.465833153231296	2
1	9	0.025	-7.776888127616447	2
2	1	0.025	-7.622348812293332	0
2	2	0.025	-7.549360661685159	0
2	3	0.025	-7.6418643971993765	0
2	4	0.025	-7.666368203088636	0
2	5	0.025	-7.743895278840265	0
2	6	0.025	-7.538117567702343	0
2	7	0.025	-7.684702305882338	0
2	8	0.025	-7.665153530434616	0
2	9	0.025	-7.742474670654024	0
3	0	0.025	-7.6862930449995845	4
3	1	0.025	-7.611717233788962	4
3	2	0.025	-7.62374407628273	4
3	3	0.025	-7.747814515266144	4
3	5	0.025	-7.729896090924892	4
3	6	0.025	-7.69237120597696	4
3	7	0.025	-7.749920104394734	4
3	8	0.025	-7.65705315472731	4
3	9	0.025	-5.765842975423798	4
4	0	0.025	-2.6644119653026705	8
4	1	0.025	-2.624345870678735	8
4	2	0.025	-2.4355560192057584	8
4	3	0.025	-2.4256647277852483	8
4	4	0.025	-2.684513749594878	8
4	5	0.025	-2.5972473936245053	8
4	6	0.025	-0.4090454227324371	8
4	7	0.025	-2.7457305946780255	8
4	9	0.025	-2.780981154422368	8
5	0	0.025	-7.636241789885933	7
5	1	0.025	-7.500426789422824	7
5	2	0.025	-7.496065429474481	7
5	3	0.025	-7.655672975274338	7
5	4	0.025	-7.638291265242103	7
5	5	0.025	-7.656305528520517	7
5	6	0.025	-7.654498043339772	7
5	8	0.025	-7.7088705008738865	7
5	9	0.025	-7.588272202102469	7
6	0	0.025	-7.826223698423141	6
6	1	0.025	-7.8097356817229295	6
6	2	0.025	-7.772368262920917	6
6	3	0.025	-7.857571815260411	6
6	4	0.025	-7.818365620592064	6
6	5	0.025	-7.87121866889523	6
6	7	0.025	-7.908659243015921	6
6	8	0.025	-6.504779612861996	6
6	9	0.025	-7.720951050382662	6
7	1	0.025	-7.621751654339757	0
7	2	0.025	-7.548757976500838	0
7	3	0.025	-7.640709224450337	0
7	4	0.025	-7.669503909968125	0
7	5	0.025	-7.745143682248347	0
7	6	0.025	-7.540974958108727	0
7	7	0.025	-7.6857397801002625	0
7	8	0.025	-7.672254538161024	0
7	9	0.025	-7.743067617287152	0
8	0	0.025	-7.820853520931561	6
8	1	0.025	-7.810212355710081	6
8	2	0.025	-7.77529941141685	6
8	3	0.025	-7.835567521305255	6
8	4	0.025	-7.8097877945882885	6
8	5	0.025	-7.139035589809221	6
8	7	0.025	-7.89652457187731	6
8	8	0.025	-4.810340256252356	6
8	9	0.025	-7.925077820018595	6
9	0	0.025	-4.919740068718632	3
9	1	0.025	-4.6804400337750955	3
9	2	0.025	-4.820460228940348	3
9	4	0.025	-4.951389518796944	3
9	5	0.025	-2.204867506252768	3
9	6	0.025	-4.8678172829786535	3
9	7	0.025	-4.992283499853298	3
9	8	0.025	-3.156146929237294	3
9	9	0.025	-5.034106697757259	3
10	0	0.025	-7.6664139086404015	1
10	2	0.025	-6.972552279095174	1
10	3	0.025	-7.621575392915921	1
10	4	0.025	-7.654812607495856	1
10	5	0.025	-7.700596902443359	1
10	6	0.025	-7.671482804939731	1
10	7	0.025	-6.947492591519242	1
10	8	0.025	-7.681669548922015	1
10	9	0.025	-7.748988915248203	1
11	0	0.025	-7.519538781061282	8
11	1	0.025	-7.504644816034734	8
11	2	0.025	-7.476231523462763	8
11	3	0.025	-7.521492006703581	8
11	4	0.025	-7.226714656163827	8
11	5	0.025	-7.342467504940633	8
11	6	0.025	-3.121929945288752	8
11	7	0.025	-7.58141502354999	8
11	9	0.025	-7.602240792350789	8
12	1	0.025	-7.620903035970852	0
12	2	0.025	-7.546808393002356	0
12	3	0.025	-7.638500523052432	0
12	4	0.025	-7.6680400538663775	0
12	5	0.025	-7.742697326441872	0
12	6	0.025	-7.540601284352615	0
12	7	0.025	-7.68547692701608	0
12	8	0.025	-7.670638670964571	0
12	9	0.025	-7.426683032722234	0
13	0	0.025	-7.633520631091277	7
13	1	0.025	-7.555422531841382	7
13	2	0.025	-6.820725026192947	7
13	3	0.025	-7.65032373195757	7
13	4	0.025	-7.635860041891203	7
13	5	0.025	-7.64595071541749	7
13	6	0.025	-7.655180998012557	7
13	8	0.025	-7.704544629896526	7
13	9	0.025	-7.474612023479381	7
14	0	0.025	-7.789893483749419	9
14	1	0.025	-7.718987362261642	9
14	2	0.025	-7.729366546847761	9
14	3	0.025	-7.263881120970824	9
14	4	0.025	-7.435033827103387	9
14	5	0.025	-7.809319778184837	9
14	6	0.025	-7.809880530776994	9
14	7	0.025	-7.781521062830473	9
14	8	0.025	-7.69852092470141	9
15	0	0.025	-7.719560430477608	8
15	1	0.025	-7.689279645107118	8
15	2	0.025	-7.670518162431161	8
15	3	0.025	-7.6814431489515265	8
15	4	0.025	-7.720388559095256	8
15	5	0.025	-7.769612036736659	8
15	6	0.025	-7.7071730982013875	8
15	7	0.025	-7.762628830773732	8
15	9	0.025	-2.043692462140973	8
16	0	0.025	-7.321500243442357	4
16	1	0.025	-7.518525218864067	4
16	2	0.025	-7.314963295359907	4
16	3	0.025	-7.654249241556248	4
16	5	0.025	-7.639105662143837	4
16	6	0.025	-7.552500090330998	4
16	7	0.025	-7.636968109363695	4
16	8	0.025	-4.470864284768864	4
16	9	0.025	-7.197954647214263	4
17	0	0.025	-7.428308284084791	5
17	1	0.025	-7.4156948801429365	5
17	2	0.025	-7.400026616518215	5
17	3	0.025	-6.883033309076767	5
17	4	0.025	-7.410854045656236	5
17	6	0.025	-7.322946282771015	5
17	7	0.025	-7.489676550698499	5
17	8	0.025	-7.379591854065734	5
17	9	0.025	-7.519062765391095	5
18	0	0.025	-7.929576130858591	3
18	1	0.025	-7.621644407800911	3
18	2	0.025	-7.852585911634613	3
18	4	0.025	-7.941443819720877	3
18	5	0.025	-4.9907157094704875	3
18	6	0.025	-7.889957047510827	3
18	7	0.025	-7.998603667146865	3
18	8	0.025	-7.924823720721138	3
18	9	0.025	-7.996173123633964	3
19	0	0.025	-7.526770436067372	4
19	1	0.025	-7.452451693310724	4
19	2	0.025	-7.467871878955026	4
19	3	0.025	-7.568483703151049	4
19	5	0.025	-7.549429272622775	4
19	6	0.025	-7.54942135917057	4
19	7	0.025	-6.5291691238407115	4
19	8	0.025	-7.495563423265899	4
