Img	Time(s)	Epsilon
1	10.201	0.025
2	10.667	0.025
3	10.306	0.025
4	9.865	0.025
5	9.718	0.025
6	9.813	0.025
7	9.696	0.025
8	10.298	0.025
9	10.703	0.025
10	9.787	0.025
11	10.174	0.025
12	9.64	0.025
13	9.869	0.025
14	10.249	0.025
15	9.753	0.025
16	10.457	0.025
17	9.711	0.025
18	9.605	0.025
19	10.173	0.025
20	10.713	0.025
21	10.104	0.025
22	10.533	0.025
23	9.781	0.025
24	10.152	0.025
25	9.968	0.025
26	10.754	0.025
27	10.506	0.025
28	9.904	0.025
29	10.357	0.025
30	10.294	0.025
31	1.211	0.025
32	10.053	0.025
33	10.444	0.025
34	2.288	0.025
35	10.173	0.025
36	10.135	0.025
37	10.043	0.025
38	9.817	0.025
39	10.389	0.025
40	10.57	0.025
41	9.647	0.025
42	10.182	0.025
43	10.185	0.025
44	10.812	0.025
45	10.493	0.025
46	9.652	0.025
47	10.17	0.025
48	9.724	0.025
49	9.769	0.025
50	10.087	0.025
51	10.205	0.025
52	9.959	0.025
53	10.322	0.025
54	10.142	0.025
55	9.617	0.025
56	9.592	0.025
57	9.959	0.025
58	9.741	0.025
59	10.166	0.025
60	9.871	0.025
61	10.34	0.025
62	1.18	0.025
63	9.648	0.025
64	10.493	0.025
65	10.064	0.025
66	9.595	0.025
67	9.956	0.025
68	10.184	0.025
69	9.753	0.025
70	10.098	0.025
71	10.767	0.025
72	10.087	0.025
73	9.612	0.025
74	10.172	0.025
75	9.985	0.025
76	10.296	0.025
77	9.996	0.025
78	9.799	0.025
79	10.037	0.025
80	9.895	0.025
81	9.755	0.025
82	10.03	0.025
83	10.322	0.025
84	10.394	0.025
85	10.028	0.025
86	10.232	0.025
87	9.743	0.025
88	10.021	0.025
89	9.573	0.025
90	9.718	0.025
91	9.657	0.025
92	9.97	0.025
93	10.174	0.025
94	10.61	0.025
95	9.98	0.025
96	10.083	0.025
97	10.093	0.025
98	10.206	0.025
99	1.054	0.025
100	9.681	0.025
101	10.506	0.025
102	9.781	0.025
103	9.711	0.025
104	1.197	0.025
105	10.188	0.025
106	10.214	0.025
107	9.874	0.025
108	10.409	0.025
109	10.282	0.025
110	9.592	0.025
111	10.283	0.025
112	10.087	0.025
113	9.766	0.025
114	10.522	0.025
115	9.829	0.025
116	9.948	0.025
117	10.325	0.025
118	10.012	0.025
119	9.835	0.025
120	10.563	0.025
121	9.969	0.025
122	9.712	0.025
123	9.956	0.025
124	10.263	0.025
125	9.738	0.025
126	10.635	0.025
127	9.995	0.025
128	9.619	0.025
129	9.609	0.025
130	10.518	0.025
131	9.934	0.025
132	10.132	0.025
133	10.022	0.025
134	9.608	0.025
135	9.78	0.025
136	10.089	0.025
137	10.053	0.025
138	10.383	0.025
139	9.718	0.025
140	10.091	0.025
141	9.902	0.025
142	9.933	0.025
143	9.699	0.025
144	10.069	0.025
145	10.174	0.025
146	10.499	0.025
147	9.794	0.025
148	10.016	0.025
149	9.674	0.025
150	10.587	0.025
1	10.497	0.075
2	10.257	0.075
3	10.47	0.075
4	10.474	0.075
5	10.713	0.075
6	10.107	0.075
7	10.363	0.075
8	10.365	0.075
9	10.227	0.075
10	10.797	0.075
11	10.723	0.075
12	10.471	0.075
13	10.468	0.075
14	10.399	0.075
15	10.336	0.075
16	10.254	0.075
17	10.761	0.075
18	10.187	0.075
19	2.135	0.075
20	10.398	0.075
21	10.487	0.075
22	10.887	0.075
23	10.796	0.075
24	10.68	0.075
25	10.658	0.075
26	9.761	0.075
27	10.43	0.075
28	10.423	0.075
29	10.646	0.075
30	10.642	0.075
31	1.26	0.075
32	10.031	0.075
33	10.424	0.075
34	1.235	0.075
35	10.17	0.075
36	10.137	0.075
37	3.788	0.075
38	10.122	0.075
39	10.727	0.075
40	10.071	0.075
41	10.345	0.075
42	10.431	0.075
43	11.299	0.075
44	11.009	0.075
45	10.304	0.075
46	10.136	0.075
47	4.622	0.075
48	10.114	0.075
49	10.868	0.075
50	10.579	0.075
51	10.18	0.075
52	10.174	0.075
53	10.719	0.075
54	10.667	0.075
55	11.08	0.075
56	10.414	0.075
57	11.067	0.075
58	11.105	0.075
59	11.335	0.075
60	10.366	0.075
61	11.054	0.075
62	1.083	0.075
63	10.316	0.075
64	10.604	0.075
65	10.493	0.075
66	10.359	0.075
67	10.824	0.075
68	10.643	0.075
69	10.36	0.075
70	10.241	0.075
71	10.66	0.075
72	10.337	0.075
73	10.63	0.075
74	10.429	0.075
75	10.425	0.075
76	10.372	0.075
77	10.211	0.075
78	10.224	0.075
79	1.536	0.075
80	10.519	0.075
81	10.439	0.075
82	10.141	0.075
83	10.313	0.075
84	10.26	0.075
85	3.47	0.075
86	10.907	0.075
87	10.587	0.075
88	10.372	0.075
89	10.101	0.075
90	10.154	0.075
91	10.229	0.075
92	10.57	0.075
93	10.426	0.075
94	10.432	0.075
95	10.573	0.075
96	10.405	0.075
97	4.482	0.075
98	6.049	0.075
99	1.152	0.075
100	10.436	0.075
101	10.084	0.075
102	9.893	0.075
103	10.15	0.075
104	1.19	0.075
105	1.049	0.075
106	10.56	0.075
107	10.463	0.075
108	2.517	0.075
109	3.59	0.075
110	10.594	0.075
111	10.461	0.075
112	10.552	0.075
113	10.345	0.075
114	10.624	0.075
115	10.357	0.075
116	10.268	0.075
117	10.508	0.075
118	10.29	0.075
119	10.044	0.075
120	10.254	0.075
121	10.55	0.075
122	10.351	0.075
123	10.372	0.075
124	10.403	0.075
125	10.058	0.075
126	10.663	0.075
127	2.397	0.075
128	10.001	0.075
129	10.154	0.075
130	9.276	0.075
131	10.979	0.075
132	10.392	0.075
133	10.327	0.075
134	10.216	0.075
135	10.001	0.075
136	10.497	0.075
137	10.774	0.075
138	10.518	0.075
139	10.357	0.075
140	10.386	0.075
141	10.356	0.075
142	10.474	0.075
143	9.922	0.075
144	10.555	0.075
145	10.278	0.075
146	9.314	0.075
147	10.375	0.075
148	4.531	0.075
149	10.087	0.075
150	10.404	0.075
