Img	Time(s)	Epsilon
1	23.362	0.025
2	18.455	0.025
3	20.977	0.025
4	18.207	0.025
5	16.175	0.025
6	17.492	0.025
7	16.163	0.025
8	16.862	0.025
9	17.227	0.025
10	16.85	0.025
11	16.322	0.025
12	16.12	0.025
13	16.71	0.025
14	16.093	0.025
15	15.744	0.025
16	16.997	0.025
17	16.877	0.025
18	16.472	0.025
19	16.637	0.025
20	17.009	0.025
21	17.067	0.025
22	16.536	0.025
23	16.983	0.025
24	16.228	0.025
25	16.189	0.025
26	15.688	0.025
27	17.861	0.025
28	16.057	0.025
29	16.877	0.025
30	16.763	0.025
31	18.793	0.025
32	16.246	0.025
33	16.586	0.025
34	2.04	0.025
35	16.899	0.025
36	16.772	0.025
37	16.893	0.025
38	16.52	0.025
39	17.447	0.025
40	17.302	0.025
41	15.986	0.025
42	16.659	0.025
43	4.305	0.025
44	16.115	0.025
45	16.134	0.025
46	16.071	0.025
47	17.402	0.025
48	15.804	0.025
49	16.096	0.025
50	17.044	0.025
51	16.645	0.025
52	16.734	0.025
53	17.58	0.025
54	17.176	0.025
55	17.227	0.025
56	15.933	0.025
57	17.541	0.025
58	16.231	0.025
59	15.975	0.025
60	15.896	0.025
61	16.749	0.025
62	17.207	0.025
63	16.752	0.025
64	16.877	0.025
65	16.921	0.025
66	16.567	0.025
67	16.18	0.025
68	17.494	0.025
69	16.72	0.025
70	16.103	0.025
71	16.472	0.025
72	16.902	0.025
73	16.087	0.025
74	15.821	0.025
75	17.679	0.025
76	16.735	0.025
77	16.548	0.025
78	16.699	0.025
79	17.505	0.025
80	17.16	0.025
81	16.531	0.025
82	15.884	0.025
83	16.703	0.025
84	15.925	0.025
85	5.507	0.025
86	17.479	0.025
87	16.593	0.025
88	16.386	0.025
89	16.794	0.025
90	15.989	0.025
91	16.339	0.025
92	15.996	0.025
93	16.838	0.025
94	17.017	0.025
95	16.481	0.025
96	16.181	0.025
97	16.578	0.025
98	17.717	0.025
99	1.968	0.025
100	16.662	0.025
101	16.573	0.025
102	16.459	0.025
103	15.902	0.025
104	1.878	0.025
105	16.913	0.025
106	17.242	0.025
107	16.984	0.025
108	2.063	0.025
109	17.767	0.025
110	17.981	0.025
111	16.997	0.025
112	16.785	0.025
113	16.642	0.025
114	16.93	0.025
115	16.632	0.025
116	16.741	0.025
117	16.354	0.025
118	16.045	0.025
119	16.552	0.025
120	15.959	0.025
121	16.134	0.025
122	16.864	0.025
123	16.561	0.025
124	16.734	0.025
125	15.929	0.025
126	17.812	0.025
127	16.804	0.025
128	15.93	0.025
129	16.093	0.025
130	16.496	0.025
131	15.759	0.025
132	15.859	0.025
133	16.785	0.025
134	16.817	0.025
135	16.034	0.025
136	16.943	0.025
137	17.128	0.025
138	16.834	0.025
139	16.426	0.025
140	16.212	0.025
141	16.71	0.025
142	16.592	0.025
143	16.882	0.025
144	16.708	0.025
145	17.279	0.025
146	17.045	0.025
147	17.148	0.025
148	1.818	0.025
149	15.944	0.025
150	16.091	0.025
1	20.023	0.075
2	16.993	0.075
3	17.512	0.075
4	20.736	0.075
5	18.882	0.075
6	18.374	0.075
7	17.228	0.075
8	20.319	0.075
9	17.836	0.075
10	19.525	0.075
11	19.173	0.075
12	17.011	0.075
13	18.731	0.075
14	17.853	0.075
15	17.91	0.075
16	17.701	0.075
17	18.116	0.075
18	18.526	0.075
19	18.665	0.075
20	18.541	0.075
21	23.01	0.075
22	21.148	0.075
23	19.177	0.075
24	17.748	0.075
25	17.685	0.075
26	17.03	0.075
27	23.201	0.075
28	18.855	0.075
29	19.915	0.075
30	20.448	0.075
31	20.948	0.075
32	16.781	0.075
33	18.472	0.075
34	2.548	0.075
35	17.234	0.075
36	19.089	0.075
37	18.777	0.075
38	18.395	0.075
39	23.017	0.075
40	20.122	0.075
41	17.675	0.075
42	17.953	0.075
43	9.123	0.075
44	19.996	0.075
45	17.759	0.075
46	17.954	0.075
47	2.277	0.075
48	16.995	0.075
49	17.222	0.075
50	19.68	0.075
51	18.219	0.075
52	19.133	0.075
53	21.163	0.075
54	19.68	0.075
55	19.847	0.075
56	17.063	0.075
57	18.587	0.075
58	17.634	0.075
59	17.53	0.075
60	17.625	0.075
61	18.606	0.075
62	18.166	0.075
63	20.826	0.075
64	20.68	0.075
65	18.223	0.075
66	18.316	0.075
67	17.771	0.075
68	22.333	0.075
69	17.637	0.075
70	17.897	0.075
71	20.908	0.075
72	19.025	0.075
73	18.447	0.075
74	17.378	0.075
75	21.514	0.075
76	19.039	0.075
77	18.737	0.075
78	19.248	0.075
79	21.271	0.075
80	20.326	0.075
81	17.523	0.075
82	17.78	0.075
83	18.993	0.075
84	19.006	0.075
85	8.304	0.075
86	20.289	0.075
87	18.543	0.075
88	17.212	0.075
89	18.023	0.075
