Img	Target_Label	Epsilon	Objective_Value	Label
1	0	0.025	-0.12329548062110945	2
1	1	0.025	-0.4233393480663559	2
1	3	0.025	5.215232537860352	2
1	4	0.025	2.808514350006191	2
1	5	0.025	5.189918122857718	2
1	6	0.025	5.4508474247624426	2
1	7	0.025	5.6269906699930745	2
1	8	0.025	5.360151998061132	2
1	9	0.025	5.1399220888024075	2
2	1	0.025	-7.61332025610951	0
2	2	0.025	-7.441442131593959	0
2	3	0.025	-7.640930510347491	0
2	4	0.025	-7.440920332789201	0
2	5	0.025	-6.9141474498688105	0
2	6	0.025	-7.346309307180567	0
2	7	0.025	-7.50483021396075	0
2	8	0.025	-7.932147247729293	0
2	9	0.025	-7.56906082145338	0
3	0	0.025	-6.244146547831301	4
3	1	0.025	-6.260216263771329	4
3	2	0.025	-6.136685800368725	4
3	3	0.025	-6.299223598694296	4
3	5	0.025	-6.15843333948467	4
3	6	0.025	-6.203523636772229	4
3	7	0.025	-5.863072349083547	4
3	8	0.025	-6.30492091292891	4
3	9	0.025	-1.6895102210227797	4
4	0	0.025	4.4691867188607635	8
4	1	0.025	0.14754421756247252	8
4	2	0.025	-0.08340263604358387	8
4	3	0.025	2.6502164839493614	8
4	4	0.025	-0.08688472640556467	8
4	5	0.025	6.089287279385978	8
4	6	0.025	6.17833264052239	8
4	7	0.025	0.4320367412295804	8
4	9	0.025	4.23467099488468	8
5	0	0.025	3.6658715670244764	7
5	1	0.025	-1.3451528153431946	7
5	2	0.025	2.6401226221036733	7
5	3	0.025	4.650440536864493	7
5	4	0.025	-0.8037748433162324	7
5	5	0.025	-0.17004933358444094	7
5	6	0.025	-1.671088561861678	7
5	8	0.025	-1.607990423164504	7
5	9	0.025	4.54849160016868	7
6	0	0.025	-2.9325516208206825	6
6	1	0.025	-3.7669694061300345	6
6	2	0.025	-4.718265093940223	6
6	3	0.025	-7.538621118503245	6
6	4	0.025	-5.9885669660417795	6
6	5	0.025	-4.132263580342381	6
6	7	0.025	-7.442052354791884	6
6	8	0.025	-4.4369213712306514	6
6	9	0.025	-2.7975841081012933	6
7	1	0.025	-7.614297501657333	0
7	2	0.025	-7.441941242855819	0
7	3	0.025	-7.642036865710948	0
7	4	0.025	-7.443393256698993	0
7	5	0.025	-7.102654873197107	0
7	6	0.025	-7.541339375865315	0
7	7	0.025	-7.504504183098112	0
7	8	0.025	-7.941356576867968	0
7	9	0.025	-7.569605667597065	0
8	0	0.025	-6.85138116430654	6
8	1	0.025	-7.391335669113492	6
8	2	0.025	-7.227568710731994	6
8	3	0.025	-7.417666178904693	6
8	4	0.025	-7.191737880519462	6
8	5	0.025	-6.452436756885425	6
8	7	0.025	-7.30595288348748	6
8	8	0.025	-3.357437621702214	6
8	9	0.025	-7.34201622873269	6
9	0	0.025	-0.12713540509014143	3
9	1	0.025	-0.08384078056165489	3
9	2	0.025	1.2953674290965393	3
9	4	0.025	0.05414408904968694	3
9	5	0.025	7.340419135752923	3
9	6	0.025	-0.09198074078479589	3
9	7	0.025	-0.01187970323530345	3
9	8	0.025	5.356734368972588	3
9	9	0.025	-0.1014637557041046	3
10	0	0.025	-7.557588000215397	1
10	2	0.025	-4.241116352140184	1
10	3	0.025	-5.9791596271612875	1
10	4	0.025	-7.3891992989516995	1
10	5	0.025	-6.864663186222697	1
10	6	0.025	-2.5632760901466147	1
10	7	0.025	-7.285657329952096	1
10	8	0.025	-7.679171947295194	1
10	9	0.025	-7.529741697113927	1
12	1	0.025	-7.614135133478166	0
12	2	0.025	-7.435596269347426	0
12	3	0.025	-7.638243586416406	0
12	4	0.025	-7.445809932548496	0
12	5	0.025	-7.457563388239361	0
12	6	0.025	-7.066597973610413	0
12	7	0.025	-7.505491030996349	0
12	8	0.025	-6.903734428864075	0
12	9	0.025	-7.570028571924203	0
13	0	0.025	-5.5246586106959565	7
13	1	0.025	-6.821753088416127	7
13	2	0.025	-3.9694426342204205	7
13	3	0.025	-0.6340854692181059	7
13	4	0.025	-6.483557933097418	7
13	5	0.025	-0.8110937660997551	7
13	6	0.025	-6.850918769974903	7
13	8	0.025	-6.788021971907812	7
13	9	0.025	-1.1897484966174017	7
14	0	0.025	-7.570444705193529	9
14	1	0.025	-7.589609449529237	9
14	2	0.025	-7.456668981317937	9
14	3	0.025	-7.634879429534707	9
14	4	0.025	-7.306859572295126	9
14	5	0.025	-7.440522599516908	9
14	6	0.025	-7.5454996903736395	9
14	7	0.025	-6.141258137734584	9
