Img	Time(s)	Epsilon
1	10.722	0.025
2	10.513	0.025
3	10.803	0.025
4	10.864	0.025
5	10.393	0.025
6	10.665	0.025
7	10.398	0.025
8	10.342	0.025
9	11.068	0.025
10	10.602	0.025
11	11.009	0.025
12	10.438	0.025
13	10.768	0.025
14	11.149	0.025
15	10.418	0.025
16	10.59	0.025
17	11.074	0.025
18	10.452	0.025
19	11.369	0.025
20	10.663	0.025
21	11.176	0.025
22	10.658	0.025
23	11.248	0.025
24	10.419	0.025
25	10.351	0.025
26	10.135	0.025
27	10.732	0.025
28	10.95	0.025
29	10.502	0.025
30	10.381	0.025
31	1.332	0.025
32	10.3	0.025
33	10.9	0.025
34	1.163	0.025
35	10.644	0.025
36	10.601	0.025
37	10.725	0.025
38	10.375	0.025
39	11.15	0.025
40	10.621	0.025
41	11.037	0.025
42	11.107	0.025
43	11.134	0.025
44	10.328	0.025
45	10.49	0.025
46	10.247	0.025
47	10.941	0.025
48	10.489	0.025
49	10.528	0.025
50	10.796	0.025
51	10.798	0.025
52	10.728	0.025
53	10.501	0.025
54	10.622	0.025
55	10.33	0.025
56	10.283	0.025
57	10.256	0.025
58	10.995	0.025
59	10.618	0.025
60	10.237	0.025
61	10.777	0.025
62	11.042	0.025
63	10.467	0.025
64	10.87	0.025
65	10.65	0.025
66	9.993	0.025
67	10.285	0.025
68	11.017	0.025
69	10.71	0.025
70	10.271	0.025
71	10.412	0.025
72	10.6	0.025
73	10.97	0.025
74	10.221	0.025
75	10.778	0.025
76	10.709	0.025
77	10.599	0.025
78	10.472	0.025
79	11.202	0.025
80	11.103	0.025
81	10.822	0.025
82	10.246	0.025
83	10.6	0.025
84	10.312	0.025
85	10.766	0.025
86	11.309	0.025
87	10.22	0.025
88	10.527	0.025
89	10.78	0.025
90	10.083	0.025
91	10.231	0.025
92	10.593	0.025
93	11.49	0.025
94	10.409	0.025
95	10.797	0.025
96	11.038	0.025
97	11.046	0.025
98	10.971	0.025
99	2.849	0.025
100	10.339	0.025
101	10.602	0.025
102	10.222	0.025
103	10.401	0.025
104	11.215	0.025
