Img	Time(s)	Epsilon
1	25.577	0.025
2	16.702	0.025
3	17.796	0.025
4	18.299	0.025
5	18.773	0.025
6	18.321	0.025
7	16.724	0.025
8	17.565	0.025
9	18.427	0.025
10	18.308	0.025
11	2.103	0.025
12	17.326	0.025
13	18.543	0.025
14	16.923	0.025
15	17.906	0.025
16	17.201	0.025
17	17.776	0.025
18	18.535	0.025
19	17.986	0.025
20	18.311	0.025
21	18.022	0.025
22	20.256	0.025
23	18.437	0.025
24	17.056	0.025
25	18.378	0.025
26	18.164	0.025
27	18.717	0.025
28	18.041	0.025
29	20.349	0.025
30	17.585	0.025
31	2.152	0.025
32	17.431	0.025
33	17.533	0.025
34	12.293	0.025
35	16.874	0.025
36	18.009	0.025
37	18.687	0.025
38	17.251	0.025
39	20.45	0.025
40	18.21	0.025
41	16.845	0.025
42	18.44	0.025
43	19.345	0.025
44	19.356	0.025
45	19.523	0.025
46	16.8	0.025
47	18.748	0.025
48	17.714	0.025
49	18.392	0.025
50	19.497	0.025
51	16.96	0.025
52	19.433	0.025
53	19.666	0.025
54	19.929	0.025
55	19.198	0.025
56	17.19	0.025
57	18.791	0.025
58	18.62	0.025
59	18.445	0.025
60	18.863	0.025
61	19.746	0.025
62	19.339	0.025
63	19.634	0.025
64	18.056	0.025
65	18.724	0.025
66	17.802	0.025
67	19.041	0.025
68	18.624	0.025
69	18.414	0.025
70	18.945	0.025
71	18.939	0.025
72	18.386	0.025
73	17.097	0.025
74	17.13	0.025
75	18.256	0.025
76	18.989	0.025
77	19.632	0.025
78	17.691	0.025
79	19.326	0.025
80	19.947	0.025
81	18.152	0.025
82	18.784	0.025
83	18.371	0.025
84	16.877	0.025
85	18.704	0.025
86	19.419	0.025
87	19.137	0.025
88	17.551	0.025
89	19.23	0.025
90	18.18	0.025
91	17.853	0.025
92	19.075	0.025
93	18.285	0.025
94	19.076	0.025
95	18.39	0.025
96	17.096	0.025
97	20.251	0.025
98	19.815	0.025
99	2.113	0.025
100	19.117	0.025
101	19.162	0.025
102	16.996	0.025
103	18.089	0.025
104	18.751	0.025
105	19.544	0.025
106	19.908	0.025
107	17.68	0.025
108	2.263	0.025
109	17.867	0.025
110	20.185	0.025
111	19.001	0.025
112	18.243	0.025
113	18.655	0.025
114	19.314	0.025
115	16.803	0.025
116	18.367	0.025
117	18.172	0.025
118	19.477	0.025
119	18.639	0.025
120	17.728	0.025
121	18.561	0.025
122	17.465	0.025
123	18.997	0.025
124	18.479	0.025
125	19.051	0.025
126	2.137	0.025
127	19.984	0.025
128	16.942	0.025
129	18.513	0.025
130	19.109	0.025
131	17.111	0.025
132	17.926	0.025
133	18.004	0.025
134	18.465	0.025
135	18.268	0.025
136	19.985	0.025
137	18.701	0.025
138	19.787	0.025
139	19.039	0.025
140	18.451	0.025
141	18.73	0.025
142	18.81	0.025
143	18.405	0.025
144	18.312	0.025
145	17.508	0.025
146	18.744	0.025
147	19.496	0.025
148	4.322	0.025
149	17.48	0.025
150	19.237	0.025
1	23.469	0.05
2	22.126	0.05
3	20.06	0.05
4	21.651	0.05
5	23.971	0.05
6	20.756	0.05
7	19.246	0.05
8	20.641	0.05
9	22.466	0.05
10	21.187	0.05
11	21.94	0.05
12	20.036	0.05
13	20.807	0.05
14	20.225	0.05
15	22.192	0.05
16	19.594	0.05
17	20.0	0.05
18	22.173	0.05
19	21.663	0.05
20	21.056	0.05
21	20.611	0.05
22	27.615	0.05
23	22.748	0.05
24	18.949	0.05
25	19.719	0.05
26	26.825	0.05
27	20.405	0.05
28	21.4	0.05
29	21.831	0.05
30	21.09	0.05
31	2.457	0.05
32	22.199	0.05
33	19.733	0.05
34	6.982	0.05
35	18.968	0.05
36	23.416	0.05
37	21.051	0.05
38	20.536	0.05
39	28.892	0.05
40	20.949	0.05
41	19.63	0.05
42	21.579	0.05
43	22.82	0.05
44	21.82	0.05
45	21.563	0.05
46	18.487	0.05
47	20.911	0.05
48	23.605	0.05
49	20.631	0.05
50	22.273	0.05
51	20.179	0.05
52	22.051	0.05
53	21.605	0.05
54	21.858	0.05
55	21.148	0.05
56	19.563	0.05
57	20.557	0.05
58	20.685	0.05
59	18.361	0.05
60	21.028	0.05
61	23.51	0.05
62	21.106	0.05
63	20.693	0.05
64	20.333	0.05
65	21.496	0.05
66	20.567	0.05
67	20.387	0.05
68	21.242	0.05
69	20.83	0.05
70	20.238	0.05
71	22.759	0.05
72	20.122	0.05
73	20.892	0.05
74	21.722	0.05
75	22.558	0.05
76	19.475	0.05
77	21.413	0.05
78	20.994	0.05
79	25.304	0.05
80	21.716	0.05
81	20.178	0.05
82	20.09	0.05
83	21.315	0.05
84	18.959	0.05
85	21.657	0.05
86	24.145	0.05
87	23.034	0.05
88	20.192	0.05
89	21.869	0.05
90	21.504	0.05
91	24.016	0.05
92	21.848	0.05
93	23.762	0.05
94	25.099	0.05
95	22.322	0.05
96	22.378	0.05
97	24.305	0.05
98	25.237	0.05
99	2.781	0.05
100	22.186	0.05
101	20.376	0.05
102	19.157	0.05
103	21.435	0.05
104	20.102	0.05
105	23.087	0.05
106	24.095	0.05
107	19.421	0.05
108	10.573	0.05
109	25.547	0.05
110	22.642	0.05
111	19.793	0.05
112	20.804	0.05
113	21.097	0.05
114	23.477	0.05
115	18.69	0.05
116	19.181	0.05
117	20.486	0.05
118	21.88	0.05
119	19.262	0.05
120	18.966	0.05
121	21.884	0.05
122	19.467	0.05
123	22.351	0.05
124	22.797	0.05
125	19.705	0.05
126	8.96	0.05
127	21.118	0.05
128	20.02	0.05
129	22.136	0.05
130	20.99	0.05
131	18.409	0.05
132	20.06	0.05
133	19.601	0.05
134	20.41	0.05
135	21.166	0.05
136	25.623	0.05
137	21.544	0.05
138	24.238	0.05
139	21.789	0.05
140	20.693	0.05
141	24.8	0.05
142	20.201	0.05
143	20.651	0.05
144	21.017	0.05
145	21.113	0.05
146	20.166	0.05
147	22.477	0.05
148	5.122	0.05
149	18.235	0.05
150	20.435	0.05
1	28.324	0.075
2	22.139	0.075
3	22.38	0.075
4	28.37	0.075
5	36.258	0.075
6	24.447	0.075
7	21.557	0.075
8	20.919	0.075
9	22.999	0.075
10	23.855	0.075
11	35.115	0.075
12	22.043	0.075
13	22.887	0.075
14	24.357	0.075
15	25.277	0.075
16	24.913	0.075
17	25.926	0.075
18	26.742	0.075
19	23.237	0.075
20	22.176	0.075
21	32.532	0.075
22	27.81	0.075
23	28.347	0.075
24	21.402	0.075
25	20.7	0.075
26	22.981	0.075
27	25.165	0.075
28	24.639	0.075
29	24.956	0.075
30	42.293	0.075
31	2.666	0.075
32	20.181	0.075
33	24.093	0.075
34	3.032	0.075
35	20.468	0.075
36	29.8	0.075
37	23.558	0.075
38	24.708	0.075
39	29.69	0.075
40	26.454	0.075
41	23.537	0.075
42	23.355	0.075
43	29.642	0.075
44	25.579	0.075
45	24.208	0.075
46	19.848	0.075
47	23.403	0.075
48	25.186	0.075
49	25.116	0.075
50	25.524	0.075
51	20.851	0.075
52	24.362	0.075
53	32.349	0.075
54	27.241	0.075
55	23.965	0.075
56	23.757	0.075
57	22.773	0.075
58	23.178	0.075
59	20.163	0.075
60	25.097	0.075
61	26.377	0.075
62	23.72	0.075
63	23.476	0.075
64	27.043	0.075
65	22.308	0.075
66	24.43	0.075
67	23.209	0.075
68	29.275	0.075
69	22.133	0.075
70	24.459	0.075
71	27.895	0.075
72	27.29	0.075
73	20.956	0.075
74	27.38	0.075
75	28.34	0.075
76	20.919	0.075
77	23.339	0.075
78	24.582	0.075
79	29.351	0.075
80	25.233	0.075
81	22.454	0.075
82	21.509	0.075
83	23.251	0.075
84	20.88	0.075
85	26.075	0.075
86	28.309	0.075
87	28.289	0.075
88	23.757	0.075
89	24.033	0.075
90	23.939	0.075
91	23.246	0.075
92	39.083	0.075
93	27.435	0.075
94	26.048	0.075
95	28.404	0.075
96	30.245	0.075
97	25.552	0.075
98	33.017	0.075
99	3.865	0.075
100	25.008	0.075
101	22.883	0.075
102	21.596	0.075
103	25.873	0.075
104	21.857	0.075
105	26.725	0.075
106	26.338	0.075
107	22.726	0.075
108	3.358	0.075
109	30.873	0.075
110	26.276	0.075
111	21.065	0.075
112	25.436	0.075
113	25.179	0.075
114	39.309	0.075
115	20.925	0.075
116	22.466	0.075
117	24.358	0.075
118	29.827	0.075
119	22.624	0.075
120	20.29	0.075
121	56.101	0.075
122	20.163	0.075
123	25.388	0.075
124	42.454	0.075
125	22.127	0.075
126	2.38	0.075
127	27.098	0.075
128	22.59	0.075
129	25.683	0.075
130	24.989	0.075
131	20.025	0.075
132	20.477	0.075
133	24.234	0.075
134	23.182	0.075
135	21.284	0.075
136	27.384	0.075
137	66.136	0.075
138	28.459	0.075
139	24.832	0.075
140	22.945	0.075
141	36.923	0.075
142	26.246	0.075
143	22.48	0.075
144	24.133	0.075
145	27.345	0.075
146	23.282	0.075
147	26.216	0.075
148	8.314	0.075
149	22.364	0.075
150	24.009	0.075
1	30.705	0.1
2	23.403	0.1
3	30.966	0.1
4	38.677	0.1
5	34.644	0.1
6	32.073	0.1
7	24.068	0.1
8	24.813	0.1
9	8.374	0.1
10	47.646	0.1
11	31.826	0.1
12	24.416	0.1
13	23.678	0.1
14	26.904	0.1
15	39.377	0.1
16	27.769	0.1
17	25.738	0.1
18	27.967	0.1
19	27.647	0.1
20	28.8	0.1
21	28.617	0.1
22	27.478	0.1
23	27.785	0.1
24	73.861	0.1
25	23.169	0.1
26	23.936	0.1
27	28.863	0.1
28	29.645	0.1
29	27.934	0.1
30	28.53	0.1
31	3.693	0.1
32	22.163	0.1
33	28.137	0.1
34	3.479	0.1
35	24.086	0.1
36	27.744	0.1
37	30.19	0.1
38	30.208	0.1
39	26.554	0.1
40	31.584	0.1
41	24.863	0.1
42	26.965	0.1
43	26.51	0.1
44	25.961	0.1
45	26.778	0.1
46	20.607	0.1
47	28.068	0.1
48	26.473	0.1
49	32.964	0.1
50	35.51	0.1
51	22.019	0.1
52	46.283	0.1
53	49.116	0.1
54	32.436	0.1
55	28.078	0.1
56	24.082	0.1
57	31.341	0.1
58	28.808	0.1
59	21.759	0.1
60	30.725	0.1
61	27.004	0.1
62	27.866	0.1
63	28.805	0.1
64	28.121	0.1
65	26.879	0.1
66	26.085	0.1
67	27.91	0.1
68	41.596	0.1
69	23.273	0.1
70	27.972	0.1
71	33.494	0.1
72	28.834	0.1
73	26.874	0.1
74	27.768	0.1
75	33.993	0.1
76	24.525	0.1
77	29.355	0.1
78	27.668	0.1
79	30.49	0.1
80	26.532	0.1
81	27.981	0.1
82	24.162	0.1
83	26.528	0.1
84	25.755	0.1
85	28.608	0.1
86	27.107	0.1
87	27.846	0.1
88	26.315	0.1
89	27.302	0.1
90	25.144	0.1
91	24.424	0.1
92	28.963	0.1
93	33.689	0.1
94	35.008	0.1
95	35.026	0.1
96	30.274	0.1
97	26.198	0.1
98	31.252	0.1
99	3.183	0.1
100	24.88	0.1
101	26.08	0.1
102	23.883	0.1
103	28.221	0.1
104	23.517	0.1
105	28.35	0.1
106	11.443	0.1
107	24.59	0.1
108	28.342	0.1
109	31.029	0.1
110	27.668	0.1
111	26.285	0.1
112	26.406	0.1
113	29.799	0.1
114	31.575	0.1
115	24.184	0.1
116	24.963	0.1
117	30.708	0.1
118	33.144	0.1
119	25.663	0.1
120	26.134	0.1
121	45.604	0.1
122	22.86	0.1
123	74.311	0.1
124	35.699	0.1
125	24.715	0.1
126	2.873	0.1
127	40.696	0.1
128	26.403	0.1
129	24.63	0.1
130	27.688	0.1
131	21.828	0.1
132	24.458	0.1
133	26.39	0.1
134	25.322	0.1
135	24.435	0.1
136	29.752	0.1
137	54.461	0.1
138	43.036	0.1
139	29.393	0.1
140	26.152	0.1
141	31.691	0.1
142	26.958	0.1
143	26.774	0.1
144	30.975	0.1
145	28.032	0.1
146	24.362	0.1
147	28.581	0.1
148	5.639	0.1
149	21.822	0.1
150	29.023	0.1
