Img	Time(s)	Epsilon
1	0.471	0.025
2	0.63	0.025
3	0.473	0.025
4	0.472	0.025
5	0.472	0.025
6	0.476	0.025
7	0.49	0.025
8	0.479	0.025
9	0.622	0.025
10	0.468	0.025
11	0.501	0.025
12	0.473	0.025
13	0.469	0.025
14	0.468	0.025
15	0.48	0.025
16	0.605	0.025
17	0.471	0.025
18	0.474	0.025
19	0.485	0.025
20	0.477	0.025
21	0.466	0.025
22	0.468	0.025
23	0.615	0.025
24	0.459	0.025
25	0.479	0.025
26	0.465	0.025
27	0.466	0.025
28	0.486	0.025
29	0.47	0.025
30	0.591	0.025
31	0.475	0.025
32	0.491	0.025
33	0.466	0.025
34	0.467	0.025
35	0.475	0.025
36	0.482	0.025
37	0.593	0.025
38	0.47	0.025
39	0.476	0.025
40	0.484	0.025
41	0.476	0.025
42	0.468	0.025
43	0.473	0.025
44	0.619	0.025
45	0.473	0.025
46	0.485	0.025
47	0.472	0.025
48	0.474	0.025
49	0.481	0.025
50	0.502	0.025
51	0.647	0.025
52	0.506	0.025
53	0.513	0.025
54	0.488	0.025
55	0.467	0.025
56	0.472	0.025
57	0.481	0.025
58	0.605	0.025
59	0.573	0.025
60	0.486	0.025
61	0.485	0.025
62	0.465	0.025
63	0.472	0.025
64	0.475	0.025
65	0.609	0.025
66	0.471	0.025
67	0.471	0.025
68	0.47	0.025
69	0.482	0.025
70	0.465	0.025
71	0.473	0.025
72	0.604	0.025
73	0.488	0.025
74	0.472	0.025
75	0.465	0.025
76	0.477	0.025
77	0.477	0.025
78	0.494	0.025
79	0.606	0.025
80	0.469	0.025
81	0.47	0.025
82	0.479	0.025
83	0.472	0.025
84	0.457	0.025
85	0.474	0.025
86	0.606	0.025
87	0.477	0.025
88	0.464	0.025
89	0.474	0.025
90	0.489	0.025
91	0.472	0.025
92	0.479	0.025
93	0.596	0.025
94	0.48	0.025
95	0.477	0.025
96	0.482	0.025
97	0.496	0.025
98	0.482	0.025
99	0.485	0.025
100	0.591	0.025
101	0.475	0.025
102	0.465	0.025
103	0.494	0.025
104	0.481	0.025
105	0.464	0.025
106	0.471	0.025
107	0.612	0.025
108	0.475	0.025
109	0.482	0.025
110	0.46	0.025
111	0.49	0.025
112	0.467	0.025
113	0.461	0.025
114	0.596	0.025
115	0.479	0.025
116	0.467	0.025
117	0.459	0.025
118	0.47	0.025
119	0.476	0.025
120	0.485	0.025
121	0.611	0.025
122	0.476	0.025
123	0.473	0.025
124	0.481	0.025
