Img	Time(s)	Epsilon
1	1.142	0.025
2	1.128	0.025
3	1.274	0.025
4	1.136	0.025
5	1.114	0.025
6	1.133	0.025
7	1.098	0.025
8	1.134	0.025
9	1.266	0.025
10	1.121	0.025
11	1.121	0.025
12	1.11	0.025
13	1.119	0.025
14	1.232	0.025
15	1.13	0.025
16	1.111	0.025
17	1.138	0.025
18	1.109	0.025
19	1.13	0.025
20	1.405	0.025
21	1.106	0.025
22	1.125	0.025
23	1.117	0.025
24	1.136	0.025
25	1.251	0.025
26	1.132	0.025
27	1.115	0.025
28	1.115	0.025
29	1.139	0.025
30	1.24	0.025
31	1.116	0.025
32	1.112	0.025
33	1.138	0.025
34	1.111	0.025
35	1.258	0.025
36	1.136	0.025
37	1.104	0.025
38	1.117	0.025
39	1.126	0.025
40	1.255	0.025
41	1.118	0.025
42	1.129	0.025
43	1.103	0.025
44	1.133	0.025
45	1.265	0.025
46	1.122	0.025
47	1.128	0.025
48	1.11	0.025
49	1.137	0.025
50	1.255	0.025
51	1.121	0.025
52	1.111	0.025
53	1.121	0.025
54	1.108	0.025
55	1.264	0.025
56	1.118	0.025
57	1.115	0.025
58	1.12	0.025
59	1.104	0.025
60	1.26	0.025
61	1.113	0.025
62	1.115	0.025
63	1.117	0.025
64	1.128	0.025
65	1.25	0.025
66	1.126	0.025
67	1.143	0.025
68	1.122	0.025
69	1.114	0.025
70	1.248	0.025
71	1.13	0.025
72	1.118	0.025
73	1.119	0.025
74	1.122	0.025
75	1.121	0.025
76	1.374	0.025
77	1.115	0.025
78	1.123	0.025
79	1.119	0.025
80	1.138	0.025
81	1.243	0.025
82	1.111	0.025
83	1.145	0.025
84	1.109	0.025
85	1.13	0.025
86	1.243	0.025
87	1.127	0.025
88	1.123	0.025
89	1.149	0.025
90	1.121	0.025
91	1.243	0.025
92	1.125	0.025
93	1.096	0.025
94	1.128	0.025
95	1.096	0.025
96	1.27	0.025
97	1.119	0.025
98	1.136	0.025
99	1.119	0.025
100	1.127	0.025
101	1.258	0.025
102	1.123	0.025
103	1.127	0.025
104	1.121	0.025
105	1.129	0.025
106	1.257	0.025
107	1.122	0.025
108	1.11	0.025
109	1.129	0.025
110	1.128	0.025
111	1.253	0.025
112	1.132	0.025
113	1.108	0.025
114	1.124	0.025
115	1.119	0.025
116	1.252	0.025
117	1.158	0.025
118	1.13	0.025
119	1.128	0.025
120	1.127	0.025
121	1.275	0.025
122	1.122	0.025
123	1.117	0.025
124	1.123	0.025
125	1.128	0.025
126	1.113	0.025
127	1.374	0.025
128	1.159	0.025
129	1.115	0.025
130	1.129	0.025
131	1.101	0.025
132	1.246	0.025
133	1.109	0.025
134	1.118	0.025
135	1.105	0.025
136	1.121	0.025
137	1.269	0.025
138	1.121	0.025
139	1.126	0.025
140	1.125	0.025
141	1.129	0.025
142	1.254	0.025
143	1.127	0.025
144	1.1	0.025
145	1.138	0.025
146	1.141	0.025
147	1.24	0.025
148	1.123	0.025
149	1.105	0.025
150	1.139	0.025
1	1.125	0.05
2	1.378	0.05
3	1.116	0.05
4	1.122	0.05
5	1.123	0.05
6	1.114	0.05
7	1.249	0.05
8	1.116	0.05
9	1.114	0.05
10	1.112	0.05
11	1.127	0.05
12	1.254	0.05
13	1.122	0.05
14	1.13	0.05
15	1.128	0.05
16	1.128	0.05
17	1.285	0.05
18	1.186	0.05
19	1.087	0.05
20	1.156	0.05
21	1.252	0.05
22	1.129	0.05
23	1.364	0.05
24	1.108	0.05
25	1.126	0.05
26	1.124	0.05
27	1.126	0.05
28	1.362	0.05
29	1.125	0.05
30	1.144	0.05
31	1.115	0.05
32	1.149	0.05
33	1.125	0.05
34	1.367	0.05
35	1.126	0.05
36	1.115	0.05
37	1.144	0.05
38	1.112	0.05
39	1.248	0.05
40	1.12	0.05
41	1.13	0.05
42	1.111	0.05
43	1.121	0.05
44	1.245	0.05
45	1.103	0.05
46	1.136	0.05
47	1.115	0.05
48	1.141	0.05
49	1.126	0.05
50	1.366	0.05
51	1.101	0.05
52	1.128	0.05
53	1.133	0.05
54	1.123	0.05
55	1.412	0.05
56	1.121	0.05
57	1.124	0.05
58	1.12	0.05
59	1.131	0.05
60	1.115	0.05
61	1.368	0.05
62	1.133	0.05
63	1.107	0.05
64	1.122	0.05
65	1.11	0.05
66	1.366	0.05
67	1.129	0.05
68	1.119	0.05
69	1.109	0.05
70	1.106	0.05
71	1.136	0.05
72	1.369	0.05
73	1.131	0.05
74	1.128	0.05
75	1.13	0.05
76	1.11	0.05
77	1.232	0.05
78	1.149	0.05
79	1.112	0.05
80	1.131	0.05
81	1.106	0.05
82	1.257	0.05
83	1.2	0.05
84	1.101	0.05
85	1.118	0.05
86	1.092	0.05
87	1.112	0.05
88	1.502	0.05
89	1.171	0.05
90	1.195	0.05
91	1.175	0.05
92	1.168	0.05
93	1.249	0.05
94	1.125	0.05
95	1.11	0.05
96	1.125	0.05
97	1.149	0.05
98	1.42	0.05
99	1.141	0.05
100	1.164	0.05
101	1.356	0.05
102	1.132	0.05
103	1.257	0.05
104	1.133	0.05
105	1.135	0.05
106	1.151	0.05
107	1.132	0.05
108	1.267	0.05
109	1.128	0.05
110	1.196	0.05
111	1.15	0.05
112	1.142	0.05
113	1.29	0.05
114	1.178	0.05
115	1.157	0.05
116	1.131	0.05
117	1.134	0.05
118	1.273	0.05
119	1.19	0.05
120	1.166	0.05
121	1.119	0.05
122	1.253	0.05
123	1.245	0.05
124	1.131	0.05
125	1.108	0.05
126	1.12	0.05
127	1.114	0.05
128	1.277	0.05
129	1.145	0.05
130	1.102	0.05
131	1.112	0.05
132	1.109	0.05
133	1.261	0.05
134	1.117	0.05
135	1.136	0.05
136	1.121	0.05
137	1.12	0.05
138	1.12	0.05
139	1.367	0.05
140	1.132	0.05
141	1.116	0.05
142	1.123	0.05
143	1.115	0.05
144	1.378	0.05
145	1.133	0.05
146	1.128	0.05
147	1.131	0.05
148	1.115	0.05
149	1.126	0.05
150	1.376	0.05
1	1.136	0.075
2	1.119	0.075
3	1.115	0.075
4	1.129	0.075
5	1.344	0.075
6	1.122	0.075
7	1.133	0.075
8	1.138	0.075
9	1.124	0.075
10	1.366	0.075
11	1.126	0.075
12	1.128	0.075
13	1.14	0.075
14	1.117	0.075
15	1.147	0.075
16	1.36	0.075
17	1.113	0.075
18	1.117	0.075
19	1.109	0.075
20	1.152	0.075
21	1.361	0.075
22	1.136	0.075
23	1.095	0.075
24	1.128	0.075
25	1.12	0.075
26	1.135	0.075
27	1.364	0.075
28	1.12	0.075
29	1.127	0.075
30	1.119	0.075
31	1.124	0.075
32	1.252	0.075
33	1.13	0.075
34	1.122	0.075
35	1.11	0.075
36	1.14	0.075
37	1.245	0.075
38	1.125	0.075
39	1.105	0.075
40	1.127	0.075
41	1.131	0.075
42	1.254	0.075
43	1.106	0.075
44	1.125	0.075
45	1.122	0.075
46	1.116	0.075
47	1.276	0.075
48	1.119	0.075
49	1.129	0.075
50	1.119	0.075
51	1.142	0.075
52	1.25	0.075
53	1.12	0.075
54	1.122	0.075
55	1.103	0.075
56	1.12	0.075
57	1.251	0.075
58	1.144	0.075
59	1.112	0.075
60	1.128	0.075
61	1.113	0.075
62	1.117	0.075
63	1.372	0.075
64	1.118	0.075
65	1.136	0.075
66	1.11	0.075
67	1.125	0.075
68	1.347	0.075
69	1.139	0.075
70	1.115	0.075
71	1.114	0.075
72	1.118	0.075
73	1.12	0.075
74	1.365	0.075
75	1.166	0.075
76	1.135	0.075
77	1.117	0.075
78	1.119	0.075
79	1.251	0.075
80	1.106	0.075
