Model	Upper Bound	Lower Bound	Time	Epsilon Model
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	142	78	0.025	cayley
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	143	19	0.05	cayley
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	142	78	0.025	big_m
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	142	1	0.075	big_m
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	146	133	0.025	big_m
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	137	15	0.075	big_m
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	143	87	0.025	big_m
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	142	1	0.075	big_m
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	144	130	0.025	big_m
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	131	18	0.075	big_m
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	145	142	0.025	big_m
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	140	25	0.075	big_m
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	143	135	0.025	big_m
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	135	18	0.075	big_m
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	144	136	0.025	big_m
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	134	21	0.075	big_m
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	144	140	0.025	big_m
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	137	17	0.075	big_m
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	142	78	0.025	cayley
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	143	19	0.05	cayley
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	145	1	0.075	cayley
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	143	0	0.1	cayley
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	146	133	0.025	cayley
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	142	72	0.05	cayley
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	139	15	0.075	cayley
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	137	4	0.1	cayley
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	143	88	0.025	cayley
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	144	15	0.05	cayley
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	144	1	0.075	cayley
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	143	0	0.1	cayley
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	144	132	0.025	cayley
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	139	69	0.05	cayley
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	137	23	0.075	cayley
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	133	7	0.1	cayley
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	146	142	0.025	cayley
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	144	77	0.05	cayley
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	142	27	0.075	cayley
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	139	9	0.1	cayley
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	143	135	0.025	cayley
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	143	69	0.05	cayley
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	141	26	0.075	cayley
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	137	4	0.1	cayley
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	144	136	0.025	cayley
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	144	136	0.025	cayley
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	143	89	0.05	cayley
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	138	23	0.075	cayley
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	135	3	0.1	cayley
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	144	140	0.025	cayley
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	143	71	0.05	cayley
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	140	21	0.075	cayley
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	138	6	0.1	cayley


./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	150	73	0.025	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	150	14	0.05	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	150	1	0.075	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	150	0	0.1	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	150	130	0.025	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	150	62	0.05	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	150	14	0.075	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256.pkl	150	2	0.1	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	150	79	0.025	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	150	10	0.05	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	150	0	0.075	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256-Dense256.pkl	150	0	0.1	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	150	124	0.025	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	150	53	0.05	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	150	14	0.075	deep_poly
./models/MNIST-DoReFa3_Dense256-Dense256.pkl	150	3	0.1	deep_poly
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	150	135	0.025	deep_poly
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	150	57	0.05	deep_poly
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	150	16	0.075	deep_poly
./models/MNIST-DoReFa4_Dense256-Dense256.pkl	150	3	0.1	deep_poly
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	150	126	0.025	deep_poly
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	150	48	0.05	deep_poly
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	150	13	0.075	deep_poly
./models/MNIST-DoReFa5_Dense256-Dense256.pkl	150	1	0.1	deep_poly
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	150	133	0.025	deep_poly
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	150	65	0.05	deep_poly
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	150	12	0.075	deep_poly
./models/MNIST-DoReFa6_Dense256-Dense256.pkl	150	2	0.1	deep_poly
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	150	130	0.025	deep_poly
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	150	46	0.05	deep_poly
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	150	11	0.075	deep_poly
./models/MNIST-DoReFa7_Dense256-Dense256.pkl	150	2	0.1	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	150	73	0.025	deep_poly
./models/MNIST-DoReFa2_Dense256-Dense256-Dense256.pkl	150	14	0.05	deep_poly
