gap	num_of_callbacks_before_cut	best_lb	best_obj	time_limit	cut_frequency	nodes_explored	num_of_callbacks	time_in_callbacks	method
0.0000%	0.001	-7.615162579288e+00	-7.615162579288e+00	100	false	0	443	0.00 sec	big-m
0.0000%	0.001	-7.776141542244e+00	-7.776141542244e+00	100	false	0	458	0.02 sec	cayley
0.0000%	0.05	8.467379570848e-02	8.467379570848e-02	120.0	150.0	1530	3757	0.00 sec	big-m
0.0000%	0.05	7.477096516963e-03	7.477096516962e-03	120.0	150.0	1937	4537	0.67 sec	cayley
0.0000%	0.05	-8.130835584441e-02	-8.130835584441e-02	120.0	150.0	10941	27481	0.01 sec	big-m
0.0000%	0.05	-8.130835584441e-02	-8.130835584441e-02	120.0	150.0	17111	39097	3.89 sec	cayley
0.0098%	0.05	-1.024769417637e-02	-1.024869901593e-02	120.0	150.0	33254	74174	0.01 sec	big-m
0.0000%	0.05	9.043137283148e-02	9.043137283148e-02	120.0	150.0	12224	30064	2.65 sec	cayley
4.0358%	0.1	9.022468327222e-02	8.672466308545e-02	360.0	300.0	143815	390175	0.12 sec	big-m
0.0000%	0.1	6.041709291313e-01	6.041709291313e-01	360.0	300.0	84777	214276	10.98 sec	cayley
79.3301%	0.1	-1.573106931350e-02	-7.610611646552e-02	360.0	300.0	191989	534219	0.15 sec	big-m
47.1651%	0.1	-7.792795014326e-02	-1.474932108223e-01	360.0	300.0	29166	212290	10.10 sec	cayley
99.7169%	0.1	-2.803787950710e-05	-9.904285511330e-03	360.0	300.0	74593	323485	0.13 sec	big-m
12.0252%	0.1	2.822781894205e-01	2.519773625621e-01	360.0	300.0	79821	280658	23.69 sec	cayley
68.9795%	0.15	1.577013970275e-01	9.332573557222e-02	1140.0	475.0	847943	2148194	0.55 sec	big-m
127.6242%	0.15	3.548857646246e-02	-1.284692080033e-01	1140.0	475.0	1220210	2736923	240.23 sec	cayley
0.0000%	0.15	9.752303558028e-01	9.752303558028e-01	1140.0	475.0	49586	333524	0.17 sec	big-m
378.6788%	0.15	1.997832166963e-01	-7.168943135834e-02	1140.0	475.0	748292	1909463	146.56 sec	cayley
958.7058%	0.15	7.813712484437e-02	-9.099406092465e-03	1140.0	475.0	630596	1738385	0.52 sec	big-m
174.3774%	0.15	9.979684954827e-01	3.637210514714e-01	1140.0	475.0	133570	750535	29.37 sec	cayley
0.0000%	0.05	1.039380099495e-01	1.039380099495e-01	120.0	150.0	25775	63291	0.02 sec	big-m
23.0644%	0.05	2.346442071713e-02	1.906677513488e-02	120.0	150.0	44992	128989	13.74 sec	cayley
5.0498%	0.05	-6.571594333241e-02	-6.921097531566e-02	120.0	150.0	60828	171715	0.04 sec	big-m
0.0000%	0.05	3.132983458871e+00	3.132983458871e+00	120.0	150.0	2894	7019	0.85 sec	cayley
N/A	0.05	1.944358361813e-02	N/A	120.0	150.0	30703	116689	0.03 sec	big-m
N/A	0.05	3.772064286195e+00	N/A	120.0	150.0	11655	69672	12.03 sec	cayley
73.5246%	0.1	1.859292502011e-01	1.071486607323e-01	360.0	300.0	237293	627802	0.16 sec	big-m
0.0000%	0.1	5.868873679121e-01	5.868873679121e-01	360.0	300.0	106350	277774	33.58 sec	cayley
87.8821%	0.1	-7.548560531367e-03	-6.229267335078e-02	360.0	300.0	68021	324774	0.11 sec	big-m
0.0000%	0.1	5.087580194998e+00	5.087580194998e+00	360.0	300.0	41359	116980	10.40 sec	cayley
4015.3062%	0.1	1.113853290876e-01	-2.844868918870e-03	360.0	300.0	202249	554369	0.16 sec	big-m
7.6993%	0.1	7.711168680003e+00	7.159906311338e+00	360.0	300.0	27200	219635	17.85 sec	cayley
180.1663%	0.15	1.603570179933e+00	5.723636947248e-01	1140.0	475.0	299497	958892	0.37 sec	big-m
3992.9109%	0.15	7.415668888565e+00	1.811832456817e-01	1140.0	475.0	30399	436017	8.14 sec	cayley
339.4452%	0.15	1.342085015900e-01	-5.604978813699e-02	1140.0	475.0	1169130	2775675	0.86 sec	big-m
N/A	0.15	3.887010962656e+00	N/A	1140.0	475.0	189428	896032	58.76 sec	cayley
63293.9130%	0.15	5.085936366561e+00	-8.048142811030e-03	1140.0	475.0	156847	802974	0.44 sec	big-m
N/A	0.15	7.758061595794e+00	N/A	1140.0	475.0	120731	750502	46.05 sec	cayley
0.0000%	0.05	6.500256008761e-01	6.500256008761e-01	120.0	150.0	2772	6845	0.00 sec	big-m
0.0094%	0.05	3.849187060304e+00	3.848823369416e+00	120.0	150.0	27922	67102	6.23 sec	cayley
8.2164%	0.05	-4.017703926361e-02	-4.377367885549e-02	120.0	150.0	116870	275339	0.06 sec	big-m
0.0000%	0.05	8.051117138843e-02	8.051117138843e-02	120.0	150.0	10857	30493	3.30 sec	cayley
0.0000%	0.05	4.846146693523e+00	4.846146693523e+00	120.0	150.0	6368	22330	0.01 sec	big-m
N/A	0.05	6.745560167614e-02	N/A	120.0	150.0	29754	101278	18.54 sec	cayley
0.0000%	0.1	4.825729516750e+00	4.825729516750e+00	360.0	300.0	8129	29221	0.01 sec	big-m
546.2073%	0.1	4.738840225606e-02	-1.062026591559e-02	360.0	300.0	85845	330107	20.77 sec	cayley
0.4331%	0.1	1.503692136611e-01	1.497207898333e-01	360.0	300.0	246239	625992	0.16 sec	big-m
351.3883%	0.1	1.735390602593e-01	-6.903227549910e-02	360.0	300.0	34304	251665	11.12 sec	cayley
0.0000%	0.1	7.218710758816e+00	7.218710758816e+00	360.0	300.0	15607	77502	0.03 sec	big-m
0.0310%	0.1	7.220951050941e+00	7.218710758816e+00	360.0	300.0	36874	239273	9.32 sec	cayley
8.4616%	0.15	7.509275311048e+00	6.923443780706e+00	1140.0	475.0	30803	496043	0.25 sec	big-m
8.4986%	0.15	7.511559240110e+00	6.923183395530e+00	1140.0	475.0	36266	518156	7.33 sec	cayley
0.0000%	0.15	1.057542082684e+00	1.057542082684e+00	1140.0	475.0	43106	149675	0.05 sec	big-m
150.3886%	0.15	7.026461958232e+00	2.806223101299e+00	1140.0	475.0	29597	499341	9.52 sec	cayley
3.5851%	0.15	7.693416891439e+00	7.427147775704e+00	1140.0	475.0	99359	837573	0.69 sec	big-m
220.0867%	0.15	5.562645617261e+00	1.737856043378e+00	1140.0	475.0	104159	613082	34.48 sec	cayley
0.0000%	0.05	8.749288989148e-02	8.749288989148e-02	120.0	150.0	4848	11045	0.00 sec	big-m
0.0075%	0.05	3.840577307315e+00	3.840290037012e+00	120.0	150.0	1467	3993	0.23 sec	cayley
0.0000%	0.05	-9.659341887281e-02	-9.659341887281e-02	120.0	150.0	27717	64689	0.02 sec	big-m
0.0000%	0.05	-3.773743224310e-02	-3.773743224310e-02	120.0	150.0	3528	8688	0.64 sec	cayley
0.0000%	0.05	-2.084918077665e-02	-2.084918077665e-02	120.0	150.0	79219	172761	0.03 sec	big-m
0.0000%	0.05	-5.158491477316e-02	-5.158491477316e-02	120.0	150.0	10600	29166	2.83 sec	cayley
2.8396%	0.1	9.200239707535e-02	8.946204984574e-02	360.0	300.0	371102	869344	0.20 sec	big-m
0.0551%	0.1	7.731086449083e+00	7.726827875804e+00	360.0	300.0	74674	292582	14.70 sec	cayley
51.6229%	0.1	-4.324072296699e-02	-8.938262004099e-02	360.0	300.0	58326	275747	0.12 sec	big-m
18.0238%	0.1	-1.682417140754e-01	-2.052325029482e-01	360.0	300.0	29321	226681	10.12 sec	cayley
157.2070%	0.1	1.178912139065e-02	-2.060782235754e-02	360.0	300.0	46514	283751	0.13 sec	big-m
0.3591%	0.1	7.706928068936e+00	7.679354302762e+00	360.0	300.0	30395	234730	12.00 sec	cayley
63.3308%	0.15	1.531185013890e-01	9.374745518993e-02	1140.0	475.0	1712334	3783101	0.79 sec	big-m
53.9125%	0.15	2.679560266186e-01	1.740963634801e-01	1140.0	475.0	1229201	2745388	225.91 sec	cayley
275.9726%	0.15	1.442867607617e-01	-8.199389458514e-02	1140.0	475.0	218460	978643	0.48 sec	big-m
1.8706%	0.15	7.849068937447e+00	7.704937531374e+00	1140.0	475.0	29679	532784	8.61 sec	cayley
391.2312%	0.15	5.915129253558e-02	-2.031076657943e-02	1140.0	475.0	825469	2134811	0.55 sec	big-m
0.0000%	0.15	1.925333768991e+00	1.925333768991e+00	1140.0	475.0	34270	114722	7.90 sec	cayley
