Img	Time(s)	Epsilon
2	16.554	0.008
3	10.36	0.008
4	10.026	0.008
5	10.769	0.008
6	9.904	0.008
7	9.996	0.008
8	9.881	0.008
9	9.878	0.008
10	9.5	0.008
11	10.257	0.008
12	9.563	0.008
13	9.849	0.008
14	9.843	0.008
15	9.589	0.008
16	9.594	0.008
17	10.376	0.008
18	9.987	0.008
19	10.162	0.008
20	10.017	0.008
21	9.716	0.008
22	9.54	0.008
23	10.25	0.008
24	10.064	0.008
25	9.67	0.008
26	9.775	0.008
27	9.484	0.008
28	9.7	0.008
29	9.762	0.008
30	9.823	0.008
31	9.727	0.008
32	1.054	0.008
33	9.793	0.008
34	9.889	0.008
35	3.402	0.008
36	9.697	0.008
37	10.122	0.008
38	9.609	0.008
39	9.647	0.008
40	9.649	0.008
41	9.727	0.008
42	9.772	0.008
43	9.943	0.008
44	9.569	0.008
45	10.226	0.008
46	9.949	0.008
47	9.589	0.008
48	9.646	0.008
49	10.046	0.008
50	9.741	0.008
51	9.714	0.008
52	9.901	0.008
53	9.758	0.008
54	10.182	0.008
55	9.778	0.008
56	9.687	0.008
57	9.572	0.008
58	9.731	0.008
59	9.634	0.008
60	9.623	0.008
61	9.602	0.008
62	9.678	0.008
63	1.209	0.008
64	9.692	0.008
65	9.647	0.008
66	9.799	0.008
67	9.458	0.008
68	9.907	0.008
69	10.246	0.008
70	9.567	0.008
71	9.716	0.008
72	9.864	0.008
73	9.632	0.008
74	9.741	0.008
75	9.611	0.008
76	9.675	0.008
77	9.854	0.008
78	9.726	0.008
79	9.671	0.008
80	10.127	0.008
81	9.689	0.008
82	9.63	0.008
83	9.722	0.008
84	9.643	0.008
85	9.857	0.008
86	9.655	0.008
87	10.002	0.008
88	9.567	0.008
89	9.571	0.008
90	9.574	0.008
91	9.712	0.008
92	9.536	0.008
93	10.178	0.008
94	9.752	0.008
95	9.499	0.008
96	9.687	0.008
97	9.715	0.008
98	9.566	0.008
99	9.972	0.008
100	2.303	0.008
101	9.645	0.008
102	9.784	0.008
103	9.82	0.008
104	9.853	0.008
105	2.281	0.008
106	9.617	0.008
107	10.515	0.008
108	9.597	0.008
109	10.315	0.008
110	10.861	0.008
111	9.842	0.008
112	9.735	0.008
113	9.99	0.008
114	9.541	0.008
115	9.744	0.008
116	9.647	0.008
117	9.645	0.008
118	9.663	0.008
119	10.153	0.008
120	9.662	0.008
121	9.619	0.008
122	9.654	0.008
123	9.562	0.008
124	9.619	0.008
125	10.593	0.008
126	9.816	0.008
127	9.718	0.008
128	9.912	0.008
129	9.865	0.008
130	9.675	0.008
131	9.813	0.008
132	9.725	0.008
133	9.536	0.008
134	9.783	0.008
135	9.721	0.008
136	9.57	0.008
137	10.038	0.008
138	9.684	0.008
139	9.789	0.008
140	10.231	0.008
141	9.938	0.008
142	9.578	0.008
143	9.809	0.008
144	9.61	0.008
145	9.519	0.008
146	9.873	0.008
147	10.159	0.008
148	9.553	0.008
149	10.123	0.008
150	9.632	0.008
151	9.746	0.008
2	9.602	0.016
3	9.526	0.016
4	9.686	0.016
5	9.7	0.016
6	10.031	0.016
7	9.874	0.016
8	9.784	0.016
9	10.229	0.016
10	9.602	0.016
11	9.565	0.016
12	10.013	0.016
13	9.695	0.016
14	9.619	0.016
15	9.799	0.016
16	9.795	0.016
17	9.928	0.016
18	9.824	0.016
19	9.558	0.016
20	10.487	0.016
21	10.13	0.016
22	9.878	0.016
23	9.977	0.016
24	9.797	0.016
25	9.974	0.016
26	9.715	0.016
27	9.635	0.016
28	10.255	0.016
29	9.598	0.016
30	9.831	0.016
31	9.721	0.016
32	1.207	0.016
33	9.68	0.016
34	9.667	0.016
35	2.347	0.016
36	9.952	0.016
37	9.573	0.016
38	10.29	0.016
39	9.756	0.016
40	10.012	0.016
41	9.867	0.016
42	9.6	0.016
43	9.901	0.016
44	10.247	0.016
45	10.013	0.016
46	9.736	0.016
47	9.566	0.016
48	4.524	0.016
49	9.855	0.016
50	9.746	0.016
51	9.815	0.016
52	9.522	0.016
53	10.185	0.016
54	10.17	0.016
55	10.202	0.016
56	9.777	0.016
57	9.742	0.016
58	9.63	0.016
59	9.693	0.016
60	9.616	0.016
61	9.699	0.016
62	9.66	0.016
63	1.283	0.016
64	9.762	0.016
65	9.763	0.016
66	9.542	0.016
67	9.79	0.016
68	9.623	0.016
69	10.086	0.016
70	9.88	0.016
71	9.679	0.016
72	9.887	0.016
73	9.608	0.016
74	9.822	0.016
75	10.087	0.016
76	10.21	0.016
77	9.765	0.016
78	9.72	0.016
79	9.873	0.016
80	10.385	0.016
81	9.851	0.016
82	9.961	0.016
83	9.653	0.016
84	9.747	0.016
85	10.148	0.016
86	10.139	0.016
87	10.08	0.016
88	9.946	0.016
89	9.719	0.016
90	9.655	0.016
91	9.677	0.016
92	9.736	0.016
93	9.901	0.016
94	10.356	0.016
95	9.912	0.016
96	10.142	0.016
97	9.952	0.016
98	4.46	0.016
99	9.96	0.016
100	2.271	0.016
101	9.997	0.016
102	9.931	0.016
103	9.612	0.016
104	10.012	0.016
105	1.066	0.016
106	4.555	0.016
107	10.214	0.016
108	9.997	0.016
109	3.741	0.016
110	3.593	0.016
111	9.919	0.016
112	9.729	0.016
113	10.192	0.016
114	9.724	0.016
115	9.706	0.016
116	10.203	0.016
117	9.672	0.016
118	10.199	0.016
119	9.861	0.016
120	9.596	0.016
121	9.708	0.016
122	10.073	0.016
123	9.828	0.016
124	9.584	0.016
125	10.04	0.016
126	9.672	0.016
127	10.233	0.016
128	7.04	0.016
129	9.971	0.016
130	9.672	0.016
131	10.019	0.016
132	9.705	0.016
133	10.216	0.016
134	9.862	0.016
135	10.016	0.016
136	11.195	0.016
137	11.605	0.016
138	11.437	0.016
139	10.197	0.016
140	9.993	0.016
141	10.181	0.016
142	9.848	0.016
143	9.88	0.016
144	9.839	0.016
145	9.982	0.016
146	12.272	0.016
147	10.819	0.016
148	9.769	0.016
149	4.612	0.016
150	9.776	0.016
151	9.74	0.016
2	10.168	0.024
3	9.675	0.024
4	9.941	0.024
5	9.807	0.024
6	9.556	0.024
7	9.645	0.024
8	9.532	0.024
9	10.165	0.024
10	5.707	0.024
11	9.584	0.024
12	9.903	0.024
13	9.656	0.024
14	9.917	0.024
15	10.285	0.024
16	9.877	0.024
17	9.875	0.024
18	9.631	0.024
19	9.605	0.024
20	10.07	0.024
21	10.125	0.024
22	9.927	0.024
23	9.978	0.024
24	9.502	0.024
25	9.508	0.024
26	9.594	0.024
27	9.704	0.024
28	9.804	0.024
29	9.671	0.024
30	9.734	0.024
31	9.97	0.024
32	1.06	0.024
33	9.587	0.024
34	9.597	0.024
35	1.254	0.024
36	10.02	0.024
37	9.901	0.024
38	9.949	0.024
39	9.522	0.024
40	10.049	0.024
41	10.328	0.024
42	9.423	0.024
43	3.364	0.024
44	9.979	0.024
45	6.48	0.024
46	9.934	0.024
47	9.568	0.024
48	4.486	0.024
49	9.719	0.024
50	9.64	0.024
51	9.543	0.024
52	9.518	0.024
53	9.742	0.024
54	10.461	0.024
55	10.116	0.024
56	9.609	0.024
57	9.39	0.024
58	9.545	0.024
59	9.539	0.024
60	9.829	0.024
61	9.707	0.024
62	9.965	0.024
63	1.04	0.024
64	9.747	0.024
65	10.013	0.024
66	9.956	0.024
67	9.407	0.024
68	10.145	0.024
69	10.094	0.024
70	9.548	0.024
71	9.429	0.024
72	10.547	0.024
73	10.331	0.024
74	9.806	0.024
75	10.821	0.024
76	10.375	0.024
77	9.714	0.024
78	9.994	0.024
79	9.907	0.024
80	7.962	0.024
81	10.075	0.024
82	9.535	0.024
