Img	Time(s)	Epsilon
1	20.535	0.008
2	15.72	0.008
3	15.84	0.008
4	16.138	0.008
5	15.87	0.008
6	16.042	0.008
7	15.948	0.008
8	16.174	0.008
9	15.859	0.008
10	15.973	0.008
11	15.902	0.008
12	15.952	0.008
13	16.038	0.008
14	15.932	0.008
15	15.89	0.008
16	16.004	0.008
17	15.977	0.008
18	15.873	0.008
19	15.987	0.008
20	15.91	0.008
21	16.026	0.008
22	15.966	0.008
23	16.075	0.008
24	16.101	0.008
25	16.018	0.008
26	16.206	0.008
27	14.412	0.008
28	15.955	0.008
29	16.014	0.008
30	16.124	0.008
31	1.745	0.008
32	15.876	0.008
33	16.089	0.008
34	1.813	0.008
35	16.127	0.008
36	16.399	0.008
37	16.023	0.008
38	16.185	0.008
39	7.497	0.008
40	15.98	0.008
41	15.898	0.008
42	15.951	0.008
43	9.085	0.008
44	15.787	0.008
45	15.879	0.008
46	15.89	0.008
47	7.535	0.008
48	15.835	0.008
49	15.852	0.008
50	15.941	0.008
51	16.039	0.008
52	16.203	0.008
53	16.027	0.008
54	15.947	0.008
55	15.97	0.008
56	15.959	0.008
57	16.029	0.008
58	15.98	0.008
59	15.921	0.008
60	16.009	0.008
61	15.867	0.008
62	16.229	0.008
63	15.781	0.008
64	16.107	0.008
65	15.98	0.008
66	15.986	0.008
67	16.036	0.008
68	16.273	0.008
69	15.936	0.008
70	15.933	0.008
71	16.154	0.008
72	16.04	0.008
73	15.982	0.008
74	15.995	0.008
75	16.115	0.008
76	15.926	0.008
77	15.87	0.008
78	16.035	0.008
79	16.083	0.008
80	16.07	0.008
81	16.078	0.008
82	15.967	0.008
83	15.985	0.008
84	16.061	0.008
85	12.589	0.008
86	16.062	0.008
87	15.951	0.008
88	16.046	0.008
89	16.047	0.008
90	15.956	0.008
91	15.937	0.008
92	16.01	0.008
93	15.914	0.008
94	15.894	0.008
95	15.878	0.008
96	15.836	0.008
97	15.982	0.008
98	16.039	0.008
99	1.901	0.008
100	15.942	0.008
101	15.967	0.008
102	16.178	0.008
103	16.03	0.008
104	7.286	0.008
105	16.029	0.008
106	16.192	0.008
107	15.961	0.008
108	1.687	0.008
109	16.149	0.008
110	15.955	0.008
111	16.093	0.008
112	16.045	0.008
113	16.055	0.008
114	16.097	0.008
115	16.007	0.008
116	15.991	0.008
117	16.024	0.008
118	15.938	0.008
119	15.896	0.008
120	16.052	0.008
121	15.961	0.008
122	16.14	0.008
123	16.064	0.008
124	15.977	0.008
125	15.893	0.008
126	16.204	0.008
127	15.988	0.008
128	15.995	0.008
129	15.873	0.008
130	15.997	0.008
131	16.018	0.008
132	16.071	0.008
133	15.932	0.008
134	16.095	0.008
135	15.862	0.008
136	16.11	0.008
137	16.07	0.008
138	16.087	0.008
139	16.021	0.008
140	15.944	0.008
141	16.163	0.008
142	16.093	0.008
143	16.193	0.008
144	15.903	0.008
145	16.137	0.008
146	16.0	0.008
147	16.113	0.008
148	5.206	0.008
149	15.791	0.008
150	15.881	0.008
1	5.62	0.016
2	16.024	0.016
3	16.111	0.016
4	3.847	0.016
5	15.958	0.016
6	16.156	0.016
