Img	Time(s)	Epsilon
1	10.403	0.008
2	10.099	0.008
3	10.127	0.008
4	11.22	0.008
5	9.956	0.008
6	10.245	0.008
7	10.413	0.008
8	10.251	0.008
9	10.713	0.008
10	10.366	0.008
11	10.788	0.008
12	11.611	0.008
13	10.186	0.008
14	10.049	0.008
15	10.666	0.008
16	10.206	0.008
17	10.481	0.008
18	10.906	0.008
19	10.402	0.008
20	10.15	0.008
21	10.45	0.008
22	10.401	0.008
23	10.877	0.008
24	10.314	0.008
25	10.039	0.008
26	10.139	0.008
27	10.842	0.008
28	10.293	0.008
29	10.093	0.008
30	10.404	0.008
31	11.767	0.008
32	9.965	0.008
33	10.468	0.008
34	1.213	0.008
35	9.825	0.008
36	10.2	0.008
37	9.82	0.008
38	10.079	0.008
39	11.392	0.008
40	10.522	0.008
41	10.4	0.008
42	10.39	0.008
43	10.518	0.008
44	10.772	0.008
45	10.344	0.008
46	9.774	0.008
47	10.568	0.008
48	9.92	0.008
49	10.286	0.008
50	10.244	0.008
51	10.023	0.008
52	10.059	0.008
53	10.319	0.008
54	10.388	0.008
55	10.037	0.008
56	10.105	0.008
57	10.136	0.008
58	10.175	0.008
59	10.37	0.008
60	9.899	0.008
61	10.307	0.008
62	11.318	0.008
63	10.456	0.008
64	10.072	0.008
65	10.059	0.008
66	9.763	0.008
67	10.203	0.008
68	10.603	0.008
69	10.172	0.008
70	10.248	0.008
71	10.656	0.008
72	10.178	0.008
73	10.28	0.008
74	10.238	0.008
75	10.382	0.008
76	10.435	0.008
77	10.035	0.008
78	10.221	0.008
79	10.644	0.008
80	10.537	0.008
81	9.907	0.008
82	10.341	0.008
83	10.23	0.008
84	10.174	0.008
85	10.631	0.008
86	10.632	0.008
87	10.073	0.008
88	10.1	0.008
89	10.417	0.008
90	10.414	0.008
91	10.112	0.008
92	10.501	0.008
93	10.478	0.008
94	10.495	0.008
95	10.713	0.008
96	10.413	0.008
97	10.978	0.008
98	10.411	0.008
99	2.599	0.008
100	10.171	0.008
101	10.093	0.008
102	10.235	0.008
103	10.121	0.008
104	11.128	0.008
105	10.561	0.008
106	10.66	0.008
107	10.895	0.008
108	5.05	0.008
109	10.497	0.008
110	10.459	0.008
111	10.219	0.008
112	10.367	0.008
113	10.984	0.008
114	10.064	0.008
115	10.023	0.008
116	10.273	0.008
117	10.255	0.008
118	10.141	0.008
119	9.723	0.008
120	10.348	0.008
121	10.312	0.008
122	10.315	0.008
123	11.761	0.008
124	10.552	0.008
125	9.868	0.008
126	11.18	0.008
127	10.645	0.008
128	10.371	0.008
129	10.658	0.008
130	10.899	0.008
131	10.414	0.008
132	10.3	0.008
133	10.216	0.008
134	10.336	0.008
135	10.225	0.008
136	11.206	0.008
137	10.312	0.008
138	11.17	0.008
139	10.184	0.008
140	10.418	0.008
141	10.546	0.008
142	10.106	0.008
143	10.347	0.008
144	10.111	0.008
145	10.772	0.008
146	10.12	0.008
147	10.591	0.008
148	3.667	0.008
149	10.029	0.008
150	10.017	0.008
1	10.926	0.016
2	10.426	0.016
3	10.588	0.016
4	11.974	0.016
5	10.191	0.016
6	10.406	0.016
7	10.507	0.016
8	10.565	0.016
9	11.705	0.016
10	10.632	0.016
11	11.211	0.016
12	10.369	0.016
13	10.687	0.016
14	10.187	0.016
15	11.655	0.016
16	10.75	0.016
17	11.029	0.016
18	11.567	0.016
19	11.165	0.016
20	11.176	0.016
21	10.474	0.016
22	11.057	0.016
23	11.243	0.016
24	11.046	0.016
25	10.287	0.016
26	10.351	0.016
27	11.602	0.016
28	10.666	0.016
29	10.48	0.016
30	10.815	0.016
31	1.398	0.016
32	10.098	0.016
33	11.423	0.016
34	1.48	0.016
35	10.064	0.016
36	10.452	0.016
37	10.537	0.016
38	10.239	0.016
39	12.221	0.016
40	11.542	0.016
41	10.815	0.016
42	11.0	0.016
43	11.125	0.016
44	11.583	0.016
45	10.576	0.016
46	10.058	0.016
47	11.451	0.016
48	10.109	0.016
49	10.49	0.016
50	10.549	0.016
51	10.098	0.016
52	10.354	0.016
53	10.775	0.016
54	10.917	0.016
55	10.319	0.016
56	10.457	0.016
57	10.359	0.016
58	10.314	0.016
59	11.349	0.016
60	10.226	0.016
61	10.691	0.016
62	11.848	0.016
63	11.143	0.016
64	10.582	0.016
65	10.176	0.016
66	9.74	0.016
67	11.021	0.016
68	11.292	0.016
69	10.488	0.016
70	10.033	0.016
71	11.134	0.016
72	10.503	0.016
73	10.227	0.016
74	10.905	0.016
75	10.708	0.016
76	10.642	0.016
77	10.173	0.016
78	10.522	0.016
79	11.038	0.016
80	11.349	0.016
81	10.041	0.016
82	10.185	0.016
83	10.297	0.016
84	10.226	0.016
85	11.414	0.016
86	11.23	0.016
87	10.151	0.016
88	10.933	0.016
89	11.244	0.016
90	9.943	0.016
91	10.343	0.016
92	11.203	0.016
93	10.858	0.016
94	10.837	0.016
95	11.218	0.016
96	11.311	0.016
97	11.535	0.016
98	11.327	0.016
99	2.674	0.016
100	10.208	0.016
101	10.312	0.016
102	10.875	0.016
103	10.318	0.016
104	11.487	0.016
105	10.943	0.016
106	10.777	0.016
107	11.538	0.016
108	5.359	0.016
109	11.138	0.016
110	10.92	0.016
111	11.307	0.016
112	10.564	0.016
113	11.488	0.016
114	10.217	0.016
115	10.02	0.016
116	10.409	0.016
117	10.433	0.016
118	10.32	0.016
119	9.936	0.016
120	10.334	0.016
121	10.144	0.016
122	11.253	0.016
123	11.798	0.016
124	11.605	0.016
125	10.333	0.016
126	11.475	0.016
127	11.001	0.016
128	10.267	0.016
129	10.634	0.016
130	11.269	0.016
131	10.75	0.016
132	10.486	0.016
133	10.935	0.016
134	10.97	0.016
