Img	Time(s)	Epsilon
1	16.396	0.008
2	15.9	0.008
3	16.399	0.008
4	16.128	0.008
5	16.819	0.008
6	16.141	0.008
7	15.977	0.008
8	16.387	0.008
9	16.224	0.008
10	16.21	0.008
11	17.406	0.008
12	16.06	0.008
13	16.185	0.008
14	15.989	0.008
15	15.913	0.008
16	16.42	0.008
17	16.172	0.008
18	16.727	0.008
19	15.982	0.008
20	16.688	0.008
21	16.419	0.008
22	16.529	0.008
23	16.395	0.008
24	16.01	0.008
25	16.168	0.008
26	16.227	0.008
27	16.226	0.008
28	15.933	0.008
29	16.649	0.008
30	15.983	0.008
31	1.75	0.008
32	15.964	0.008
33	15.969	0.008
34	17.949	0.008
35	15.642	0.008
36	16.391	0.008
37	16.072	0.008
38	15.755	0.008
39	17.26	0.008
40	16.41	0.008
41	15.885	0.008
42	15.856	0.008
43	17.117	0.008
44	16.747	0.008
45	16.48	0.008
46	15.8	0.008
47	16.215	0.008
48	16.208	0.008
49	15.846	0.008
50	16.022	0.008
51	15.72	0.008
52	16.549	0.008
53	16.129	0.008
54	16.466	0.008
55	16.393	0.008
56	15.952	0.008
57	16.043	0.008
58	16.685	0.008
59	16.113	0.008
60	16.271	0.008
61	16.736	0.008
62	16.964	0.008
63	15.639	0.008
64	16.473	0.008
65	16.535	0.008
66	15.979	0.008
67	16.123	0.008
68	16.148	0.008
69	16.149	0.008
70	16.635	0.008
71	16.358	0.008
72	15.942	0.008
73	15.769	0.008
74	16.119	0.008
75	16.136	0.008
76	15.898	0.008
77	16.666	0.008
78	16.068	0.008
79	17.123	0.008
80	16.344	0.008
81	16.165	0.008
82	16.34	0.008
83	16.193	0.008
84	15.799	0.008
85	17.141	0.008
86	16.893	0.008
87	16.22	0.008
88	16.444	0.008
89	16.835	0.008
90	16.498	0.008
91	16.024	0.008
92	16.283	0.008
93	16.336	0.008
94	16.291	0.008
95	16.354	0.008
96	16.077	0.008
97	16.802	0.008
98	16.691	0.008
99	3.659	0.008
100	15.858	0.008
101	16.097	0.008
102	15.755	0.008
103	16.387	0.008
104	16.697	0.008
105	16.829	0.008
106	17.417	0.008
107	16.271	0.008
108	2.057	0.008
109	16.314	0.008
110	16.33	0.008
111	16.088	0.008
112	15.959	0.008
113	16.538	0.008
114	16.775	0.008
115	15.963	0.008
116	16.013	0.008
117	16.374	0.008
118	16.249	0.008
119	16.041	0.008
120	15.527	0.008
121	16.21	0.008
122	15.872	0.008
123	16.133	0.008
124	16.436	0.008
125	16.499	0.008
126	11.226	0.008
127	16.189	0.008
128	15.919	0.008
129	16.417	0.008
130	16.59	0.008
131	15.927	0.008
132	16.172	0.008
133	16.047	0.008
134	16.392	0.008
135	16.054	0.008
136	16.9	0.008
137	16.511	0.008
138	16.978	0.008
139	16.549	0.008
140	16.267	0.008
141	16.852	0.008
142	16.23	0.008
143	15.833	0.008
144	16.584	0.008
145	15.933	0.008
146	16.223	0.008
147	16.487	0.008
148	16.994	0.008
149	15.942	0.008
150	16.696	0.008
1	17.568	0.016
2	15.957	0.016
3	16.045	0.016
4	17.092	0.016
5	17.326	0.016
6	16.634	0.016
7	16.417	0.016
8	16.68	0.016
9	17.649	0.016
10	16.511	0.016
11	17.343	0.016
12	15.96	0.016
13	17.444	0.016
14	16.135	0.016
15	16.299	0.016
16	16.13	0.016
17	16.304	0.016
18	17.518	0.016
19	16.532	0.016
20	16.95	0.016
21	16.919	0.016
22	17.069	0.016
23	17.472	0.016
24	16.019	0.016
25	16.459	0.016
26	15.984	0.016
27	16.856	0.016
28	16.163	0.016
29	17.477	0.016
30	16.418	0.016
31	1.998	0.016
32	16.137	0.016
33	16.192	0.016
34	10.259	0.016
35	15.898	0.016
36	16.264	0.016
37	17.298	0.016
38	16.031	0.016
39	17.952	0.016
40	16.113	0.016
41	15.739	0.016
42	16.981	0.016
43	17.989	0.016
44	17.573	0.016
45	16.439	0.016
46	16.052	0.016
47	17.147	0.016
48	16.481	0.016
49	16.458	0.016
50	17.33	0.016
51	15.916	0.016
52	17.324	0.016
53	16.64	0.016
54	17.856	0.016
55	16.886	0.016
56	16.004	0.016
