gap	eps	obj	lb	time_limit	nodes_explored	method
0.0000%	0.001	-7.615162579288e+00	-7.615162579288e+00	100	0	big-m
0.0000%	0.001	-7.671191504680e+00	-7.671191504680e+00	100	0	cayley
85.4470%	0.15	8.718302346891e-02	1.616782629117e-01	600.0	528792	big-m
0.0000%	0.15	1.569075635569e+00	1.569075635569e+00	600.0	32571	cayley
60.3285%	0.15	1.258670801954e-01	2.018007527328e-01	600.0	453657	big-m
112.2048%	0.15	3.488592384062e+00	7.402961022939e+00	600.0	29779	cayley
41.0662%	0.15	1.401157240355e-01	1.976558623974e-01	600.0	265555	big-m
0.0035%	0.15	7.599142030201e+00	7.599407178974e+00	600.0	84380	cayley
2457.9319%	0.15	1.128835373865e-01	2.887484020090e+00	600.0	32759	big-m
1.6608%	0.15	3.859447746513e+00	3.923544721164e+00	600.0	30179	cayley
37.7818%	0.15	8.782950447652e-02	1.210130966343e-01	600.0	820509	big-m
0.6417%	0.15	7.592170550981e+00	7.640888197732e+00	600.0	30984	cayley
1192.5690%	0.15	8.746721284606e-02	1.130574117718e+00	600.0	70421	big-m
0.0000%	0.15	3.205667953794e+00	3.205667953794e+00	600.0	66512	cayley
9.7881%	0.15	1.643901857123e-01	1.804808937992e-01	600.0	297715	big-m
10.1058%	0.15	1.643901857123e-01	1.810031396257e-01	600.0	214182	cayley
84.9811%	0.15	8.718302346891e-02	1.612721166779e-01	600.0	551770	big-m
88.5025%	0.15	8.752438560629e-02	1.649856212202e-01	600.0	403617	cayley
11.9748%	0.15	1.642597069103e-01	1.839294339535e-01	600.0	540640	big-m
