gap	eps	obj	lb	time_limit	nodes_explored	method	img
0.0	0.001	-7.61516257928824	-7.61516257928824	100	0	big-m	1
0.0	0.001	-7.61516257928824	-7.61516257928824	100	0	cayley	1
9.173267838241782e-5	0.05	-6.239361140104026	-6.238788786795249	120.0	9857	big-m	129
9.173267838241782e-5	0.05	-6.239361140104026	-6.238788786795249	120.0	9857	cayley	129
0.0	0.05	-5.054937330944869	-5.054937330944869	120.0	8643	big-m	129
0.0	0.05	-5.054937330944869	-5.054937330944869	120.0	8643	cayley	129
0.0003780495271453398	0.05	-7.209515929025729	-7.206790374937814	120.0	20703	big-m	129
0.0002350679519706106	0.05	-7.209515929025729	-7.207821202881593	120.0	29035	cayley	129
1.3579520248178303	0.1	-3.9050463215808997	1.3978192378173036	360.0	36110	big-m	129
1.3579520248178303	0.1	-3.9050463215808997	1.3978192378173036	360.0	32164	cayley	129
0.0	0.1	-0.8953813412920595	-0.8953813412920587	360.0	79043	big-m	129
0.022232851233228608	0.1	-0.8961459562870047	-0.8762220765576163	360.0	77953	cayley	129
0.7811119344402939	0.1	-7.4395277273432034	-1.6284238329159504	360.0	25874	big-m	129
0.7695176963373388	0.1	-7.4395277273432034	-1.7146794887603034	360.0	27148	cayley	129
218.26191250088016	0.15	-0.03162619689306937	6.871168022117645	1140.0	29495	big-m	129
218.26191250088016	0.15	-0.03162619689306937	6.871168022117645	1140.0	29519	cayley	129
0.0	0.001	-7.61516257928824	-7.61516257928824	100	0	big-m	1
0.0	0.001	-7.61516257928824	-7.61516257928824	100	0	cayley	1
8.704119745718729e-5	0.05	-7.4985103498227845	-7.497857670502791	120.0	1	big-m	7
8.704119745718729e-5	0.05	-7.4985103498227845	-7.497857670502791	120.0	1	cayley	7
8.83960391363021e-5	0.05	-7.647737313350575	-7.64706128366372	120.0	7657	big-m	7
8.83960391363021e-5	0.05	-7.647737313350575	-7.64706128366372	120.0	7657	cayley	7
8.641612802408343e-5	0.05	-7.552493719294611	-7.551841062030463	120.0	1	big-m	7
8.641612802408343e-5	0.05	-7.552493719294611	-7.551841062030463	120.0	1	cayley	7
9.522243220827234e-5	0.1	-7.491909949195817	-7.491196551308569	360.0	73042	big-m	7
9.522243220827234e-5	0.1	-7.491909949195817	-7.491196551308569	360.0	73042	cayley	7
0.002371816131065618	0.1	-7.642823534712733	-7.624696162566213	360.0	59205	big-m	7
0.0024057565017864537	0.1	-7.642823534712733	-7.624436762302091	360.0	55191	cayley	7
6.385708501526158e-5	0.1	-7.551616909671702	-7.551134685428698	360.0	11771	big-m	7
6.385708501526158e-5	0.1	-7.551616909671702	-7.551134685428698	360.0	11771	cayley	7
0.6988521021606721	0.15	-7.480252498377773	-2.2526623151938474	1140.0	34078	big-m	7
0.6988521021606721	0.15	-7.480252498377773	-2.2526623151938474	1140.0	34048	cayley	7
0.4849811680927794	0.15	-7.644331562946771	-3.936974712260344	1140.0	78163	big-m	7
0.4871376342594898	0.15	-7.644415945014955	-3.9205332462648474	1140.0	77834	cayley	7
0.0014204315287966326	0.15	-7.550941082753737	-7.540215487967708	1140.0	143993	big-m	7
0.001418695791286494	0.15	-7.550941082753737	-7.540228594419382	1140.0	144544	cayley	7
3.986132988957247e-5	0.05	-7.626274250063317	-7.625970256629607	120.0	723	big-m	122
3.986132988957247e-5	0.05	-7.626274250063317	-7.625970256629607	120.0	723	cayley	122
9.937454207147199e-5	0.05	-7.78321837820079	-7.7824449244386145	120.0	7705	big-m	122
9.937454207147199e-5	0.05	-7.78321837820079	-7.7824449244386145	120.0	7705	cayley	122
0.000464288383375497	0.05	-7.693696546686844	-7.6901244527550014	120.0	29710	big-m	122
0.000464288383375497	0.05	-7.693696546686844	-7.6901244527550014	120.0	29710	cayley	122
0.0	0.1	-6.866942797655288	-6.866942797655288	360.0	40978	big-m	122
0.0	0.1	-6.866942797655288	-6.866942797655288	360.0	40978	cayley	122
0.005393325082260952	0.1	-7.779956035470009	-7.737996203445021	360.0	57177	big-m	122
0.005322168490876321	0.1	-7.779956035470009	-7.738549798597627	360.0	59957	cayley	122
0.0035949639858057583	0.1	-7.688479086285928	-7.660839280865109	360.0	90610	big-m	122
0.0035949639858057583	0.1	-7.688479086285928	-7.660839280865109	360.0	90630	cayley	122
0.2603663644220595	0.15	-3.340342918945661	-2.470629977216809	1140.0	110527	big-m	122
0.26223627123947735	0.15	-3.340342918945661	-2.464383847220159	1140.0	109721	cayley	122
0.715831013463771	0.15	-7.78245373916634	-2.2115319918239846	1140.0	61485	big-m	122
0.7084996181854782	0.15	-7.78245373916634	-2.268588236420841	1140.0	63110	cayley	122
0.38470627148704617	0.15	-7.68750470959833	-4.730073435729649	1140.0	53500	big-m	122
0.3850003672756511	0.15	-7.68750470959833	-4.727812572969675	1140.0	53366	cayley	122
7.870373641155695e-5	0.05	-7.640053599963095	-7.6394522991983935	120.0	486	big-m	82
7.870373641155695e-5	0.05	-7.640053599963095	-7.6394522991983935	120.0	486	cayley	82
9.577110558091576e-5	0.05	-7.779811022142038	-7.779065941039237	120.0	37235	big-m	82
9.577110558091576e-5	0.05	-7.779811022142038	-7.779065941039237	120.0	37235	cayley	82
8.626283545649948e-5	0.05	-7.690990736430081	-7.690327289761687	120.0	1	big-m	82
8.626283545649948e-5	0.05	-7.690990736430081	-7.690327289761687	120.0	1	cayley	82
0.001713454145658278	0.1	-7.639385383902342	-7.626295647346013	360.0	61692	big-m	82
0.001713454145658278	0.1	-7.639385383902342	-7.626295647346013	360.0	61462	cayley	82
0.011742089063543428	0.1	-7.778912371905323	-7.68757169001691	360.0	277989	big-m	82
0.011985920747204485	0.1	-7.778912371905323	-7.685674944716217	360.0	262270	cayley	82
0.004360721224173682	0.1	-7.690849958752832	-7.657312306105763	360.0	71307	big-m	82
0.004348434048205781	0.1	-7.690849958752832	-7.657406804932549	360.0	71534	cayley	82
0.9009387565519257	0.15	-7.638257787913346	-0.7566553142476334	1140.0	30343	big-m	82
0.9009387565519257	0.15	-7.638257787913346	-0.7566553142476334	1140.0	30322	cayley	82
0.9989605050754428	0.15	-7.766922247567424	-0.00807367625577728	1140.0	50726	big-m	82
0.9989605050754428	0.15	-7.766922247567424	-0.00807367625577728	1140.0	50691	cayley	82
0.8715702809307635	0.15	-7.690268533383376	-0.9876590273094168	1140.0	26045	big-m	82
0.8813641432717705	0.15	-7.690268533383376	-0.9123415959280817	1140.0	23731	cayley	82
0.0005414359705094043	0.05	-7.914057437553007	-7.909772482183638	120.0	55198	big-m	3
0.0005470361998354917	0.05	-7.914057437553007	-7.909728161647088	120.0	54800	cayley	3
0.005123562070616248	0.05	-7.9019407867320135	-7.861454702632858	120.0	28995	big-m	3
0.005162903904626917	0.05	-7.9019407867320135	-7.861143825790064	120.0	28433	cayley	3
8.782742803451014e-5	0.05	-7.772164247964303	-7.771481638768143	120.0	3884	big-m	3
8.782742803451014e-5	0.05	-7.772164247964303	-7.771481638768143	120.0	3884	cayley	3
0.012778865070614862	0.1	-7.8957210935368485	-7.7948227390473335	360.0	547480	big-m	3
0.01278225603450224	0.1	-7.8957210935368485	-7.7947959649422405	360.0	547358	cayley	3
0.019230731763806075	0.1	-7.875463743203076	-7.724012812441957	360.0	235287	big-m	3
0.01923154989416709	0.1	-7.875463743203076	-7.724006369285962	360.0	235042	cayley	3
0.0007669593369849381	0.1	-7.768363654150194	-7.762405635112549	360.0	98716	big-m	3
0.0007669593369849381	0.1	-7.768363654150194	-7.762405635112549	360.0	98609	cayley	3
